EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-01,17:00:00,2,570.0,625.5,111.0,459.0,0.0,31.696177,8.690001,90.634995
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-01,18:00:00,2,648.0,720.5,145.0,503.0,0.0,30.039858,11.965,96.05499
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-01,19:00:00,2,598.0,672.5,149.0,449.0,0.0,32.525402,9.995,116.024994
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-01,20:00:00,2,680.0,757.0,154.0,526.0,0.0,34.288322,10.21,97.3
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-01,21:00:00,2,581.0,654.5,147.0,434.0,0.0,32.996525,9.690001,95.315
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-01,22:00:00,2,566.0,614.0,96.0,470.0,0.0,35.000423,5.9449997,110.78
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-01,23:00:00,2,509.0,548.0,78.0,431.0,0.0,35.479446,6.515,110.770004
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,00:00:00,2,313.0,337.5,49.0,264.0,0.0,38.762047,3.725,120.815
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,01:00:00,2,190.0,198.5,17.0,173.0,0.0,35.63179,2.2150002,127.25
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,02:00:00,2,120.0,125.0,10.0,110.0,0.0,39.484417,1.155,109.47499
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,03:00:00,2,85.0,87.5,5.0,80.0,0.0,38.075058,0.45,115.575
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,04:00:00,2,49.0,50.5,3.0,46.0,0.0,34.5502,0.615,74.41
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,05:00:00,2,45.0,48.0,6.0,39.0,0.0,39.286003,0.91,75.35
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,06:00:00,2,93.0,98.5,11.0,82.0,0.0,36.484196,1.33,107.06
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,07:00:00,2,176.0,189.5,27.0,149.0,0.0,37.49188,1.99,126.95
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,08:00:00,2,338.0,365.5,55.0,283.0,0.0,38.74574,4.61,97.325
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,09:00:00,2,464.0,494.5,61.0,403.0,0.0,37.325302,5.875,99.775
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,10:00:00,2,585.0,609.0,48.0,537.0,0.0,35.303333,7.91,77.525
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,11:00:00,2,588.0,627.0,78.0,510.0,0.0,34.4775,8.535,85.45
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,12:00:00,2,666.0,740.0,148.0,518.0,0.0,31.42081,12.425,89.555
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,13:00:00,2,606.0,672.5,133.0,473.0,0.0,30.602772,10.365,100.46
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,14:00:00,2,639.0,700.5,123.0,516.0,0.0,28.186775,14.71,100.26
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,15:00:00,2,670.0,750.0,135.0,535.0,0.0,29.351883,14.375,99.299995
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,16:00:00,2,669.0,720.0,102.0,567.0,0.0,32.264412,12.535,99.284996
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,17:00:00,2,562.0,625.5,127.0,435.0,0.0,32.862778,8.82,85.56
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,18:00:00,2,585.0,646.5,123.0,462.0,0.0,29.071709,9.940001,100.01
VTZY920,成功路(金龍路-康湖路)-成功路4段323巷口路燈桿(已附掛市警局CCTV),未指定,2016-04-02,19:00:00,2,335.0,398.0,126.0,209.0,0.0,33.274357,5.535,102.54
