EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-01,17:00:00,1,646.0,650.5,9.0,637.0,0.0,25.09,10.9,57.42
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-01,18:00:00,1,560.0,564.0,8.0,552.0,0.0,25.54,8.83,73.72
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-01,19:00:00,1,541.0,549.0,16.0,525.0,0.0,23.8,9.67,65.63
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-01,20:00:00,1,475.0,477.5,5.0,470.0,0.0,25.05,7.55,90.0
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-01,21:00:00,1,312.0,315.0,6.0,306.0,0.0,25.97,4.88,129.42
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-01,22:00:00,1,286.0,289.0,6.0,280.0,0.0,26.11,4.28,136.2
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-01,23:00:00,1,240.0,241.0,2.0,238.0,0.0,26.46,3.53,162.42
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,00:00:00,1,158.0,160.5,5.0,153.0,0.0,27.090002,2.27,195.58
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,01:00:00,1,114.0,116.0,4.0,110.0,0.0,28.06,1.48,225.55
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,02:00:00,1,58.0,58.5,1.0,57.0,0.0,23.95,0.82,239.57
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,03:00:00,1,42.0,42.5,1.0,41.0,0.0,27.83,0.58,249.07
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,04:00:00,1,28.0,28.0,0.0,28.0,0.0,28.75,0.4,245.83
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,05:00:00,1,21.0,21.0,0.0,21.0,0.0,25.67,0.33,244.9
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,06:00:00,1,42.0,43.0,2.0,40.0,0.0,24.88,0.73,241.35
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,07:00:00,1,80.0,83.5,7.0,73.0,0.0,25.25,1.27,233.07
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往北,2016-04-02,08:00:00,1,141.0,143.5,5.0,136.0,0.0,27.25,2.12,202.87
