EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS6TI00,瑞光路295號前,往北,2016-04-01,17:00:00,1,539.0,587.5,97.0,442.0,0.0,32.6,13.1,87.0
VS6TI00,瑞光路295號前,往北,2016-04-01,18:00:00,1,431.0,486.10168,94.0,337.0,0.0,35.28,9.5,102.26
VS6TI00,瑞光路295號前,往北,2016-04-01,19:00:00,1,450.0,508.5,117.0,333.0,0.0,30.86,11.75,95.23
VS6TI00,瑞光路295號前,往北,2016-04-01,20:00:00,1,394.0,430.0,72.0,322.0,0.0,31.35,9.28,111.92
VS6TI00,瑞光路295號前,往北,2016-04-01,21:00:00,1,410.0,444.5,69.0,341.0,0.0,33.1,8.77,100.73
VS6TI00,瑞光路295號前,往北,2016-04-01,22:00:00,1,323.0,352.0,58.0,265.0,0.0,32.98,6.77,124.88
VS6TI00,瑞光路295號前,往北,2016-04-01,23:00:00,1,228.0,251.0,46.0,182.0,0.0,35.9,4.72,175.87
VS6TI00,瑞光路295號前,往北,2016-04-02,00:00:00,1,135.0,148.5,27.0,108.0,0.0,33.48,3.85,214.6
VS6TI00,瑞光路295號前,往北,2016-04-02,01:00:00,1,77.0,81.5,9.0,68.0,0.0,33.14,3.93,234.37
VS6TI00,瑞光路295號前,往北,2016-04-02,02:00:00,1,51.0,56.5,11.0,40.0,0.0,30.14,2.68,243.17
VS6TI00,瑞光路295號前,往北,2016-04-02,03:00:00,1,40.0,41.0,2.0,38.0,0.0,31.320002,1.6,241.92
VS6TI00,瑞光路295號前,往北,2016-04-02,04:00:00,1,22.0,23.0,2.0,20.0,0.0,30.45,0.65,247.8
VS6TI00,瑞光路295號前,往北,2016-04-02,05:00:00,1,24.0,25.0,2.0,22.0,0.0,28.0,0.43,250.0
VS6TI00,瑞光路295號前,往北,2016-04-02,06:00:00,1,62.0,69.0,14.0,48.0,0.0,34.42,1.18,240.17
VS6TI00,瑞光路295號前,往北,2016-04-02,07:00:00,1,94.0,107.0,26.0,68.0,0.0,34.89,2.03,229.15
VS6TI00,瑞光路295號前,往北,2016-04-02,08:00:00,1,174.0,194.0,40.0,134.0,0.0,36.5,3.33,198.18
VS6TI00,瑞光路295號前,往北,2016-04-02,09:00:00,1,214.0,238.0,48.0,166.0,0.0,38.35,3.83,177.32
VS6TI00,瑞光路295號前,往北,2016-04-02,10:00:00,1,256.0,278.0,44.0,212.0,0.0,35.69,4.98,151.12
VS6TI00,瑞光路295號前,往北,2016-04-02,11:00:00,1,350.0,380.0,60.0,290.0,0.0,37.36,6.25,126.45
VS6TI00,瑞光路295號前,往北,2016-04-02,12:00:00,1,389.0,424.5,71.0,318.0,0.0,36.15,7.7,117.48
VS6TI00,瑞光路295號前,往北,2016-04-02,13:00:00,1,384.0,417.0,66.0,318.0,0.0,35.9,7.5,117.17
VS6TI00,瑞光路295號前,往北,2016-04-02,14:00:00,1,456.0,490.0,68.0,388.0,0.0,33.17,10.47,103.15
VS6TI00,瑞光路295號前,往北,2016-04-02,15:00:00,1,389.0,421.5,65.0,324.0,0.0,35.47,7.6,117.32
VS6TI00,瑞光路295號前,往北,2016-04-02,16:00:00,1,349.0,376.0,54.0,295.0,0.0,35.37,6.97,122.95
VS6TI00,瑞光路295號前,往北,2016-04-02,17:00:00,1,318.0,357.4576,67.0,251.0,0.0,37.23,6.28,126.64
VS6TI00,瑞光路295號前,往北,2016-04-02,18:00:00,1,323.0,360.0,62.0,261.0,0.0,35.93,6.46,131.95
VS6TI00,瑞光路295號前,往北,2016-04-02,19:00:00,1,338.0,367.5,59.0,279.0,0.0,32.12,8.38,125.97
VS6TI00,瑞光路295號前,往北,2016-04-02,20:00:00,1,320.0,347.0,54.0,266.0,0.0,33.61,6.6,139.27
VS6TI00,瑞光路295號前,往北,2016-04-02,21:00:00,1,266.0,292.0,52.0,214.0,0.0,35.01,5.35,150.32
VS6TI00,瑞光路295號前,往北,2016-04-02,22:00:00,1,238.0,259.5,43.0,195.0,0.0,35.75,4.45,169.82
VS6TI00,瑞光路295號前,往北,2016-04-02,23:00:00,1,149.0,167.0,36.0,113.0,0.0,36.93,2.93,210.02
VS6TI00,瑞光路295號前,往北,2016-04-03,00:00:00,1,70.0,74.0,8.0,62.0,0.0,32.24,2.27,236.33
VS6TI00,瑞光路295號前,往北,2016-04-03,01:00:00,1,71.0,80.0,18.0,53.0,0.0,35.51,2.52,240.02
VS6TI00,瑞光路295號前,往北,2016-04-03,02:00:00,1,44.0,47.5,7.0,37.0,0.0,40.7,1.05,242.05
VS6TI00,瑞光路295號前,往北,2016-04-03,03:00:00,1,35.0,37.5,5.0,30.0,0.0,43.26,1.15,247.65
VS6TI00,瑞光路295號前,往北,2016-04-03,04:00:00,1,21.0,23.0,4.0,17.0,0.0,45.57,0.35,250.0
VS6TI00,瑞光路295號前,往北,2016-04-03,05:00:00,1,37.0,40.0,6.0,31.0,0.0,33.84,0.67,247.23
VS6TI00,瑞光路295號前,往北,2016-04-03,06:00:00,1,47.0,51.5,9.0,38.0,0.0,35.19,1.65,247.95
VS6TI00,瑞光路295號前,往北,2016-04-03,07:00:00,1,76.0,86.0,20.0,56.0,0.0,36.17,1.48,243.7
VS6TI00,瑞光路295號前,往北,2016-04-03,08:00:00,1,124.0,140.0,32.0,92.0,0.0,35.63,2.4,214.87
