EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,16:00:00,2,862.0,872.0,20.0,842.0,0.0,51.54053,3.815,0.08
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,17:00:00,2,994.0,1008.5,29.0,965.0,0.0,46.6893,4.57,0.11
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,18:00:00,2,1082.0,1093.0,22.0,1060.0,0.0,50.849133,4.835,0.135
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,19:00:00,2,1117.0,1121.5,9.0,1108.0,0.0,48.807896,5.15,0.065
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,20:00:00,2,868.0,876.5,17.0,851.0,0.0,47.960117,4.125,0.07
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,21:00:00,2,623.0,626.5,7.0,616.0,0.0,50.73154,2.54,0.049999997
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,22:00:00,2,531.0,532.0,2.0,529.0,0.0,53.089996,1.96,0.024999999
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-01,23:00:00,2,385.0,387.0,4.0,381.0,0.0,42.40091,1.54,0.015
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,00:00:00,2,258.0,258.5,1.0,257.0,0.0,47.088676,0.98,0.015
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,01:00:00,2,177.0,178.0,2.0,175.0,0.0,28.390057,0.815,0.01
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,02:00:00,2,111.0,111.5,1.0,110.0,0.0,37.699455,0.65,0.0
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,03:00:00,2,76.0,77.0,2.0,74.0,0.0,16.485,0.475,0.015
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,04:00:00,2,28.0,68.40001,1.0,27.0,0.0,26.642857,0.55,0.0
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,05:00:00,2,27.0,65.76923,3.0,24.0,0.0,26.40889,0.44,0.0
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,06:00:00,2,79.0,110.0,7.0,72.0,0.0,8.623291,0.53999996,0.01
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,07:00:00,2,208.0,222.93103,15.0,193.0,0.0,32.370193,1.155,0.089999996
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,08:00:00,2,303.0,331.0714,12.0,291.0,0.0,33.138515,1.6500001,0.065
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,09:00:00,2,434.0,444.0,20.0,414.0,0.0,49.922695,1.835,0.075
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往北,2016-04-02,10:00:00,2,469.0,477.5,17.0,452.0,0.0,48.12275,2.005,0.024999999
