EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-01,17:00:00,3,1125.0,1132.5,15.0,1110.0,0.0,47.08736,4.2400002,111.01
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-01,18:00:00,3,1154.0,1168.0,28.0,1126.0,0.0,45.365055,5.0766664,105.386665
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-01,19:00:00,3,1201.0,1226.0,50.0,1151.0,0.0,43.700993,5.7333336,98.53333
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-01,20:00:00,3,960.0,974.0,28.0,932.0,0.0,45.83922,4.156667,106.77
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-01,21:00:00,3,701.0,760.7143,18.0,683.0,0.0,46.879356,3.3166666,119.47333
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-01,22:00:00,3,830.0,839.0,18.0,812.0,0.0,46.886517,3.2133331,114.94666
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-01,23:00:00,3,614.0,617.5,7.0,607.0,0.0,47.40956,2.2866666,132.42332
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-02,00:00:00,3,373.0,375.0,4.0,369.0,0.0,48.136513,1.3633333,154.32666
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-02,01:00:00,3,218.0,218.5,1.0,217.0,0.0,49.28936,0.7366667,173.80666
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-02,02:00:00,3,118.0,120.0,0.0,118.0,0.0,49.058727,0.4433333,186.05
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-02,03:00:00,3,87.0,91.57895,0.0,87.0,0.0,49.61896,0.41,182.58667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-04-02,04:00:00,3,92.0,92.0,0.0,92.0,0.0,48.460434,0.40666667,189.44334
