台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VT9NN00,明水路604號對面人行道上,往北,2016-04-01 17:00:00,2,344.0,364.0678,28.0,316.0,0.0,49.690525,2.3799999,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-01 18:00:00,2,341.0,368.9474,19.0,322.0,0.0,50.043404,2.395,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-01 19:00:00,2,344.0,358.98303,18.0,326.0,0.0,46.746483,2.51,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-01 20:00:00,2,238.0,251.69492,19.0,219.0,0.0,49.24235,1.73,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-01 21:00:00,2,225.0,235.9322,14.0,211.0,0.0,48.357464,1.63,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-01 22:00:00,2,265.0,277.6271,16.0,249.0,0.0,47.516605,1.9100001,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-01 23:00:00,2,158.0,165.25424,9.0,149.0,0.0,50.898674,1.0699999,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 00:00:00,2,100.0,105.254234,7.0,93.0,0.0,53.988403,0.70500004,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 01:00:00,2,36.0,37.627117,2.0,34.0,0.0,51.225555,0.245,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 02:00:00,2,31.0,33.050846,3.0,28.0,0.0,56.032257,0.245,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 03:00:00,2,23.0,23.38983,0.0,23.0,0.0,53.434784,0.17,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 04:00:00,2,18.0,18.305084,0.0,18.0,0.0,48.778336,0.145,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 05:00:00,2,12.0,12.203389,0.0,12.0,0.0,53.420002,0.095,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 06:00:00,2,24.0,24.406778,0.0,24.0,0.0,58.040005,0.17,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 07:00:00,2,62.0,67.118645,8.0,54.0,0.0,59.175484,0.455,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 08:00:00,2,104.0,113.793106,12.0,92.0,0.0,53.569233,0.78999996,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 09:00:00,2,168.0,176.44067,11.0,157.0,0.0,52.9025,1.1600001,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 10:00:00,2,211.0,222.2034,15.0,196.0,0.0,53.093555,1.395,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 11:00:00,2,236.0,247.6271,15.0,221.0,0.0,54.990677,1.515,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 12:00:00,2,298.0,311.69492,17.0,281.0,0.0,53.064796,1.91,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 13:00:00,2,299.0,315.2542,22.0,277.0,0.0,52.243446,1.94,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 14:00:00,2,216.0,227.28813,15.0,201.0,0.0,51.31292,1.475,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 15:00:00,2,277.0,291.86438,20.0,257.0,0.0,50.987907,1.8599999,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 16:00:00,2,254.0,268.98303,21.0,233.0,0.0,50.4835,1.7149999,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 17:00:00,2,251.0,266.44067,22.0,229.0,0.0,51.79295,1.715,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 18:00:00,2,285.0,307.89474,15.0,270.0,0.0,49.68102,2.0349998,0.0,
VT9NN00,明水路604號對面人行道上,往北,2016-04-02 19:00:00,2,223.0,234.40677,15.0,208.0,0.0,49.677,1.54,0.0,
