YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,舊宗路,往南,下午尖峰,1313.3347168,1,0
20160412,舊宗路,往南,下午尖峰,1325.40039062,2,36
20160413,舊宗路,往南,下午尖峰,1325.40039062,2,9
20160414,舊宗路,往南,下午尖峰,1553.26269531,4,34
20160415,舊宗路,往南,下午尖峰,1278.5,5,4
20160418,舊宗路,往南,下午尖峰,1254.96655273,1,3
20160419,舊宗路,往南,下午尖峰,829.782592773,2,37
20160420,舊宗路,往南,下午尖峰,706.375,3,45
20160421,舊宗路,往南,下午尖峰,1457.38989258,4,0
20160422,舊宗路,往南,下午尖峰,1492.61535645,5,0
20160425,舊宗路,往南,下午尖峰,1313.3347168,1,83
20160426,舊宗路,往南,下午尖峰,932.5,2,22
20160428,舊宗路,往南,下午尖峰,1457.38989258,4,0
20160505,舊宗路,往南,下午尖峰,1303.56896973,4,0
20160506,舊宗路,往南,下午尖峰,870.97454834,5,2
20160509,舊宗路,往南,下午尖峰,1313.3347168,1,0
20160510,舊宗路,往南,下午尖峰,1325.40039062,2,0
20160511,舊宗路,往南,下午尖峰,1397.07397461,3,5
20160512,舊宗路,往南,下午尖峰,1457.38989258,4,0
20160513,舊宗路,往南,下午尖峰,1492.61535645,5,6
20160516,舊宗路,往南,下午尖峰,882.0,1,0
20160517,舊宗路,往南,下午尖峰,887.0,2,37
20160518,舊宗路,往南,下午尖峰,797.0,3,60
20160519,舊宗路,往南,下午尖峰,808.0,4,1
20160520,舊宗路,往南,下午尖峰,838.669494629,5,0
20160523,舊宗路,往南,下午尖峰,1254.71191406,1,7
20160524,舊宗路,往南,下午尖峰,786.0,2,1
20160525,舊宗路,往南,下午尖峰,816.203369141,3,0
20160526,舊宗路,往南,下午尖峰,828.805114746,4,0
20160527,舊宗路,往南,下午尖峰,1486.97363281,5,23
20160530,舊宗路,往南,下午尖峰,799.0,1,0
20160531,舊宗路,往南,下午尖峰,839.5,2,0
20160601,舊宗路,往南,下午尖峰,827.0,3,0
20160602,舊宗路,往南,下午尖峰,1279.06774902,4,36
20160603,舊宗路,往南,下午尖峰,820.0,5,9
20160606,舊宗路,往南,下午尖峰,1175.0,1,34
20160607,舊宗路,往南,下午尖峰,992.534484863,2,4
20160610,舊宗路,往南,下午尖峰,607.5,5,3
20160613,舊宗路,往南,下午尖峰,789.0,1,37
20160614,舊宗路,往南,下午尖峰,1304.4576416,2,45
20160615,舊宗路,往南,下午尖峰,841.0,3,0
20160616,舊宗路,往南,下午尖峰,841.0,4,0
20160617,舊宗路,往南,下午尖峰,1903.77124023,5,83
20160618,舊宗路,往南,下午尖峰,834.5,6,22
20160619,舊宗路,往南,下午尖峰,673.5,7,0
20160620,舊宗路,往南,下午尖峰,960.0,1,0
20160621,舊宗路,往南,下午尖峰,1114.46557617,2,2
20160622,舊宗路,往南,下午尖峰,903.5,3,0
20160623,舊宗路,往南,下午尖峰,827.0,4,0
20160624,舊宗路,往南,下午尖峰,1396.28112793,5,5
20160625,舊宗路,往南,下午尖峰,691.0,6,0
20160626,舊宗路,往南,下午尖峰,658.0,7,6
20160627,舊宗路,往南,下午尖峰,760.413818359,1,0
20160628,舊宗路,往南,下午尖峰,1073.5,2,37
20160629,舊宗路,往南,下午尖峰,1304.5,3,60
20160630,舊宗路,往南,下午尖峰,1666.5,4,1
20160706,舊宗路,往南,下午尖峰,911.347473145,3,0
20160707,舊宗路,往南,下午尖峰,986.0,4,15
20160710,舊宗路,往南,下午尖峰,973.5,7,44
20160711,舊宗路,往南,下午尖峰,1302.6262207,1,7
20160712,舊宗路,往南,下午尖峰,1347.5,2,3
20160713,舊宗路,往南,下午尖峰,932.5,3,0
20160714,舊宗路,往南,下午尖峰,888.5,4,0
20160715,舊宗路,往南,下午尖峰,979.745788574,5,0
20160716,舊宗路,往南,下午尖峰,759.0,6,0
20160717,舊宗路,往南,下午尖峰,747.0,7,2
20160718,舊宗路,往南,下午尖峰,796.059326172,7,22
20160719,舊宗路,往南,下午尖峰,859.5,2.0,5
20160720,舊宗路,往南,下午尖峰,1070.71191406,3,16
20160721,舊宗路,往南,下午尖峰,901.0,4,0
20160722,舊宗路,往南,下午尖峰,852.0,5,0
20160723,舊宗路,往南,下午尖峰,719.5,6,0
20160724,舊宗路,往南,下午尖峰,721.5,7,0
20160725,舊宗路,往南,下午尖峰,782.0,1,0
20160726,舊宗路,往南,下午尖峰,834.5,2,0
20160727,舊宗路,往南,下午尖峰,846.0,3,0
20160728,舊宗路,往南,下午尖峰,949.0,4,0
20160729,舊宗路,往南,下午尖峰,941.0,5,0
20160730,舊宗路,往南,下午尖峰,666.0,6,0
20160731,舊宗路,往南,下午尖峰,710.5,7,0
20160801,舊宗路,往南,下午尖峰,952.0,1,1
20160802,舊宗路,往南,下午尖峰,948.52545166,2,0
20160803,舊宗路,往南,下午尖峰,1397.07397461,3,0
20160804,舊宗路,往南,下午尖峰,850.5,4,0
20160805,舊宗路,往南,下午尖峰,781.5,5,0
20160807,舊宗路,往南,下午尖峰,614.5,7,15
20160810,舊宗路,往南,下午尖峰,1104.39831543,3,9
20160811,舊宗路,往南,下午尖峰,1457.38989258,4,26
20160812,舊宗路,往南,下午尖峰,1492.61535645,5,0
20160813,舊宗路,往南,下午尖峰,721.0,6,6
20160814,舊宗路,往南,下午尖峰,681.0,7,0
20160815,舊宗路,往南,下午尖峰,818.0,1,0
20160816,舊宗路,往南,下午尖峰,867.0,2,0
20160817,舊宗路,往南,下午尖峰,869.465515137,3,0
20160818,舊宗路,往南,下午尖峰,919.449157715,4,20
20160819,舊宗路,往南,下午尖峰,835.5,5,2
20160820,舊宗路,往南,下午尖峰,743.0,6,0
20160821,舊宗路,往南,下午尖峰,1313.3347168,7,0
20160822,舊宗路,往南,下午尖峰,1313.3347168,1,0
20160823,舊宗路,往南,下午尖峰,822.906799316,2,1
20160824,舊宗路,往南,下午尖峰,920.0,3,0
20160825,舊宗路,往南,下午尖峰,879.5,4,0
20160826,舊宗路,往南,下午尖峰,1042.56774902,5,0
20160827,舊宗路,往南,下午尖峰,779.0,6,36
20160828,舊宗路,往南,下午尖峰,662.5,7,15
20160829,舊宗路,往南,下午尖峰,944.0,1,0
20160830,舊宗路,往南,下午尖峰,863.5,2,0
20160831,舊宗路,往南,下午尖峰,829.0,3,0
20160901,舊宗路,往南,下午尖峰,803.5,4,0
20160902,舊宗路,往南,下午尖峰,1442.35595703,5,12
20160903,舊宗路,往南,下午尖峰,704.5,6,2
20160904,舊宗路,往南,下午尖峰,1015.0,7,1
20160905,舊宗路,往南,下午尖峰,865.5,1,1
20160906,舊宗路,往南,下午尖峰,771.5,2,5
20160907,舊宗路,往南,下午尖峰,1145.80505371,3,2
20160910,舊宗路,往南,下午尖峰,1479.38134766,6,35
20160911,舊宗路,往南,下午尖峰,766.5,7,0
20160912,舊宗路,往南,下午尖峰,1088.328125,1,6
20160913,舊宗路,往南,下午尖峰,1536.9642334,2,2
20160914,舊宗路,往南,下午尖峰,1315.0,3,19
20160915,舊宗路,往南,下午尖峰,503.5,4,1
20160916,舊宗路,往南,下午尖峰,689.5,5,1
20160917,舊宗路,往南,下午尖峰,523.0,6,65
20160918,舊宗路,往南,下午尖峰,672.0,7,29
