EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-01,17:00:00,3,1342.0,1342.5,1.0,1341.0,0.0,44.41695,4.5366664,98.77667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-01,18:00:00,3,1520.0,1521.5,3.0,1517.0,0.0,43.87825,5.3799996,86.46334
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-01,19:00:00,3,1533.0,1536.0,6.0,1527.0,0.0,43.857162,5.4600005,83.090004
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-01,20:00:00,3,1349.0,1350.5,3.0,1346.0,0.0,43.81021,4.7566667,92.886665
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-01,21:00:00,3,934.0,1000.71423,0.0,934.0,0.0,44.10349,3.216667,91.35333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-01,22:00:00,3,982.0,982.5,1.0,981.0,0.0,44.110893,3.4099998,107.746666
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-01,23:00:00,3,764.0,764.0,0.0,764.0,0.0,44.607502,2.5666666,120.57333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,00:00:00,3,406.0,406.0,0.0,406.0,0.0,44.397243,1.3933333,145.61667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,01:00:00,3,284.0,284.0,0.0,284.0,0.0,44.364048,1.0933332,137.22002
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,02:00:00,3,154.0,154.0,0.0,154.0,0.0,45.17312,0.62333333,159.02667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,03:00:00,3,121.0,129.64285,0.0,121.0,0.0,44.916363,0.49333334,158.36
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,04:00:00,3,94.0,94.0,0.0,94.0,0.0,45.117764,0.41,183.36333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,05:00:00,3,105.0,105.0,0.0,105.0,0.0,44.000473,0.4766667,181.80666
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,06:00:00,3,215.0,215.0,0.0,215.0,0.0,44.507904,0.80999994,152.0
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-04-02,07:00:00,3,333.0,333.0,0.0,333.0,0.0,44.166428,1.28,140.11333
