EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS9TE00,港墘路219號前,往北,2016-04-01,17:00:00,1,432.0,484.2857,40.0,392.0,0.0,24.49,15.63,105.08
VS9TE00,港墘路219號前,往北,2016-04-01,18:00:00,1,458.0,488.0,60.0,398.0,0.0,25.6,13.32,103.9
VS9TE00,港墘路219號前,往北,2016-04-01,19:00:00,1,565.0,597.5,65.0,500.0,0.0,24.83,20.65,74.08
VS9TE00,港墘路219號前,往北,2016-04-01,20:00:00,1,309.0,322.0,26.0,283.0,0.0,29.0,6.57,146.68
VS9TE00,港墘路219號前,往北,2016-04-01,21:00:00,1,233.0,242.0,18.0,215.0,0.0,25.639997,5.1,169.6
VS9TE00,港墘路219號前,往北,2016-04-01,22:00:00,1,177.0,182.5,11.0,166.0,0.0,30.97,3.35,188.42
VS9TE00,港墘路219號前,往北,2016-04-01,23:00:00,1,149.0,150.5,3.0,146.0,0.0,29.460001,2.2,207.0
VS9TE00,港墘路219號前,往北,2016-04-02,00:00:00,1,56.0,56.0,0.0,56.0,0.0,33.52,0.7,247.3
VS9TE00,港墘路219號前,往北,2016-04-02,01:00:00,1,34.0,34.0,0.0,34.0,0.0,35.12,0.43,249.08
VS9TE00,港墘路219號前,往北,2016-04-02,02:00:00,1,23.0,23.0,0.0,23.0,0.0,36.83,0.35,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,03:00:00,1,19.0,20.0,2.0,17.0,0.0,38.37,0.32,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,04:00:00,1,16.0,16.0,0.0,16.0,0.0,37.31,0.25,249.08
VS9TE00,港墘路219號前,往北,2016-04-02,05:00:00,1,16.0,16.0,0.0,16.0,0.0,34.06,0.25,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,06:00:00,1,33.0,33.0,0.0,33.0,0.0,35.48,0.45,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,07:00:00,1,46.0,47.0,2.0,44.0,0.0,37.63,0.65,245.4
VS9TE00,港墘路219號前,往北,2016-04-02,08:00:00,1,83.0,83.5,1.0,82.0,0.0,40.69,0.98,233.27
VS9TE00,港墘路219號前,往北,2016-04-02,09:00:00,1,114.0,116.5,5.0,109.0,0.0,43.0,1.3,220.67
VS9TE00,港墘路219號前,往北,2016-04-02,10:00:00,1,183.0,188.0,10.0,173.0,0.0,38.02,2.73,187.9
VS9TE00,港墘路219號前,往北,2016-04-02,11:00:00,1,276.0,293.0,34.0,242.0,0.0,33.58,5.07,157.85
VS9TE00,港墘路219號前,往北,2016-04-02,12:00:00,1,288.0,318.42105,29.0,259.0,0.0,32.56,6.16,139.57
