EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,16:00:00,2,648.0,676.5,57.0,591.0,0.0,61.034782,3.57,0.19
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,17:00:00,2,801.0,837.5,73.0,728.0,0.0,53.85483,5.095,0.315
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,18:00:00,2,762.0,779.0,34.0,728.0,0.0,57.60596,4.01,0.32
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,19:00:00,2,748.0,774.0,52.0,696.0,0.0,57.41822,4.18,0.215
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,20:00:00,2,520.0,549.5,59.0,461.0,0.0,58.853996,2.755,0.24000001
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,21:00:00,2,418.0,432.0,28.0,390.0,0.0,52.74454,2.245,0.11
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,22:00:00,2,368.0,381.5,27.0,341.0,0.0,55.516792,1.81,0.14
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-01,23:00:00,2,293.0,301.0,16.0,277.0,0.0,44.401745,1.3299999,0.055
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,00:00:00,2,199.0,209.5,21.0,178.0,0.0,55.473118,1.0250001,0.075
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,01:00:00,2,107.0,109.5,5.0,102.0,0.0,36.57991,0.655,0.02
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,02:00:00,2,89.0,90.0,2.0,87.0,0.0,35.452248,0.54,0.045
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,03:00:00,2,42.0,43.0,2.0,40.0,0.0,9.666191,0.28,0.0
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,04:00:00,2,17.0,42.0,1.0,16.0,0.0,22.528236,0.34500003,0.015
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,05:00:00,2,22.0,51.92308,1.0,21.0,0.0,18.863636,0.345,0.0
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,06:00:00,2,83.0,112.0,2.0,81.0,0.0,30.605663,0.65,0.03
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,07:00:00,2,178.0,197.06897,25.0,153.0,0.0,45.30079,1.035,0.05
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,08:00:00,2,243.0,270.5357,19.0,224.0,0.0,52.46601,1.2950001,0.07
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,09:00:00,2,358.0,369.0,22.0,336.0,0.0,59.434303,1.665,0.08
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,10:00:00,2,392.0,412.5,41.0,351.0,0.0,65.98714,1.86,0.125
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,11:00:00,2,337.0,355.5,37.0,300.0,0.0,53.886707,1.765,0.05
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,12:00:00,2,393.0,426.2069,38.0,355.0,0.0,56.946335,1.905,0.11
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,13:00:00,2,392.0,413.5,43.0,349.0,0.0,59.16855,1.96,0.1
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,14:00:00,2,430.0,450.0,40.0,390.0,0.0,56.182793,1.975,0.074999996
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,15:00:00,2,516.0,539.0,46.0,470.0,0.0,63.089012,2.495,0.125
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,16:00:00,2,534.0,569.4828,33.0,501.0,0.0,58.61686,2.9,0.115
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,17:00:00,2,475.0,491.5,33.0,442.0,0.0,59.136417,2.15,0.120000005
VPDS600,塔悠路-(舊宗一號公園56號燈桿旁,往南,2016-04-02,18:00:00,2,410.0,448.42105,32.0,378.0,0.0,58.783413,1.895,0.085
