EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-01,17:00:00,1,626.0,639.0,26.0,600.0,0.0,24.9,14.3,84.7
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-01,18:00:00,1,712.0,733.5,43.0,669.0,0.0,23.21,16.98,69.05
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-01,19:00:00,1,724.0,744.5,41.0,683.0,0.0,22.03,18.23,65.93
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-01,20:00:00,1,549.0,564.0,30.0,519.0,0.0,23.16,13.12,99.33
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-01,21:00:00,1,424.0,437.0,26.0,398.0,0.0,24.39,9.47,116.35
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-01,22:00:00,1,361.0,369.5,17.0,344.0,0.0,23.87,7.47,122.5
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-01,23:00:00,1,243.0,253.5,21.0,222.0,0.0,24.42,5.07,165.78
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,00:00:00,1,159.0,164.5,11.0,148.0,0.0,24.47,3.2,190.67
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,01:00:00,1,94.0,96.5,5.0,89.0,0.0,24.850002,1.72,227.98
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,02:00:00,1,54.0,54.5,1.0,53.0,0.0,25.67,0.93,241.57
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,03:00:00,1,47.0,48.0,2.0,45.0,0.0,25.06,0.83,246.1
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,04:00:00,1,33.0,33.5,1.0,32.0,0.0,24.0,0.58,245.83
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,05:00:00,1,38.0,38.5,1.0,37.0,0.0,23.84,0.65,244.03
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,06:00:00,1,61.0,62.0,2.0,59.0,0.0,24.26,1.15,237.43
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,07:00:00,1,115.0,119.5,9.0,106.0,0.0,25.35,2.37,213.63
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,08:00:00,1,149.0,155.5,13.0,136.0,0.0,25.13,3.1,197.48
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,09:00:00,1,232.0,240.5,17.0,215.0,0.0,24.32,4.8,167.52
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,10:00:00,1,319.0,330.0,22.0,297.0,0.0,25.44,6.82,135.9
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,11:00:00,1,350.0,361.5,23.0,327.0,0.0,25.58,7.17,127.82
VRGUF00,瑞光路與瑞光路120巷1-20號(嘉新尊皇)大門對面人行道,往南,2016-04-02,12:00:00,1,386.0,404.74576,24.0,362.0,0.0,25.0,8.09,121.35
