EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS6TI00,瑞光路295號前,往南,2016-04-01,17:00:00,1,597.0,624.5,55.0,542.0,0.0,23.95,15.52,77.9
VS6TI00,瑞光路295號前,往南,2016-04-01,18:00:00,1,591.0,632.54236,62.0,529.0,0.0,22.98,16.6,74.9
VS6TI00,瑞光路295號前,往南,2016-04-01,19:00:00,1,680.0,712.0,64.0,616.0,0.0,21.11,19.87,59.03
VS6TI00,瑞光路295號前,往南,2016-04-01,20:00:00,1,514.0,531.5,35.0,479.0,0.0,24.1,13.8,82.98
VS6TI00,瑞光路295號前,往南,2016-04-01,21:00:00,1,448.0,463.5,31.0,417.0,0.0,24.99,10.95,110.07
VS6TI00,瑞光路295號前,往南,2016-04-01,22:00:00,1,319.0,332.0,26.0,293.0,0.0,24.98,7.72,136.35
VS6TI00,瑞光路295號前,往南,2016-04-01,23:00:00,1,310.0,323.0,26.0,284.0,0.0,24.83,7.57,155.2
VS6TI00,瑞光路295號前,往南,2016-04-02,00:00:00,1,155.0,161.0,12.0,143.0,0.0,25.39,4.33,201.27
VS6TI00,瑞光路295號前,往南,2016-04-02,01:00:00,1,92.0,94.5,5.0,87.0,0.0,25.419998,3.65,229.07
VS6TI00,瑞光路295號前,往南,2016-04-02,02:00:00,1,59.0,59.0,0.0,59.0,0.0,26.08,1.05,243.03
VS6TI00,瑞光路295號前,往南,2016-04-02,03:00:00,1,46.0,47.5,3.0,43.0,0.0,26.8,0.83,244.95
VS6TI00,瑞光路295號前,往南,2016-04-02,04:00:00,1,33.0,33.5,1.0,32.0,0.0,27.18,0.55,250.0
VS6TI00,瑞光路295號前,往南,2016-04-02,05:00:00,1,32.0,32.5,1.0,31.0,0.0,29.19,0.57,248.05
VS6TI00,瑞光路295號前,往南,2016-04-02,06:00:00,1,51.0,51.0,0.0,51.0,0.0,28.12,0.88,248.03
VS6TI00,瑞光路295號前,往南,2016-04-02,07:00:00,1,90.0,95.0,10.0,80.0,0.0,25.7,1.85,229.25
VS6TI00,瑞光路295號前,往南,2016-04-02,08:00:00,1,122.0,128.5,13.0,109.0,0.0,27.92,2.65,222.38
VS6TI00,瑞光路295號前,往南,2016-04-02,09:00:00,1,204.0,217.0,26.0,178.0,0.0,25.99,5.0,180.58
VS6TI00,瑞光路295號前,往南,2016-04-02,10:00:00,1,283.0,301.0,36.0,247.0,0.0,25.45,7.22,148.37
VS6TI00,瑞光路295號前,往南,2016-04-02,11:00:00,1,344.0,364.5,41.0,303.0,0.0,26.81,7.87,140.5
VS6TI00,瑞光路295號前,往南,2016-04-02,12:00:00,1,456.0,479.0,46.0,410.0,0.0,25.05,11.33,115.87
VS6TI00,瑞光路295號前,往南,2016-04-02,13:00:00,1,389.0,404.5,31.0,358.0,0.0,25.54,9.6,120.25
VS6TI00,瑞光路295號前,往南,2016-04-02,14:00:00,1,420.0,442.0,44.0,376.0,0.0,24.63,10.55,117.05
VS6TI00,瑞光路295號前,往南,2016-04-02,15:00:00,1,472.0,490.5,37.0,435.0,0.0,25.93,10.93,112.33
VS6TI00,瑞光路295號前,往南,2016-04-02,16:00:00,1,410.0,430.0,40.0,370.0,0.0,24.88,9.77,125.3
VS6TI00,瑞光路295號前,往南,2016-04-02,17:00:00,1,379.0,401.5,45.0,334.0,0.0,25.33,9.52,125.9
VS6TI00,瑞光路295號前,往南,2016-04-02,18:00:00,1,367.0,389.49152,32.0,335.0,0.0,25.99,9.0,130.5
VS6TI00,瑞光路295號前,往南,2016-04-02,19:00:00,1,374.0,396.0,44.0,330.0,0.0,24.550001,9.98,126.47
VS6TI00,瑞光路295號前,往南,2016-04-02,20:00:00,1,339.0,354.5,31.0,308.0,0.0,23.13,9.05,140.38
VS6TI00,瑞光路295號前,往南,2016-04-02,21:00:00,1,339.0,353.5,29.0,310.0,0.0,23.8,8.62,128.07
VS6TI00,瑞光路295號前,往南,2016-04-02,22:00:00,1,243.0,254.5,23.0,220.0,0.0,25.44,5.8,151.98
VS6TI00,瑞光路295號前,往南,2016-04-02,23:00:00,1,211.0,224.0,26.0,185.0,0.0,24.4,6.55,184.53
VS6TI00,瑞光路295號前,往南,2016-04-03,00:00:00,1,100.0,110.0,20.0,80.0,0.0,25.76,2.37,226.2
VS6TI00,瑞光路295號前,往南,2016-04-03,01:00:00,1,79.0,80.0,2.0,77.0,0.0,27.100002,1.77,232.45
VS6TI00,瑞光路295號前,往南,2016-04-03,02:00:00,1,45.0,45.5,1.0,44.0,0.0,26.889997,0.78,249.02
VS6TI00,瑞光路295號前,往南,2016-04-03,03:00:00,1,32.0,33.0,2.0,30.0,0.0,26.38,0.62,249.03
VS6TI00,瑞光路295號前,往南,2016-04-03,04:00:00,1,27.0,28.0,2.0,25.0,0.0,27.56,0.47,248.98
VS6TI00,瑞光路295號前,往南,2016-04-03,05:00:00,1,19.0,19.0,0.0,19.0,0.0,25.63,0.32,250.0
VS6TI00,瑞光路295號前,往南,2016-04-03,06:00:00,1,31.0,31.5,1.0,30.0,0.0,26.61,0.58,248.98
VS6TI00,瑞光路295號前,往南,2016-04-03,07:00:00,1,51.0,53.5,5.0,46.0,0.0,27.24,1.13,242.65
VS6TI00,瑞光路295號前,往南,2016-04-03,08:00:00,1,100.0,104.5,9.0,91.0,0.0,26.78,2.22,232.55
VS6TI00,瑞光路295號前,往南,2016-04-03,09:00:00,1,134.0,148.0,28.0,106.0,0.0,24.79,3.45,210.23
VS6TI00,瑞光路295號前,往南,2016-04-03,10:00:00,1,213.0,228.5,31.0,182.0,0.0,24.38,5.23,173.28
VS6TI00,瑞光路295號前,往南,2016-04-03,11:00:00,1,245.0,264.5,39.0,206.0,0.0,25.14,6.03,169.43
VS6TI00,瑞光路295號前,往南,2016-04-03,12:00:00,1,285.0,301.0,32.0,253.0,0.0,23.65,8.15,159.32
