EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-01,17:00:00,2,451.0,502.0,102.0,349.0,0.0,41.0335,2.55,122.17
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-01,18:00:00,2,541.0,583.0,84.0,457.0,0.0,44.406544,2.175,113.94
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-01,19:00:00,2,613.0,791.5,357.0,256.0,0.0,38.583866,8.434999,95.9
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-01,20:00:00,2,534.0,674.5,281.0,253.0,0.0,43.541775,3.7649999,115.025
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-01,21:00:00,2,504.0,647.5,287.0,217.0,0.0,41.096664,4.245,114.205
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-01,22:00:00,2,410.0,516.0,212.0,198.0,0.0,42.519608,3.3999999,97.595
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-01,23:00:00,2,375.0,477.5,205.0,170.0,0.0,43.08144,2.6999998,109.6
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,00:00:00,2,229.0,287.28815,107.0,122.0,0.0,46.467293,1.5500001,78.235
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,01:00:00,2,141.0,170.0,58.0,83.0,0.0,47.266026,0.825,71.575
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,02:00:00,2,105.0,127.5,45.0,60.0,0.0,43.677143,0.75,70.255005
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,03:00:00,2,61.0,70.5,19.0,42.0,0.0,47.33,0.29999998,59.245003
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,04:00:00,2,46.0,56.5,21.0,25.0,0.0,47.89065,0.215,57.63
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,05:00:00,2,37.0,44.0,14.0,23.0,0.0,47.7027,0.16,42.75
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,06:00:00,2,87.0,105.5,37.0,50.0,0.0,46.90678,0.33499998,92.245
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,07:00:00,2,166.0,194.0,56.0,110.0,0.0,47.894398,0.595,119.675
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,08:00:00,2,281.0,305.5,49.0,232.0,0.0,44.680107,1.3249999,126.315
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,09:00:00,2,390.0,416.5,53.0,337.0,0.0,44.11754,1.76,124.765
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,10:00:00,2,438.0,466.5,57.0,381.0,0.0,41.73,2.675,111.09
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,11:00:00,2,498.0,527.5,59.0,439.0,0.0,40.75076,2.6950002,121.97499
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,12:00:00,2,426.0,457.0,62.0,364.0,0.0,40.034927,2.125,113.05
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,13:00:00,2,421.0,448.5,55.0,366.0,0.0,43.87392,1.625,120.119995
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,14:00:00,2,436.0,462.0,52.0,384.0,0.0,42.27929,1.9649999,127.149994
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,15:00:00,2,499.0,555.0,112.0,387.0,0.0,40.460842,4.44,112.215
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,16:00:00,2,439.0,460.0,42.0,397.0,0.0,42.13818,2.28,111.1
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,17:00:00,2,471.0,501.5,61.0,410.0,0.0,42.536243,2.35,118.235
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,18:00:00,2,394.0,414.0,40.0,354.0,0.0,43.653755,1.865,121.015
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,19:00:00,2,412.0,528.5,233.0,179.0,0.0,40.47719,4.095,105.365
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,20:00:00,2,340.0,441.0,202.0,138.0,0.0,41.731323,2.59,111.095
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,21:00:00,2,372.0,476.0,208.0,164.0,0.0,42.039757,2.3449998,108.675
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,22:00:00,2,361.0,465.0,208.0,153.0,0.0,43.53435,2.665,95.785
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-02,23:00:00,2,318.0,414.5,193.0,125.0,0.0,43.69849,2.61,93.69
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-03,00:00:00,2,152.0,190.5,77.0,75.0,0.0,46.645,0.96999997,80.47
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-03,01:00:00,2,127.0,159.5,65.0,62.0,0.0,45.1826,0.85999995,87.854996
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-03,02:00:00,2,73.0,87.5,29.0,44.0,0.0,45.969177,0.41,56.265
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-03,03:00:00,2,122.0,161.5,79.0,43.0,0.0,43.427704,1.89,60.55
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-03,04:00:00,2,70.0,88.5,37.0,33.0,0.0,35.342,1.115,67.384995
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-03,05:00:00,2,67.0,83.0,32.0,35.0,0.0,32.775074,1.3050001,54.695
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-04-03,06:00:00,2,64.0,75.0,22.0,42.0,0.0,44.813595,0.12,67.494995
