EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,16:00:00,2,497.0,499.0,4.0,493.0,0.0,56.37145,2.625,106.759995
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,17:00:00,2,531.0,531.0,0.0,531.0,0.0,56.37407,2.615,103.64
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,18:00:00,2,476.0,476.5,1.0,475.0,0.0,56.33765,2.305,117.415
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,19:00:00,2,254.0,254.0,0.0,254.0,0.0,56.049488,1.35,139.8
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,20:00:00,2,274.0,278.64404,0.0,274.0,0.0,55.926277,1.375,139.44
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,21:00:00,2,285.0,301.05264,2.0,283.0,0.0,55.628105,1.5500001,135.48001
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,22:00:00,2,358.0,358.0,0.0,358.0,0.0,56.13771,1.76,133.405
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-01,23:00:00,2,296.0,296.0,0.0,296.0,0.0,56.16568,1.46,132.735
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-02,00:00:00,2,155.0,155.0,0.0,155.0,0.0,57.309036,0.825,154.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-02,01:00:00,2,117.0,117.0,0.0,117.0,0.0,56.994274,0.69,150.41501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-02,02:00:00,2,88.0,89.49152,0.0,88.0,0.0,58.025913,0.525,169.01999
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-02,03:00:00,2,65.0,68.42105,0.0,65.0,0.0,57.553078,0.44,172.20999
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-02,04:00:00,2,42.0,42.0,0.0,42.0,0.0,55.901432,0.29000002,204.29001
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-04-02,05:00:00,2,79.0,79.0,0.0,79.0,0.0,56.35582,0.495,176.955
