EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-01,17:00:00,2,1098.0,1132.5,69.0,1029.0,0.0,50.354,7.7999997,83.615
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-01,18:00:00,2,1230.0,1271.5,83.0,1147.0,0.0,52.301605,8.285,74.835
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-01,19:00:00,2,1457.0,1491.0,68.0,1389.0,0.0,49.88659,9.495,61.614998
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-01,20:00:00,2,1305.0,1345.5,81.0,1224.0,0.0,49.80862,8.6,73.515
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-01,21:00:00,2,1050.0,1088.5,77.0,973.0,0.0,55.622574,6.455,96.125
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-01,22:00:00,2,1032.0,1057.5,51.0,981.0,0.0,56.941628,6.015,97.325
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-01,23:00:00,2,845.0,860.5,31.0,814.0,0.0,55.787216,4.86,123.174995
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,00:00:00,2,560.0,571.0,22.0,538.0,0.0,57.918785,2.9,155.2
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,01:00:00,2,288.0,294.0,12.0,276.0,0.0,60.275345,1.325,210.475
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,02:00:00,2,228.0,229.5,3.0,225.0,0.0,63.41193,1.05,225.985
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,03:00:00,2,133.0,134.5,3.0,130.0,0.0,64.85714,0.65999997,239.42499
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,04:00:00,2,86.0,87.0,2.0,84.0,0.0,64.0,0.525,247.785
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,05:00:00,2,82.0,83.0,2.0,80.0,0.0,64.18232,0.485,246.885
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,06:00:00,2,98.0,104.0,12.0,86.0,0.0,66.1,0.53999996,242.975
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,07:00:00,2,208.0,218.5,21.0,187.0,0.0,55.766155,2.025,219.16501
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,08:00:00,2,349.0,362.0,26.0,323.0,0.0,56.030457,2.275,197.09
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,09:00:00,2,545.0,561.0,32.0,513.0,0.0,51.026936,3.165,166.775
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,10:00:00,2,874.0,897.0,46.0,828.0,0.0,55.352932,4.975,115.56
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,11:00:00,2,1056.0,1081.0,50.0,1006.0,0.0,52.03661,6.825,101.86
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,12:00:00,2,1152.0,1176.0,48.0,1104.0,0.0,50.937935,7.01,79.705
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,13:00:00,2,1079.0,1123.7288,52.0,1027.0,0.0,51.248184,6.74,90.2
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,14:00:00,2,915.0,935.5,41.0,874.0,0.0,54.753807,5.01,101.835
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,15:00:00,2,995.0,1017.5,45.0,950.0,0.0,53.28986,5.74,95.865
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,16:00:00,2,1084.0,1110.5,53.0,1031.0,0.0,52.936825,6.5699997,90.270004
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,17:00:00,2,1032.0,1061.0,58.0,974.0,0.0,53.8726,5.975,98.61
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,18:00:00,2,919.0,938.0,38.0,881.0,0.0,50.103035,5.775,103.96
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,19:00:00,2,866.0,887.0,42.0,824.0,0.0,52.826744,5.4300003,108.565
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,20:00:00,2,737.0,756.5,39.0,698.0,0.0,52.09642,4.5299997,124.61
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,21:00:00,2,800.0,815.5,31.0,769.0,0.0,52.520096,4.5950003,128.86499
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,22:00:00,2,849.0,868.5,39.0,803.0,0.0,51.705082,5.14,118.395004
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-02,23:00:00,2,621.0,639.8983,31.0,590.0,0.0,53.88056,18.205,154.53
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,00:00:00,2,281.0,286.5,11.0,270.0,0.0,48.7074,1.54,207.955
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,01:00:00,2,220.0,223.5,7.0,213.0,0.0,59.122456,1.08,222.21
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,02:00:00,2,137.0,139.5,5.0,132.0,0.0,61.62715,0.725,239.225
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,03:00:00,2,96.0,97.0,2.0,94.0,0.0,61.8349,0.515,245.98999
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,04:00:00,2,102.0,102.5,1.0,101.0,0.0,62.386078,0.53,245.13501
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,05:00:00,2,51.0,52.0,2.0,49.0,0.0,63.235294,0.375,250.0
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,06:00:00,2,76.0,79.0,6.0,70.0,0.0,62.226048,0.515,247.08499
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,07:00:00,2,176.0,185.5,19.0,157.0,0.0,52.00682,1.085,229.775
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,08:00:00,2,253.0,267.0,28.0,225.0,0.0,53.23581,1.6,213.875
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,09:00:00,2,411.0,425.0,28.0,383.0,0.0,56.004524,2.47,180.5
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,10:00:00,2,766.0,789.5,47.0,719.0,0.0,55.206345,4.3,133.125
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,11:00:00,2,908.0,929.0,42.0,866.0,0.0,52.163692,5.69,112.775
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,12:00:00,2,874.0,895.0,42.0,832.0,0.0,54.914276,5.09,113.625
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,13:00:00,2,765.0,797.7966,39.0,726.0,0.0,52.602665,4.775,124.08501
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,14:00:00,2,775.0,789.0,28.0,747.0,0.0,53.272068,4.615,120.33
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,15:00:00,2,837.0,856.5,39.0,798.0,0.0,55.081932,4.44,119.31
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,16:00:00,2,819.0,838.0,38.0,781.0,0.0,57.421474,4.5,125.16
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,17:00:00,2,813.0,831.0,36.0,777.0,0.0,57.005325,4.39,128.015
VQKWL61,民權東路六段203巷口往西30M,向東,2016-04-03,18:00:00,2,806.0,828.0,44.0,762.0,0.0,56.471317,4.5699997,125.335
