EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-01,17:00:00,2,1020.0,1162.1052,168.0,852.0,0.0,43.94282,16.68,91.354996
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-01,18:00:00,2,1221.0,1325.0,204.0,988.0,0.0,40.352333,16.7,81.25
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-01,19:00:00,2,1243.0,1374.1724,215.0,1019.0,0.0,37.75906,24.975,73.52
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-01,20:00:00,2,1347.0,1458.2034,192.0,1155.0,0.0,32.324078,16.68,80.235
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-01,21:00:00,2,1024.0,1106.0,164.0,860.0,0.0,51.112812,8.125,103.99
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-01,22:00:00,2,1031.0,1092.0,122.0,909.0,0.0,46.839844,8.51,103.815
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-01,23:00:00,2,869.0,915.5,93.0,776.0,0.0,51.99527,9.174999,114.66
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,00:00:00,2,504.0,528.0,48.0,456.0,0.0,57.37585,2.75,161.42
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,01:00:00,2,344.0,352.0,16.0,328.0,0.0,57.44622,1.51,200.225
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,02:00:00,2,202.0,207.0,10.0,192.0,0.0,59.63723,0.97,226.05
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,03:00:00,2,135.0,138.5,7.0,128.0,0.0,61.08267,0.635,237.375
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,04:00:00,2,105.0,108.5,7.0,98.0,0.0,59.53257,0.575,244.69
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,05:00:00,2,69.0,71.0,4.0,65.0,0.0,61.347828,0.38,245.86
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,06:00:00,2,141.0,146.5,11.0,130.0,0.0,54.36468,0.775,237.3
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,07:00:00,2,254.0,272.0,36.0,218.0,0.0,53.602047,1.4000001,215.51999
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,08:00:00,2,390.0,414.5,49.0,341.0,0.0,54.05877,2.065,185.6
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,09:00:00,2,587.0,619.0,64.0,523.0,0.0,57.737877,3.045,146.9
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,10:00:00,2,760.0,803.5,87.0,673.0,0.0,55.99484,4.8599997,126.08
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,11:00:00,2,855.0,907.0,104.0,751.0,0.0,56.79673,4.845,112.759995
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,12:00:00,2,850.0,896.0,92.0,758.0,0.0,57.657887,4.785,112.235
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,13:00:00,2,848.0,901.0,106.0,742.0,0.0,55.036465,5.8050003,116.375
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,14:00:00,2,850.0,899.5,99.0,751.0,0.0,57.06146,5.135,112.53
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,15:00:00,2,907.0,963.5,113.0,794.0,0.0,54.9047,6.675,110.435
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,16:00:00,2,866.0,912.5,93.0,773.0,0.0,56.790497,4.94,113.299995
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,17:00:00,2,824.0,907.13794,106.0,715.0,0.0,58.218502,4.87,116.015
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,18:00:00,2,842.0,900.1017,98.0,744.0,0.0,56.609325,4.925,114.98
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,19:00:00,2,789.0,826.0,74.0,715.0,0.0,56.708443,4.49,123.020004
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,20:00:00,2,697.0,731.5,69.0,628.0,0.0,57.24483,3.6,133.325
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,21:00:00,2,746.0,787.0,82.0,664.0,0.0,57.883835,3.925,127.625
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,22:00:00,2,814.0,849.0,70.0,744.0,0.0,58.13145,4.0550003,121.425
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-02,23:00:00,2,678.0,706.5,57.0,621.0,0.0,57.194332,3.7250001,139.095
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-03,00:00:00,2,335.0,350.5,31.0,304.0,0.0,59.328243,1.525,197.38
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-03,01:00:00,2,263.0,272.5,19.0,244.0,0.0,58.75513,1.2,213.335
VQEUU60,民權東路六段(中天電視對面),往西,2016-04-03,02:00:00,2,129.0,131.5,5.0,124.0,0.0,54.17023,0.77,237.975
