EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01,17:00:00,2,614.0,673.5,119.0,495.0,0.0,51.534203,5.8250003,146.005
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01,18:00:00,2,581.0,630.0,98.0,483.0,0.0,55.929123,3.645,155.66501
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01,19:00:00,2,691.0,746.0,110.0,581.0,0.0,48.997887,8.79,141.005
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01,20:00:00,2,695.0,755.5,121.0,574.0,0.0,49.78456,5.65,137.81
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01,21:00:00,2,573.0,626.0,106.0,462.0,0.0,53.5,3.625,159.65
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01,22:00:00,2,536.0,580.0084,74.0,463.0,-1.0,56.876343,3.9950001,162.63
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01,23:00:00,2,373.0,397.5,49.0,324.0,0.0,59.477,1.9100001,190.725
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,00:00:00,2,152.0,161.0,18.0,134.0,0.0,59.789074,0.79999995,233.915
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,01:00:00,2,68.0,68.0,0.0,68.0,0.0,60.338234,0.4,248.25
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,02:00:00,2,70.0,73.0,6.0,64.0,0.0,69.286,0.42000002,248.24
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,03:00:00,2,37.0,37.5,1.0,36.0,0.0,70.0,0.275,250.0
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,04:00:00,2,30.0,30.5,1.0,29.0,0.0,70.0,0.225,250.0
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,05:00:00,2,26.0,26.0,0.0,26.0,0.0,70.0,0.225,250.0
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,06:00:00,2,40.0,45.0,10.0,30.0,0.0,68.252,0.315,250.0
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,07:00:00,2,115.0,130.5,31.0,84.0,0.0,69.17478,0.735,243.705
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,08:00:00,2,175.0,194.0,38.0,137.0,0.0,63.1224,1.065,232.66501
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,09:00:00,2,271.0,299.5,57.0,214.0,0.0,63.096603,1.5150001,210.7
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,10:00:00,2,470.0,507.5,75.0,395.0,0.0,62.28979,2.3,170.20499
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,11:00:00,2,578.0,629.0,102.0,476.0,0.0,61.545807,4.185,152.38
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,12:00:00,2,543.0,596.4407,87.0,456.0,0.0,59.84514,2.875,161.91501
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,13:00:00,2,606.0,648.5,85.0,521.0,0.0,55.87792,5.185,150.965
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02,14:00:00,2,520.0,563.5,87.0,428.0,0.0,58.604717,3.595,165.485
