EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,16:00:00,2,434.0,444.5,21.0,413.0,0.0,54.76,2.09,53.96
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,17:00:00,2,435.0,445.5,21.0,414.0,0.0,51.07,2.325,56.525
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,18:00:00,2,577.0,604.57623,35.0,542.0,0.0,48.95,3.725,41.815
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,19:00:00,2,578.0,609.5,63.0,515.0,0.0,48.12,5.285,35.0
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,20:00:00,2,389.0,399.0,20.0,369.0,0.0,45.24,2.25,62.91
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,21:00:00,2,407.0,414.5,15.0,392.0,0.0,46.81,2.085,60.79
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,22:00:00,2,356.0,363.0,14.0,342.0,0.0,51.659996,1.69,65.4
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-01,23:00:00,2,260.0,267.0,14.0,246.0,0.0,53.74,1.185,84.34
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,00:00:00,2,132.0,134.0,4.0,128.0,0.0,62.53,0.575,108.765
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,01:00:00,2,73.0,75.0,4.0,69.0,0.0,62.18,0.375,118.04
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,02:00:00,2,51.0,53.0,4.0,47.0,0.0,53.43,0.315,121.86
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,03:00:00,2,27.0,28.5,3.0,24.0,0.0,52.3,0.19,121.6
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,04:00:00,2,22.0,22.0,0.0,22.0,0.0,55.320004,0.16,125.0
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,05:00:00,2,31.0,31.0,0.0,31.0,0.0,54.55,0.185,122.025
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,06:00:00,2,60.0,65.0,10.0,50.0,0.0,53.43,0.385,119.625
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,07:00:00,2,118.0,123.0,10.0,108.0,0.0,54.43,0.585,105.165
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,08:00:00,2,139.0,143.5,9.0,130.0,0.0,55.42,0.64,106.075
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,09:00:00,2,184.0,191.5,15.0,169.0,0.0,63.29,0.81,98.215
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,10:00:00,2,257.0,262.5,11.0,246.0,0.0,53.01,1.16,82.635
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,11:00:00,2,326.0,331.5,11.0,315.0,0.0,52.67,1.56,68.9
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,12:00:00,2,334.0,364.8214,13.0,321.0,0.0,55.0,1.675,64.785
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,13:00:00,2,304.0,312.0,16.0,288.0,0.0,56.52,1.415,73.91
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,14:00:00,2,295.0,304.5,19.0,276.0,0.0,53.54,1.365,72.665
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,15:00:00,2,297.0,303.0,12.0,285.0,0.0,49.98,1.515,73.19
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,16:00:00,2,332.0,339.0,14.0,318.0,0.0,56.78,1.475,69.625
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,17:00:00,2,336.0,342.0,12.0,324.0,0.0,50.110004,1.535,68.785
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,18:00:00,2,326.0,337.0,22.0,304.0,0.0,56.69,1.44,72.56
VQRTE00,舊宗路二段121巷口左側人行道上,往北,2016-04-02,19:00:00,2,315.0,322.0,14.0,301.0,0.0,56.16,1.425,68.175
