EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,14:00:00,2,150.0,163.96553,17.0,133.0,0.0,49.824802,0.96,70.425
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,15:00:00,2,358.0,378.81354,29.0,329.0,0.0,45.522125,2.2150002,191.025
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,16:00:00,2,375.0,386.0,22.0,353.0,0.0,45.5284,2.26,194.20499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,17:00:00,2,319.0,331.0,24.0,295.0,0.0,48.200687,1.96,200.815
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,18:00:00,2,374.0,399.0,50.0,324.0,0.0,42.232754,3.615,191.965
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,19:00:00,2,370.0,385.0,30.0,340.0,0.0,47.92335,3.17,191.225
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,20:00:00,2,232.0,246.0,28.0,204.0,0.0,50.407932,1.5,217.775
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,21:00:00,2,163.0,169.5,13.0,150.0,0.0,44.82779,1.525,233.345
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,22:00:00,2,139.0,144.5,11.0,128.0,0.0,46.012157,0.85,236.54999
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-06,23:00:00,2,87.0,88.5,3.0,84.0,0.0,46.33299,0.575,243.31
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,00:00:00,2,57.0,58.0,2.0,55.0,0.0,44.912807,0.4,242.16501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,01:00:00,2,17.0,19.444445,1.0,16.0,0.0,42.945293,0.16499999,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,02:00:00,2,10.0,10.0,0.0,10.0,0.0,41.701,0.085,245.83
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,03:00:00,2,11.0,11.0,0.0,11.0,0.0,35.909092,0.095,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,04:00:00,2,22.0,22.0,0.0,22.0,0.0,41.636364,0.155,245.38
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,05:00:00,2,17.0,18.0,2.0,15.0,0.0,45.76412,0.135,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,06:00:00,2,52.0,53.0,2.0,50.0,0.0,45.713463,0.33999997,249.08499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,07:00:00,2,142.0,148.5,13.0,129.0,0.0,47.297184,0.85,235.725
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,08:00:00,2,395.0,423.0,56.0,339.0,0.0,43.88896,3.115,184.95
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,09:00:00,2,426.0,446.5,41.0,382.0,0.0,42.289856,3.615,179.54501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,10:00:00,2,431.0,468.2627,64.0,367.0,0.0,43.57109,4.5,181.935
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,11:00:00,2,406.0,424.5,37.0,369.0,0.0,43.688644,3.19,193.95001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,12:00:00,2,362.0,381.0,38.0,324.0,0.0,45.746742,2.2649999,192.305
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,13:00:00,2,350.0,365.5,31.0,319.0,0.0,45.871,2.145,201.13501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,14:00:00,2,389.0,400.5,23.0,366.0,0.0,44.404755,2.5149999,192.45001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,15:00:00,2,383.0,397.5,29.0,354.0,0.0,47.42739,2.33,186.375
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,16:00:00,2,288.0,382.34042,23.0,265.0,0.0,45.111145,2.2849998,187.59
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,17:00:00,2,364.0,380.5,33.0,331.0,0.0,43.851757,2.3400002,193.7
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,18:00:00,2,348.0,370.0,44.0,304.0,0.0,46.415516,2.915,197.485
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,19:00:00,2,434.0,464.5,61.0,373.0,0.0,44.318478,4.705,179.83
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,20:00:00,2,304.0,329.0,50.0,254.0,0.0,46.685856,2.46,204.105
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,21:00:00,2,237.0,247.0,20.0,217.0,0.0,49.506073,1.46,217.415
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,22:00:00,2,152.0,158.5,13.0,139.0,0.0,46.7975,2.355,230.83499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-07,23:00:00,2,103.0,107.0,8.0,95.0,0.0,47.55437,0.64,241.70999
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-08,00:00:00,2,46.0,48.0,4.0,42.0,0.0,40.36587,0.325,244.905
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-08,01:00:00,2,18.0,19.830507,3.0,15.0,0.0,41.501114,0.16000001,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-08,02:00:00,2,17.0,17.5,1.0,16.0,0.0,42.708828,0.14,245.83
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-08,03:00:00,2,7.0,7.0,0.0,7.0,0.0,43.142857,0.049999997,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-04-08,04:00:00,2,15.0,15.0,0.0,15.0,0.0,42.8,0.1,245.375
