EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,17:00:00,2,388.0,396.0,16.0,372.0,0.0,31.003582,3.0900002,191.325
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,18:00:00,2,447.0,460.0,26.0,421.0,0.0,29.616465,3.5900002,185.21
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,19:00:00,2,408.0,417.0,18.0,390.0,0.0,30.167353,3.35,187.735
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,20:00:00,2,297.0,302.5,11.0,286.0,0.0,33.297775,2.24,205.68
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,21:00:00,2,271.0,276.0,10.0,261.0,0.0,36.222507,1.925,206.36
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,22:00:00,2,253.0,259.0,12.0,241.0,0.0,33.747746,1.85,215.05
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,23:00:00,2,162.0,166.0,8.0,154.0,0.0,33.54741,1.15,231.5
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,00:00:00,2,103.0,104.5,3.0,100.0,0.0,34.189903,0.665,235.70999
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,01:00:00,2,48.0,49.0,2.0,46.0,0.0,48.21083,0.295,247.3
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,02:00:00,2,26.0,26.5,1.0,25.0,0.0,54.653847,0.185,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,03:00:00,2,25.0,25.5,1.0,24.0,0.0,55.240402,0.2,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,04:00:00,2,14.0,14.0,0.0,14.0,0.0,51.500713,0.1,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,05:00:00,2,20.0,20.5,1.0,19.0,0.0,48.3,0.11,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,06:00:00,2,58.0,59.5,3.0,55.0,0.0,41.138275,0.38500002,246.41
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,07:00:00,2,149.0,152.5,7.0,142.0,0.0,35.212013,1.0550001,228.125
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,08:00:00,2,246.0,249.5,7.0,239.0,0.0,37.24447,1.72,215.39
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,09:00:00,2,373.0,376.5,7.0,366.0,0.0,32.10308,2.84,194.805
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,10:00:00,2,443.0,449.0,12.0,431.0,0.0,31.571648,3.7849998,183.825
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,11:00:00,2,460.0,465.0,10.0,450.0,0.0,30.644892,3.76,186.29001
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,12:00:00,2,476.0,482.5,13.0,463.0,0.0,30.162416,4.095,186.8
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,13:00:00,2,431.0,443.3898,10.0,421.0,0.0,28.612574,3.8200002,187.20999
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,14:00:00,2,480.0,484.5,9.0,471.0,0.0,30.414667,4.075,183.47499
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,15:00:00,2,495.0,499.5,9.0,486.0,0.0,28.582607,4.28,181.7
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,16:00:00,2,481.0,491.0,20.0,461.0,0.0,28.504824,4.335,181.51001
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,17:00:00,2,401.0,404.0,6.0,395.0,0.0,30.481647,3.235,194.1
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,18:00:00,2,389.0,395.5,13.0,376.0,0.0,31.873343,3.015,194.685
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,19:00:00,2,340.0,345.5,11.0,329.0,0.0,29.188942,2.825,201.555
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,20:00:00,2,216.0,219.5,7.0,209.0,0.0,28.52111,1.6650001,217.695
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,21:00:00,2,211.0,213.5,5.0,206.0,0.0,31.183836,1.5749999,220.725
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,22:00:00,2,179.0,185.5,13.0,166.0,0.0,32.549274,1.3399999,225.66501
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-02,23:00:00,2,148.0,151.5,7.0,141.0,0.0,33.19973,1.03,230.245
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,00:00:00,2,94.0,95.0,2.0,92.0,0.0,37.403297,0.64,240.95001
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,01:00:00,2,48.0,49.0,2.0,46.0,0.0,30.208334,0.36,248.16
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,02:00:00,2,25.0,25.0,0.0,25.0,0.0,30.68,0.19,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,03:00:00,2,18.0,18.0,0.0,18.0,0.0,29.333889,0.15,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,04:00:00,2,17.0,17.0,0.0,17.0,0.0,29.47,0.115,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,05:00:00,2,13.0,13.0,0.0,13.0,0.0,30.619999,0.09,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,06:00:00,2,40.0,41.0,2.0,38.0,0.0,38.378,0.25,247.95999
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,07:00:00,2,104.0,109.0,10.0,94.0,0.0,43.432213,0.66,241.01001
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,08:00:00,2,175.0,180.0,10.0,165.0,0.0,34.999775,1.26,225.70499
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,09:00:00,2,257.0,260.5,7.0,250.0,0.0,32.72969,1.96,208.55
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,10:00:00,2,352.0,354.5,5.0,347.0,0.0,32.29045,2.7250001,196.07
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,11:00:00,2,374.0,377.5,7.0,367.0,0.0,30.265854,3.015,195.4
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,12:00:00,2,401.0,406.5,11.0,390.0,0.0,30.51227,3.36,195.04001
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,13:00:00,2,373.0,385.4237,12.0,361.0,0.0,29.99582,3.2,193.91501
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,14:00:00,2,359.0,364.5,11.0,348.0,0.0,32.09702,2.875,199.32
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,15:00:00,2,357.0,365.5,17.0,340.0,0.0,28.637058,3.045,196.95
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,16:00:00,2,355.0,358.0,6.0,349.0,0.0,29.651241,2.8100002,198.675
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,17:00:00,2,317.0,318.5,3.0,314.0,0.0,28.960789,2.5249999,208.5
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,18:00:00,2,337.0,339.5,5.0,332.0,0.0,28.715342,2.7800002,198.98
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,19:00:00,2,262.0,270.50848,8.0,254.0,0.0,28.834732,2.155,210.08499
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,20:00:00,2,198.0,203.0,10.0,188.0,0.0,31.228382,1.49,221.09
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,21:00:00,2,176.0,180.0,8.0,168.0,0.0,30.01477,1.34,223.185
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,22:00:00,2,146.0,151.5,11.0,135.0,0.0,29.23178,1.0649999,231.015
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-03,23:00:00,2,113.0,116.0,6.0,107.0,0.0,33.827168,0.745,239.83
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,00:00:00,2,80.0,81.5,3.0,77.0,0.0,32.198128,0.575,244.48999
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,01:00:00,2,47.0,47.5,1.0,46.0,0.0,32.87298,0.29999998,246.825
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,02:00:00,2,28.0,28.0,0.0,28.0,0.0,31.070713,0.19500001,249.535
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,03:00:00,2,21.0,21.0,0.0,21.0,0.0,35.187145,0.15,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,04:00:00,2,15.0,15.0,0.0,15.0,0.0,33.93,0.09,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,05:00:00,2,14.0,14.0,0.0,14.0,0.0,36.640003,0.105000004,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,06:00:00,2,48.0,50.0,4.0,44.0,0.0,37.37396,0.29,247.025
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,07:00:00,2,109.0,117.0,16.0,93.0,0.0,36.584038,0.855,238.16501
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,08:00:00,2,159.0,165.0,12.0,147.0,0.0,33.77679,1.19,229.58499
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,09:00:00,2,209.0,212.5,7.0,202.0,0.0,32.372635,1.5500001,221.655
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,10:00:00,2,285.0,292.5,15.0,270.0,0.0,32.65021,2.05,211.13
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,11:00:00,2,368.0,375.5,15.0,353.0,0.0,31.470432,2.91,195.065
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,12:00:00,2,414.0,422.0,16.0,398.0,0.0,32.828407,3.31,192.63
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,13:00:00,2,327.0,340.67795,16.0,311.0,0.0,32.97734,2.51,201.24
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-04,14:00:00,2,334.0,342.5,17.0,317.0,0.0,32.167725,2.6100001,200.325
