台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 17:00:00,2,828.0,866.5,77.0,751.0,0.0,41.02499,6.62,93.485,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 18:00:00,2,846.0,885.0,74.0,756.0,0.0,39.46841,6.515,85.225006,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 19:00:00,2,755.0,873.9828,200.0,556.0,-1.0,40.019444,7.39,87.21,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 20:00:00,2,849.0,937.5,177.0,672.0,0.0,42.655087,5.79,90.255005,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 21:00:00,2,867.0,959.5,181.0,675.0,0.0,42.002327,7.25,93.84,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 22:00:00,2,865.0,966.88983,184.0,681.0,0.0,42.705654,5.88,88.565,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 23:00:00,2,634.0,732.20337,172.0,462.0,0.0,45.2109,4.045,101.8,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-02 00:00:00,2,432.0,518.0,172.0,260.0,0.0,46.2,2.885,115.615005,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-02 01:00:00,2,299.0,372.2034,134.0,165.0,0.0,48.908394,1.695,114.71001,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-02 02:00:00,2,215.0,261.5,93.0,122.0,0.0,47.7907,1.27,114.865005,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-02 03:00:00,2,177.0,215.0,76.0,101.0,0.0,47.37881,0.99,119.41499,
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-04-02 04:00:00,2,153.0,182.0,58.0,95.0,0.0,47.29307,0.76,95.6,
