台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-01 17:00:00,2,550.0,585.5,71.0,479.0,0.0,43.067726,3.3999999,111.31999,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-01 18:00:00,2,453.0,480.5,55.0,398.0,0.0,39.303356,3.01,86.125,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-01 19:00:00,2,380.0,414.5,69.0,311.0,0.0,38.27237,3.39,86.93,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-01 20:00:00,2,522.0,569.0,94.0,428.0,0.0,40.217587,2.72,108.865005,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-01 21:00:00,2,477.0,524.0,94.0,383.0,0.0,42.252136,2.45,111.05,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-01 22:00:00,2,395.0,430.5,71.0,324.0,0.0,42.203773,1.895,112.79,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-01 23:00:00,2,287.0,317.5,61.0,226.0,0.0,44.703415,1.25,119.7,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-02 00:00:00,2,218.0,241.5,47.0,171.0,0.0,45.4806,1.02,118.66,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-02 01:00:00,2,152.0,160.5,17.0,135.0,0.0,46.751316,0.47500002,108.7,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-02 02:00:00,2,89.0,94.5,11.0,78.0,0.0,46.85775,0.22500001,100.075005,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-02 03:00:00,2,79.0,83.5,9.0,70.0,0.0,46.320633,0.16,92.84,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-02 04:00:00,2,60.0,64.5,9.0,51.0,0.0,46.551003,0.19,73.61,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-02 05:00:00,2,66.0,71.0,10.0,56.0,0.0,47.62182,0.14,94.69,
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-04-02 06:00:00,2,136.0,148.0,24.0,112.0,0.0,46.66191,0.51,130.625,
