EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-01,17:00:00,3,1636.0,1645.0,18.0,1618.0,0.0,30.76827,8.343333,90.829994
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-01,18:00:00,3,1638.0,1649.5,23.0,1615.0,0.0,29.598047,9.08,92.40333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-01,19:00:00,3,1575.0,1597.0,44.0,1531.0,0.0,29.049776,9.523334,90.549995
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-01,20:00:00,3,1339.0,1346.5,15.0,1324.0,0.0,32.376766,7.1433334,99.22333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-01,21:00:00,3,955.0,1024.2856,2.0,953.0,0.0,34.624607,4.8333335,109.31667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-01,22:00:00,3,1136.0,1136.0,0.0,1136.0,0.0,34.38569,5.4166665,114.57
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-01,23:00:00,3,804.0,804.5,1.0,803.0,0.0,35.199715,3.6633332,124.69666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,00:00:00,3,504.0,504.0,0.0,504.0,0.0,35.65496,2.18,144.59334
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,01:00:00,3,325.0,326.0,2.0,323.0,0.0,36.03188,1.4833332,160.24666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,02:00:00,3,220.0,223.7288,0.0,220.0,0.0,36.2745,0.93,154.43001
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,03:00:00,3,153.0,161.05264,0.0,153.0,0.0,36.74869,0.7366667,171.79333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,04:00:00,3,146.0,146.0,0.0,146.0,0.0,36.025482,0.6933333,166.61
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,05:00:00,3,227.0,227.0,0.0,227.0,0.0,36.248943,0.9666667,175.89
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,06:00:00,3,485.0,485.0,0.0,485.0,0.0,35.493504,2.1266668,156.77666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,07:00:00,3,580.0,580.0,0.0,580.0,0.0,35.334602,2.56,135.55
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,08:00:00,3,648.0,659.49146,1.0,647.0,0.0,35.530617,2.9133332,135.15334
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,09:00:00,3,753.0,792.6316,0.0,753.0,0.0,35.592075,3.243333,133.01
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,10:00:00,3,1026.0,1026.0,0.0,1026.0,0.0,35.430374,4.4066668,117.0
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,11:00:00,3,1228.0,1228.0,0.0,1228.0,0.0,34.977882,5.313333,113.03666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,12:00:00,3,1312.0,1313.0,2.0,1310.0,0.0,34.53335,5.8566666,100.91333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,13:00:00,3,1349.0,1349.0,0.0,1349.0,0.0,34.606625,5.9933333,101.51666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,14:00:00,3,1270.0,1292.0339,1.0,1269.0,0.0,34.686554,5.8433337,112.22333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,15:00:00,3,1266.0,1333.6843,2.0,1264.0,0.0,34.277504,6.23,104.18667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,16:00:00,3,1333.0,1334.0,2.0,1331.0,0.0,34.03716,6.4066663,105.200005
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,17:00:00,3,1248.0,1249.0,2.0,1246.0,0.0,34.196056,5.9499993,109.71667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,18:00:00,3,1212.0,1212.0,0.0,1212.0,0.0,34.46645,5.5766664,107.736664
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,19:00:00,3,1187.0,1189.0,4.0,1183.0,0.0,34.014557,5.883333,106.98
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,20:00:00,3,878.0,879.0,2.0,876.0,0.0,34.810993,4.1066666,115.706665
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,21:00:00,3,761.0,815.35706,0.0,761.0,0.0,35.093204,3.4666665,122.35667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,22:00:00,3,861.0,861.5,1.0,860.0,0.0,34.990116,3.8733337,124.23
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-02,23:00:00,3,594.0,594.0,0.0,594.0,0.0,35.520775,2.5533333,143.18666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,00:00:00,3,267.0,267.0,0.0,267.0,0.0,35.971382,1.1,121.16333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,01:00:00,3,219.0,219.0,0.0,219.0,0.0,36.066166,0.97333336,138.38667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,02:00:00,3,178.0,181.01694,0.0,178.0,0.0,36.43062,0.76666665,162.86333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,03:00:00,3,129.0,135.78947,0.0,129.0,0.0,37.063255,0.56,172.44334
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,04:00:00,3,101.0,101.0,0.0,101.0,0.0,36.55495,0.4533333,184.94334
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,05:00:00,3,201.0,201.0,0.0,201.0,0.0,35.872635,0.9066667,166.25334
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,06:00:00,3,430.0,430.0,0.0,430.0,0.0,35.315,1.9033333,153.24666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,07:00:00,3,584.0,584.0,0.0,584.0,0.0,35.432297,2.58,138.49
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,08:00:00,3,486.0,486.0,0.0,486.0,0.0,35.68173,2.2,140.24666
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,09:00:00,3,545.0,583.9286,0.0,545.0,0.0,35.842148,2.2966666,139.36
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,10:00:00,3,857.0,857.5,1.0,856.0,0.0,35.349243,3.7666667,110.64333
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,11:00:00,3,995.0,995.5,1.0,994.0,0.0,35.55437,4.0933332,114.86667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,12:00:00,3,1048.0,1048.0,0.0,1048.0,0.0,35.703674,4.346667,113.18667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,13:00:00,3,1019.0,1019.5,1.0,1018.0,0.0,35.259235,4.3766665,113.10667
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,14:00:00,3,1033.0,1052.0339,3.0,1030.0,0.0,35.056515,4.7100005,105.82001
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,15:00:00,3,1001.0,1054.2106,1.0,1000.0,0.0,34.782436,4.5499997,102.90334
VNUNJ20,民權東路三段142號對面人行道上,往東,2016-04-03,16:00:00,3,1089.0,1089.5,1.0,1088.0,0.0,35.009495,4.903333,108.28666
