EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,00:00:00,3,231.0,239.0,16.0,215.0,0.0,50.72013,0.70666665,237.11
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,01:00:00,3,125.0,128.5,7.0,118.0,0.0,53.698315,0.29000002,248.05666
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,02:00:00,3,90.0,91.5,3.0,87.0,0.0,52.69033,0.17333333,247.77667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,03:00:00,3,41.0,42.0,2.0,39.0,0.0,51.949997,0.06333333,249.72333
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,04:00:00,3,53.0,55.0,4.0,49.0,0.0,52.699436,0.07666666,249.16667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,05:00:00,3,77.0,79.5,5.0,72.0,0.0,49.572727,0.2,248.89
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,06:00:00,3,293.0,303.5,21.0,272.0,0.0,51.150036,0.8733334,223.61665
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,07:00:00,3,573.0,614.5,83.0,490.0,0.0,49.60597,2.6333334,188.51332
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,08:00:00,3,812.0,851.0,78.0,734.0,0.0,49.663387,2.8233335,172.47667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,09:00:00,3,955.0,992.5,75.0,880.0,0.0,50.49942,3.64,158.33667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,10:00:00,3,965.0,997.5,65.0,900.0,0.0,50.484505,3.1366665,156.81667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,11:00:00,3,942.0,987.5,91.0,851.0,0.0,52.222244,3.03,153.22
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,12:00:00,3,863.0,901.5,77.0,786.0,0.0,51.511326,2.756667,163.25667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,13:00:00,3,926.0,959.5,67.0,859.0,0.0,51.672764,2.8433332,158.46667
VNUNJ20,民權東路三段142號對面人行道上,往西,2016-10-11,14:00:00,3,876.0,910.5,69.0,807.0,0.0,50.930344,2.7733335,160.49
