EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,00:00:00,2,212.0,220.0,16.0,196.0,0.0,37.859623,1.535,223.425
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,01:00:00,2,99.0,103.5,9.0,90.0,0.0,49.81475,0.6,242.11
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,02:00:00,2,61.0,61.5,1.0,60.0,0.0,41.180492,0.445,247.265
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,03:00:00,2,46.0,47.5,3.0,43.0,0.0,47.84348,0.30499998,249.525
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,04:00:00,2,25.0,26.0,2.0,23.0,0.0,45.721603,0.185,249.54001
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,05:00:00,2,31.0,31.5,1.0,30.0,0.0,62.963226,0.2,249.065
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,06:00:00,2,61.0,65.0,8.0,53.0,0.0,40.509018,0.415,246.275
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,07:00:00,2,170.0,183.5,27.0,143.0,0.0,25.568705,1.62,224.675
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,08:00:00,2,445.0,473.5,57.0,388.0,0.0,40.21418,3.685,177.65
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,09:00:00,2,486.0,511.5,51.0,435.0,0.0,39.783333,4.005,170.86
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,10:00:00,2,504.0,538.5,69.0,435.0,0.0,40.87171,4.1349998,169.77
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,11:00:00,2,519.0,545.0,52.0,467.0,0.0,32.752026,4.6,167.375
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,12:00:00,2,565.0,603.0,76.0,489.0,0.0,42.670036,4.29,162.555
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,13:00:00,2,543.0,561.5,37.0,506.0,0.0,34.780716,4.5750003,165.56
VQKWL61,民權東路六段203巷口往西30M,向東,2016-10-11,14:00:00,2,470.0,501.0,62.0,408.0,0.0,37.845467,4.035,177.315
