EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,00:00:00,3,272.0,273.0,2.0,270.0,0.0,51.320515,1.9099998,230.02667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,01:00:00,3,143.0,143.5,1.0,142.0,0.0,52.544827,0.31,247.5
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,02:00:00,3,86.0,86.0,0.0,86.0,0.0,55.696396,0.120000005,249.16667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,03:00:00,3,51.0,51.5,1.0,50.0,0.0,53.70235,0.07,249.72333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,04:00:00,3,42.0,43.0,2.0,40.0,0.0,54.523094,0.05,250.0
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,05:00:00,3,50.0,50.0,0.0,50.0,0.0,55.7798,0.030000001,250.0
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,06:00:00,3,102.0,103.5,3.0,99.0,0.0,50.99275,0.23,247.33333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,07:00:00,3,555.0,560.5,11.0,544.0,0.0,50.52207,1.5900002,193.01666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,08:00:00,3,2024.0,2051.5,55.0,1969.0,0.0,43.995163,11.34,108.08666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,09:00:00,3,2672.0,2711.0,78.0,2594.0,0.0,39.234318,16.996668,107.329994
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,10:00:00,3,2547.5,2592.0,88.0,2449.0,0.0,41.594353,14.02,88.473335
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,11:00:00,3,1541.0,1602.8965,87.0,1454.0,0.0,44.472263,7.58,83.82667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,12:00:00,3,1435.0,1465.5,61.0,1374.0,0.0,47.142292,5.7766666,92.31667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,13:00:00,3,1426.0,1469.75,87.0,1332.0,0.0,46.776737,6.1866665,92.659996
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,14:00:00,3,1568.0,1606.9067,57.0,1504.0,0.0,47.402405,6.3933334,84.886665
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,15:00:00,3,1477.0,1717.8085,66.0,1391.0,0.0,45.26055,8.256666,75.24334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,16:00:00,3,1545.0,1592.3103,55.0,1490.0,0.0,46.21245,7.486667,80.13
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,17:00:00,3,1577.0,1619.0,84.0,1493.0,0.0,46.123436,7.1,83.28
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,18:00:00,3,1689.0,1733.25,87.0,1593.0,0.0,45.608036,8.076667,103.973335
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,19:00:00,3,1557.0,1617.5677,83.0,1474.0,0.0,45.22243,8.06,106.31666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,20:00:00,3,1270.0,1287.5,35.0,1235.0,0.0,47.135246,4.5399995,121.62333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,21:00:00,3,293.0,989.9999,8.0,285.0,0.0,48.745975,2.7733335,148.37334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,22:00:00,3,422.0,793.12494,2.0,420.0,0.0,50.26578,2.3500001,155.39
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-11,23:00:00,3,381.0,560.4878,4.0,377.0,0.0,51.615223,1.5033334,192.89667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,00:00:00,3,92.0,240.00002,0.0,92.0,0.0,52.47739,0.6066666,235.55666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,01:00:00,3,78.0,212.72726,0.0,78.0,0.0,53.680637,0.43999997,236.59999
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,02:00:00,3,91.0,100.363625,2.0,89.0,0.0,53.61373,0.17,248.18333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,03:00:00,3,63.0,63.5,1.0,62.0,0.0,52.461113,0.116666675,249.72333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,04:00:00,3,53.0,53.0,0.0,53.0,0.0,56.038303,0.040000003,250.0
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,05:00:00,3,60.0,61.0,2.0,58.0,0.0,54.816334,0.07,241.39
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,06:00:00,3,105.0,107.0,4.0,101.0,0.0,50.10419,0.26333335,245.0
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,07:00:00,3,478.0,485.0,14.0,464.0,0.0,49.074917,1.4666666,205.95
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,08:00:00,3,1817.0,1843.5,53.0,1764.0,0.0,42.74369,13.063333,116.25
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,09:00:00,3,903.5,2478.4316,20.0,875.0,0.0,42.353294,11.179999,107.706665
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,10:00:00,3,2303.0,2531.961,92.0,2211.0,0.0,36.588924,20.426666,99.1
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,11:00:00,3,1509.0,1784.9763,136.0,1365.0,0.0,38.094078,14.950001,81.136665
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,12:00:00,3,1540.0,1590.8813,82.0,1458.0,0.0,44.26606,7.0533333,81.45333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,13:00:00,3,1537.5,1590.75,106.0,1422.0,0.0,45.198273,7.2433333,80.89
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,14:00:00,3,1692.0,1740.3813,76.0,1616.0,0.0,43.159187,8.973332,75.72666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-10-12,15:00:00,3,1686.0,1738.0,104.0,1582.0,0.0,42.833782,8.726666,76.66333
