EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSPRA40,基湖路39號前,往北,2016-10-11,00:00:00,1,32.0,33.050846,1.0,31.0,0.0,39.03,0.57,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,01:00:00,1,20.0,20.847458,1.0,19.0,0.0,39.5,0.34,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,02:00:00,1,5.0,5.0847454,0.0,5.0,0.0,40.8,0.09,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,03:00:00,1,7.0,7.6271186,1.0,6.0,0.0,44.72,0.12,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,04:00:00,1,5.0,5.0847454,0.0,5.0,0.0,44.4,0.09,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,05:00:00,1,9.0,10.169491,2.0,7.0,0.0,41.11,0.15,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,06:00:00,1,18.0,18.5,1.0,17.0,0.0,41.45,0.33,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,07:00:00,1,65.0,71.18644,10.0,55.0,0.0,38.86,1.26,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,08:00:00,1,208.0,220.67796,18.0,190.0,0.0,37.6,3.88,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,09:00:00,1,237.0,254.74576,27.0,210.0,0.0,29.98,6.13,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,10:00:00,1,225.0,234.0,18.0,207.0,0.0,31.2,4.85,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,11:00:00,1,188.0,200.33897,18.0,170.0,0.0,32.14,4.02,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,12:00:00,1,205.0,220.0,30.0,175.0,0.0,34.03,5.3,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,13:00:00,1,196.0,208.47456,18.0,178.0,0.0,31.13,4.17,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,14:00:00,1,215.0,229.8305,22.0,193.0,0.0,32.45,4.48,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,15:00:00,1,201.0,249.41176,22.0,179.0,0.0,33.48,5.34,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,16:00:00,1,224.0,244.0678,32.0,192.0,0.0,33.74,4.72,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,17:00:00,1,240.0,259.8305,31.0,209.0,0.0,33.23,5.2,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,18:00:00,1,331.0,366.61017,59.0,272.0,0.0,33.19,7.5,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,19:00:00,1,521.0,562.37286,64.0,457.0,0.0,30.09,12.18,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,20:00:00,1,371.0,417.89474,52.0,319.0,0.0,28.69,9.09,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,21:00:00,1,69.0,244.99998,9.0,60.0,0.0,32.22,4.86,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,22:00:00,1,87.0,170.62498,8.0,79.0,0.0,35.41,2.79,0.0
VSPRA40,基湖路39號前,往北,2016-10-11,23:00:00,1,50.0,76.49999,2.0,48.0,0.0,37.54,1.21,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,00:00:00,1,13.0,33.913044,0.0,13.0,0.0,47.92,0.51,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,01:00:00,1,9.0,24.78261,1.0,8.0,0.0,47.33,0.39,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,02:00:00,1,13.0,14.444445,0.0,13.0,0.0,39.54,0.25,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,03:00:00,1,14.0,14.2372875,0.0,14.0,0.0,40.360004,0.24,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,04:00:00,1,7.0,7.2413797,0.0,7.0,0.0,46.860004,0.12,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,05:00:00,1,11.0,11.694915,1.0,10.0,0.0,44.45,0.19,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,06:00:00,1,13.0,14.2372875,2.0,11.0,0.0,45.46,0.27,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,07:00:00,1,50.0,55.42373,9.0,41.0,0.0,40.02,1.03,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,08:00:00,1,211.0,228.30508,27.0,184.0,0.0,38.1,4.26,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,09:00:00,1,89.0,242.6087,8.0,81.0,0.0,28.649998,5.48,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,10:00:00,1,205.0,236.72726,24.0,181.0,0.0,27.79,7.21,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,11:00:00,1,178.0,227.75511,16.0,162.0,0.0,32.13,4.54,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,12:00:00,1,205.0,226.55173,28.0,177.0,0.0,32.84,4.33,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,13:00:00,1,255.0,274.06778,29.0,226.0,0.0,30.24,5.85,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,14:00:00,1,240.0,260.84744,33.0,207.0,0.0,30.47,5.62,0.0
VSPRA40,基湖路39號前,往北,2016-10-12,15:00:00,1,221.0,242.03389,34.0,187.0,0.0,31.0,5.84,0.0
