EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,00:00:00,3,362.0,362.0,0.0,362.0,0.0,53.687126,0.8,219.66333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,01:00:00,3,224.0,224.5,1.0,223.0,0.0,54.987324,0.46,235.69334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,02:00:00,3,130.0,130.0,0.0,130.0,0.0,56.11754,0.21333331,245.94666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,03:00:00,3,103.0,103.0,0.0,103.0,0.0,53.375053,0.23666666,246.94334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,04:00:00,3,82.0,82.0,0.0,82.0,0.0,54.48671,0.13666667,247.61
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,05:00:00,3,59.0,59.0,0.0,59.0,0.0,53.47627,0.11000001,249.16667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,06:00:00,3,147.0,147.0,0.0,147.0,0.0,54.151157,0.28666666,244.44334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,07:00:00,3,478.0,481.5,7.0,471.0,0.0,56.322464,1.0333333,204.37
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,08:00:00,3,1818.0,1845.0,54.0,1764.0,0.0,51.23452,5.9500003,79.23334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,09:00:00,3,1691.0,1711.5,41.0,1650.0,0.0,52.256252,5.0833335,101.42333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,10:00:00,3,1681.0,1706.0,50.0,1631.0,0.0,51.406586,5.15,98.206665
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,11:00:00,3,1569.0,1578.0,18.0,1551.0,0.0,51.952175,4.26,91.66
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往南,2016-10-11,12:00:00,3,1639.0,1651.5,25.0,1614.0,0.0,52.312965,4.48,87.700005
