EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,00:00:00,3,410.0,431.5,43.0,367.0,0.0,47.62666,1.6666666,212.53667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,01:00:00,3,241.0,244.0,6.0,235.0,0.0,50.403236,0.64666665,233.39
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,02:00:00,3,135.0,136.0,2.0,133.0,0.0,50.908447,0.34666666,244.83333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,03:00:00,3,145.0,146.0,2.0,143.0,0.0,50.025723,0.37333333,244.00334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,04:00:00,3,138.0,138.5,1.0,137.0,0.0,49.775288,0.32666668,245.77667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,05:00:00,3,98.0,99.0,2.0,96.0,0.0,49.588367,0.29,247.5
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,06:00:00,3,184.0,187.5,7.0,177.0,0.0,48.582447,0.53,240.39
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,07:00:00,3,515.5,533.25,35.0,475.0,0.0,49.588802,1.9333334,201.60667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,08:00:00,3,1549.0,1621.1101,131.0,1408.0,0.0,48.32357,10.116667,114.31
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,09:00:00,3,1628.5,1715.5762,156.0,1465.0,0.0,47.925003,8.633333,97.15333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,10:00:00,3,1401.5,1478.7543,140.0,1251.0,0.0,45.933598,11.503334,114.049995
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,11:00:00,3,1316.0,1399.1228,153.0,1149.0,0.0,45.076897,9.589999,117.30667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,12:00:00,3,1373.0,1461.3276,146.0,1228.0,-1.0,46.16062,8.43,111.92999
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,13:00:00,3,1276.0,1342.0,132.0,1144.0,0.0,44.718708,8.073333,117.82666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,14:00:00,3,1432.0,1500.0,136.0,1296.0,0.0,44.76852,10.033334,107.84
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,15:00:00,3,1390.0,1650.283,139.0,1236.0,0.0,44.45598,12.146667,104.42999
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,16:00:00,3,1477.0,1560.3966,132.0,1343.0,-2.0,42.72835,12.716666,107.66334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,17:00:00,3,1549.5,1635.4661,158.0,1388.0,0.0,43.410828,12.240001,104.01333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,18:00:00,3,1678.0,1751.1017,130.0,1548.0,0.0,45.77341,10.5199995,99.23
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,19:00:00,3,1982.0,2052.0,140.0,1842.0,0.0,46.441914,10.526667,81.96667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,20:00:00,3,1715.0,1790.0,150.0,1565.0,0.0,45.45942,12.693333,92.69
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,21:00:00,3,492.0,1728.3333,53.0,439.0,0.0,42.601463,11.186667,90.19999
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,22:00:00,3,651.0,1289.0625,73.0,578.0,0.0,46.603287,5.873333,121.49334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-11,23:00:00,3,541.0,821.7073,41.0,500.0,0.0,48.067337,3.2733333,158.69
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-10-12,00:00:00,3,161.0,435.65222,12.0,149.0,0.0,50.242424,1.5333333,214.64667
