EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,00:00:00,2,69.0,70.0,2.0,67.0,0.0,36.780437,0.48,247.275
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,01:00:00,2,48.0,49.0,2.0,46.0,0.0,40.62375,0.335,249.535
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,02:00:00,2,27.0,27.0,0.0,27.0,0.0,37.555557,0.225,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,03:00:00,2,4.0,4.5,1.0,3.0,0.0,37.5,0.03,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,04:00:00,2,14.0,14.0,0.0,14.0,0.0,38.0,0.12,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,05:00:00,2,10.0,10.0,0.0,10.0,0.0,40.7,0.08,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,06:00:00,2,93.0,96.5,7.0,86.0,0.0,38.519894,0.625,246.815
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,07:00:00,2,451.0,468.5,35.0,416.0,0.0,39.05215,3.21,175.765
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,08:00:00,2,1803.0,1886.0,166.0,1637.0,0.0,31.025158,17.73,65.16
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,09:00:00,2,1747.0,1855.5,217.0,1530.0,0.0,25.316095,23.875,55.625
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,10:00:00,2,958.0,994.0,72.0,886.0,0.0,40.940857,6.49,109.985
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,11:00:00,2,825.0,853.5,57.0,768.0,0.0,36.924435,5.9049997,128.475
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,12:00:00,2,601.0,623.5,45.0,556.0,0.0,40.41474,3.9900002,147.085
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,13:00:00,2,657.0,680.5,47.0,610.0,0.0,36.540775,4.7650003,141.525
VQKWL61,民權東路六段203巷口往西30M,向西,2016-10-11,14:00:00,2,624.0,643.0,38.0,586.0,0.0,38.915382,4.43,142.39
