EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,16:00:00,3,1715.0,1748.5,67.0,1648.0,0.0,41.97407,7.85,73.43333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,17:00:00,3,1650.0,1668.0,36.0,1614.0,0.0,42.768787,7.406667,76.96667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,18:00:00,3,1803.0,1830.0,54.0,1749.0,0.0,40.46046,10.016666,91.666664
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,19:00:00,3,1658.0,1687.0,58.0,1600.0,0.0,40.30441,8.79,89.006676
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,20:00:00,3,1242.0,1275.2542,24.0,1218.0,0.0,43.810898,4.8933334,94.22
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,21:00:00,3,959.0,1011.57886,4.0,955.0,0.0,45.787457,3.5566666,102.049995
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,22:00:00,3,954.0,957.0,6.0,948.0,0.0,45.76757,3.4399998,106.51
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01,23:00:00,3,737.0,737.5,1.0,736.0,0.0,46.551117,2.46,111.993324
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02,00:00:00,3,369.0,369.5,1.0,368.0,0.0,47.282955,1.2633333,139.09001
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02,01:00:00,3,245.0,245.0,0.0,245.0,0.0,47.635883,0.9266667,137.89
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02,02:00:00,3,161.0,161.5,1.0,160.0,0.0,48.4154,0.59666663,162.49666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02,03:00:00,3,96.0,102.85714,0.0,96.0,0.0,47.885624,0.41333333,185.75
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02,04:00:00,3,71.0,71.0,0.0,71.0,0.0,48.279575,0.33666667,195.02998
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02,05:00:00,3,88.0,89.5,3.0,85.0,0.0,48.263638,0.4,185.0
