EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,00:00:00,3,445.0,446.5,3.0,442.0,0.0,59.833527,0.82333326,204.82666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,01:00:00,3,240.0,240.5,1.0,239.0,0.0,61.296,0.38333333,228.75
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,02:00:00,3,171.0,171.0,0.0,171.0,0.0,61.689945,0.22333331,241.44334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,03:00:00,3,98.0,98.5,1.0,97.0,0.0,61.293777,0.10999999,248.33333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,04:00:00,3,82.0,82.0,0.0,82.0,0.0,61.02524,0.086666666,248.61
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,05:00:00,3,111.0,111.0,0.0,111.0,0.0,61.30892,0.09,246.61
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,06:00:00,3,196.0,196.0,0.0,196.0,0.0,62.58291,0.24666667,235.97333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,07:00:00,3,751.0,753.0,4.0,747.0,0.0,59.431446,1.4499999,178.28333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,08:00:00,3,2359.5,2379.5,38.0,2315.0,0.0,54.193104,6.2000003,90.256676
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,09:00:00,3,2228.0,2309.3093,113.0,2111.0,0.0,38.33696,20.056667,89.83667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,10:00:00,3,2155.0,2230.5254,127.0,2029.0,-1.0,44.70075,15.043332,91.0
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,11:00:00,3,1774.0,1782.0,16.0,1758.0,0.0,57.877045,3.8300002,91.956665
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,12:00:00,3,1692.0,1697.0,10.0,1682.0,0.0,58.67124,3.4833329,95.63999
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,13:00:00,3,1556.0,1560.0,8.0,1548.0,0.0,59.293922,3.1333332,99.026665
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-10-11,14:00:00,3,1767.0,1772.5,11.0,1756.0,0.0,57.875362,3.8066666,106.96334
