台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 00:00:00,2,122.0,125.5,7.0,115.0,0.0,63.515903,0.6,234.965,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 01:00:00,2,47.0,49.0,4.0,43.0,0.0,69.27404,0.27499998,248.0,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 02:00:00,2,43.0,43.5,1.0,42.0,0.0,68.81814,0.235,248.2,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 03:00:00,2,19.0,19.0,0.0,19.0,0.0,63.78526,0.125,250.0,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 04:00:00,2,21.0,22.0,2.0,19.0,0.0,67.57143,0.15,250.0,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 05:00:00,2,25.0,25.5,1.0,24.0,0.0,67.2,0.15,249.11,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 06:00:00,2,65.0,67.5,5.0,60.0,0.0,66.8,0.36,245.61,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 07:00:00,2,192.0,202.5,21.0,171.0,0.0,68.07,0.785,219.75,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 08:00:00,2,811.0,853.5,85.0,726.0,0.0,66.278915,2.91,168.75,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 09:00:00,2,879.0,973.0,188.0,691.0,0.0,65.030716,5.925,134.82501,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 10:00:00,2,858.0,940.5,165.0,693.0,0.0,58.18462,6.465,131.56999,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 11:00:00,2,493.0,524.0,62.0,431.0,0.0,62.06122,2.425,171.045,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 12:00:00,2,285.0,296.5,23.0,262.0,0.0,66.874,1.11,204.325,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 13:00:00,2,230.0,240.0,20.0,210.0,0.0,69.79982,0.83000004,212.5,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 14:00:00,2,235.0,243.5,17.0,218.0,0.0,68.64809,0.865,212.39,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 15:00:00,2,225.0,266.03772,20.0,205.0,0.0,69.17058,0.93,207.64,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 16:00:00,2,270.0,283.0,26.0,244.0,0.0,68.996666,1.075,201.675,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 17:00:00,2,315.0,328.0,26.0,289.0,0.0,69.36965,1.115,200.755,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 18:00:00,2,483.0,514.5,63.0,420.0,0.0,59.84166,2.99,171.54999,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 19:00:00,2,658.0,730.5,145.0,513.0,0.0,52.292007,6.94,149.6,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 20:00:00,2,430.0,483.6207,75.0,355.0,0.0,56.57872,2.9950001,177.715,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 21:00:00,2,125.0,407.36844,8.0,117.0,0.0,56.3096,2.0149999,184.655,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 22:00:00,2,153.0,283.63635,6.0,147.0,0.0,57.56765,1.335,200.98999,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-11 23:00:00,2,123.0,190.49998,8.0,115.0,0.0,63.115448,0.84,224.035,
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-10-12 00:00:00,2,37.0,107.14286,1.0,36.0,0.0,66.19,0.4,241.54001,
