方向,日期,時間,當量總和,雨量,星期
往東,2016-04-01,17:00:00,2639.3157959,0.0,Fri
往東,2016-04-01,18:00:00,2914.0,0.0,Fri
往東,2016-04-01,19:00:00,2945.5,0.0,Fri
往東,2016-04-01,20:00:00,2686.0,0.0,Fri
往東,2016-04-01,21:00:00,2219.5,0.0,Fri
往東,2016-04-01,22:00:00,1959.0,0.0,Fri
往東,2016-04-01,23:00:00,1552.5,0.0,Fri
往東,2016-04-02,00:00:00,1029.0,0.0,Sat
往東,2016-04-02,01:00:00,608.0,0.0,Sat
往東,2016-04-02,02:00:00,451.5,0.0,Sat
往東,2016-04-02,03:00:00,293.0,0.0,Sat
往東,2016-04-02,05:00:00,238.0,0.0,Sat
往東,2016-04-02,06:00:00,346.5,0.0,Sat
往東,2016-04-02,07:00:00,703.0,0.0,Sat
往東,2016-04-02,08:00:00,1000.0,0.0,Sat
往東,2016-04-02,09:00:00,1545.0,0.0,Sat
往東,2016-04-02,10:00:00,2163.5,0.0,Sat
往東,2016-04-02,11:00:00,2453.5,0.0,Sat
往東,2016-04-02,12:00:00,2639.88982964,0.0,Sat
往東,2016-04-02,13:00:00,2489.72875977,0.0,Sat
往東,2016-04-02,14:00:00,2270.0,0.0,Sat
往東,2016-04-02,15:00:00,2311.0,0.0,Sat
往東,2016-04-02,16:00:00,2327.5,0.0,Sat
往東,2016-04-02,17:00:00,2274.70690918,0.0,Sat
往東,2016-04-02,18:00:00,2283.5,0.0,Sat
往東,2016-04-02,19:00:00,2072.0,0.0,Sat
往東,2016-04-02,20:00:00,1650.0,0.0,Sat
往東,2016-04-02,21:00:00,1618.5,0.0,Sat
往東,2016-04-02,22:00:00,1568.5,0.0,Sat
往東,2016-04-02,23:00:00,1118.39831543,0.0,Sat
往東,2016-04-03,00:00:00,614.0,0.0,Sun
往東,2016-04-03,01:00:00,471.0,0.0,Sun
往東,2016-04-03,02:00:00,316.5,0.0,Sun
往東,2016-04-03,03:00:00,215.0,0.0,Sun
往東,2016-04-03,04:00:00,208.0,0.0,Sun
往東,2016-04-03,05:00:00,192.5,0.0,Sun
往東,2016-04-03,06:00:00,306.5,0.0,Sun
往東,2016-04-03,07:00:00,574.5,0.0,Sun
往東,2016-04-03,08:00:00,804.0,0.0,Sun
往東,2016-04-03,09:00:00,1156.0,0.0,Sun
往東,2016-04-03,10:00:00,1741.5,0.0,Sun
往東,2016-04-03,11:00:00,2017.5,0.0,Sun
往東,2016-04-03,12:00:00,2124.34482765,0.0,Sun
往東,2016-04-03,13:00:00,1879.29656982,0.0,Sun
往東,2016-04-03,14:00:00,1845.5,0.0,Sun
往東,2016-04-03,15:00:00,2021.0,0.0,Sun
往東,2016-04-03,16:00:00,2002.5,0.0,Sun
往東,2016-04-03,17:00:00,1842.50842285,0.0,Sun
往東,2016-04-03,18:00:00,1927.5,0.0,Sun
往東,2016-04-03,19:00:00,1748.01692677,0.0,Sun
往東,2016-04-03,20:00:00,1462.5,0.0,Sun
往東,2016-04-03,21:00:00,1407.0,0.0,Sun
往東,2016-04-03,22:00:00,1355.5,0.0,Sun
往東,2016-04-03,23:00:00,1142.0,0.0,Sun
往東,2016-04-04,00:00:00,686.5,0.0,Mon
往東,2016-04-04,01:00:00,433.5,0.0,Mon
往東,2016-04-04,02:00:00,254.5,0.0,Mon
往東,2016-04-04,04:00:00,143.0,0.0,Mon
往東,2016-04-04,06:00:00,318.0,0.0,Mon
往東,2016-04-04,07:00:00,535.0,0.0,Mon
往東,2016-04-04,08:00:00,632.5,0.0,Mon
往東,2016-04-04,09:00:00,969.5,0.0,Mon
往東,2016-04-04,10:00:00,1360.0,0.0,Mon
往東,2016-04-04,11:00:00,1689.5,0.0,Mon
往東,2016-04-04,12:00:00,1889.0,0.0,Mon
往東,2016-04-04,13:00:00,1689.78808594,0.0,Mon
往東,2016-04-04,14:00:00,1749.0,0.0,Mon
往東,2016-04-04,15:00:00,2067.5,0.0,Mon
往東,2016-04-04,16:00:00,1963.0,0.0,Mon
往東,2016-04-04,17:00:00,1945.10168457,0.0,Mon
往東,2016-04-04,18:00:00,2083.0,0.0,Mon
往東,2016-04-04,19:00:00,1840.17796612,0.0,Mon
往東,2016-04-04,20:00:00,1655.0,0.0,Mon
往東,2016-04-04,21:00:00,1575.5,0.0,Mon
往東,2016-04-04,22:00:00,1518.0,0.0,Mon
往東,2016-04-04,23:00:00,1199.5,0.0,Mon
往東,2016-04-05,00:00:00,749.5,0.0,Tue
往東,2016-04-05,01:00:00,504.0,0.0,Tue
往東,2016-04-05,02:00:00,350.5,0.0,Tue
往東,2016-04-05,03:00:00,252.0,0.0,Tue
往東,2016-04-05,04:00:00,172.5,0.0,Tue
