方向,日期,時間,當量總和,平均速度,平均佔有率,平均車間距,星期
往北,2016-04-02,16:00:00,4653.68180847,47.5567868551,3.43611100316,107.00249958,Sat
往北,2016-04-02,17:00:00,4516.5,47.331035614,3.43111123641,106.378608704,Sat
往北,2016-04-02,18:00:00,4614.0,46.7217820485,3.5769444406,105.710275968,Sat
往北,2016-04-02,19:00:00,4198.0,46.5640303294,3.27527783314,107.191665332,Sat
往北,2016-04-02,20:00:00,3419.74578857,48.7322648366,2.43111118674,120.417218844,Sat
往北,2016-04-02,21:00:00,3183.24429321,48.6943791707,2.14055552085,122.52416865,Sat
往北,2016-04-02,22:00:00,3216.5,48.0225461324,2.20666662852,125.78888607,Sat
往北,2016-04-02,23:00:00,2422.5,48.1815128326,1.60083328684,136.195832253,Sat
往北,2016-04-03,00:00:00,1391.0,49.479695638,0.91444443663,150.629166285,Sun
往北,2016-04-03,01:00:00,934.0,49.8140246073,0.615277771838,162.050556501,Sun
往北,2016-04-03,02:00:00,656.152542114,50.9453245799,0.460000003067,168.498058955,Sun
往北,2016-04-03,03:00:00,390.396598816,50.1235802968,0.288055549686,180.544164975,Sun
往北,2016-04-03,04:00:00,331.5,49.4895006816,0.257222220302,186.228062312,Sun
往北,2016-04-03,05:00:00,364.5,47.0246213277,0.279722225852,181.335837364,Sun
往北,2016-04-03,06:00:00,598.0,49.064540863,0.417222232868,173.576110522,Sun
往北,2016-04-03,07:00:00,1139.0,51.3870213826,0.778055564811,159.357779503,Sun
往北,2016-04-03,08:00:00,1723.97457886,50.2062409719,1.12916667759,143.974441846,Sun
往北,2016-04-03,09:00:00,2372.35345459,49.8884042104,1.52138892313,138.604167302,Sun
往北,2016-04-03,10:00:00,2961.5,49.1358858744,1.96222220858,128.03861014,Sun
往北,2016-04-03,11:00:00,3746.5,48.7384853363,2.55472217004,116.778056463,Sun
往北,2016-04-03,12:00:00,4172.0,48.4841823578,2.97333332896,112.695554097,Sun
往北,2016-04-03,13:00:00,3705.2835083,49.0742543538,2.55972225467,116.385556857,Sun
往北,2016-04-03,14:00:00,4091.51693726,47.4627017975,3.03444440166,112.313887914,Sun
往北,2016-04-03,15:00:00,4339.01985168,46.8211065928,3.34500010808,110.487500191,Sun
往北,2016-04-03,16:00:00,4386.5,47.299838384,3.37305553754,109.852779706,Sun
往北,2016-04-03,17:00:00,4089.0,47.6119391123,2.99777781963,111.019441605,Sun
往北,2016-04-03,18:00:00,4115.0,47.362241745,3.08611105879,112.549446742,Sun
往北,2016-04-03,19:00:00,3686.0,47.18146197,2.7427777648,116.163057327,Sun
往北,2016-04-03,20:00:00,3244.5847168,49.0753231049,2.278055499,119.80194219,Sun
往北,2016-04-03,21:00:00,3192.1579895,48.8642470042,2.19805556536,123.089997927,Sun
往北,2016-04-03,22:00:00,3168.0,48.4746049245,2.18083331982,123.494720459,Sun
往北,2016-04-03,23:00:00,2181.5,49.5729433695,1.43222220739,135.966110547,Sun
往北,2016-04-04,00:00:00,1393.0,50.2449595133,0.929444437226,148.332779249,Mon
往北,2016-04-04,01:00:00,900.0,50.4454746246,0.593333359808,159.088886897,Mon
往北,2016-04-04,02:00:00,678.669494629,51.13691775,0.498333336165,163.419162114,Mon
往北,2016-04-04,03:00:00,378.684211731,51.1726786296,0.304444441882,179.470000903,Mon
往北,2016-04-04,04:00:00,263.0,49.6810512543,0.208055556441,185.764999866,Mon
往北,2016-04-04,05:00:00,355.0,50.6672490438,0.270277786379,183.641666094,Mon
往北,2016-04-04,06:00:00,551.0,50.7604153951,0.404999984428,171.448607127,Mon
往北,2016-04-04,07:00:00,1045.5,50.8156992594,0.700555554281,158.75610733,Mon
往北,2016-04-04,08:00:00,1764.63557434,50.2746162415,1.13749996821,143.756944021,Mon
