方向,日期,時間,當量總和,平均速度,平均佔有率,平均車間距,星期
往北,2016-04-01,16:00:00,444.5,54.76,2.09,53.96,Fri
往北,2016-04-01,17:00:00,445.5,51.07,2.325,56.525,Fri
往北,2016-04-01,18:00:00,604.576,48.95,3.725,41.815,Fri
往北,2016-04-01,19:00:00,609.5,48.12,5.285,35.0,Fri
往北,2016-04-01,20:00:00,399.0,45.24,2.25,62.91,Fri
往北,2016-04-01,21:00:00,414.5,46.81,2.085,60.79,Fri
往北,2016-04-01,22:00:00,363.0,51.66,1.69,65.4,Fri
往北,2016-04-01,23:00:00,267.0,53.74,1.185,84.34,Fri
往北,2016-04-02,00:00:00,134.0,62.53,0.575,108.765,Sat
往北,2016-04-02,01:00:00,75.0,62.18,0.375,118.04,Sat
往北,2016-04-02,02:00:00,53.0,53.43,0.315,121.86,Sat
往北,2016-04-02,03:00:00,28.5,52.3,0.19,121.6,Sat
往北,2016-04-02,04:00:00,22.0,55.32,0.16,125.0,Sat
往北,2016-04-02,05:00:00,31.0,54.55,0.185,122.025,Sat
往北,2016-04-02,06:00:00,65.0,53.43,0.385,119.625,Sat
往北,2016-04-02,07:00:00,123.0,54.43,0.585,105.165,Sat
往北,2016-04-02,08:00:00,143.5,55.42,0.64,106.075,Sat
往北,2016-04-02,09:00:00,191.5,63.29,0.81,98.215,Sat
往北,2016-04-02,10:00:00,262.5,53.01,1.16,82.635,Sat
往北,2016-04-02,11:00:00,331.5,52.67,1.56,68.9,Sat
往北,2016-04-02,12:00:00,364.821,55.0,1.675,64.785,Sat
往北,2016-04-02,13:00:00,312.0,56.52,1.415,73.91,Sat
往北,2016-04-02,14:00:00,304.5,53.54,1.365,72.665,Sat
往北,2016-04-02,15:00:00,303.0,49.98,1.515,73.19,Sat
往北,2016-04-02,16:00:00,339.0,56.78,1.475,69.625,Sat
往北,2016-04-02,17:00:00,342.0,50.11,1.535,68.785,Sat
往北,2016-04-02,18:00:00,337.0,56.69,1.44,72.56,Sat
往北,2016-04-02,19:00:00,322.0,56.16,1.425,68.175,Sat
往北,2016-04-02,20:00:00,282.5,49.72,1.315,78.015,Sat
往北,2016-04-02,21:00:00,303.5,53.16,1.4,76.99,Sat
往北,2016-04-02,22:00:00,578.5,29.67,1.51,71.435,Sat
往北,2016-04-02,23:00:00,216.5,53.87,0.915,88.085,Sat
