台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 00:00:00,2,186.0,199.5,27.0,159.0,0.0,69.28446,0.91499996,229.19,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 01:00:00,2,86.0,87.5,3.0,83.0,0.0,65.98035,0.45,243.23999,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 02:00:00,2,55.0,56.5,3.0,52.0,0.0,69.50836,0.31,247.16501,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 03:00:00,2,46.0,46.5,1.0,45.0,0.0,69.86957,0.285,248.70999,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 04:00:00,2,28.0,29.0,2.0,26.0,0.0,70.0,0.165,248.465,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 05:00:00,2,28.0,28.0,0.0,28.0,0.0,70.0,0.19999999,250.0,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 06:00:00,2,64.0,72.0,16.0,48.0,0.0,70.0,0.39,245.625,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 07:00:00,2,196.0,224.5,57.0,139.0,0.0,67.391426,1.115,227.525,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 08:00:00,2,461.0,512.5,103.0,358.0,0.0,52.55089,4.55,177.95,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 09:00:00,2,500.0,544.5,89.0,408.0,0.0,55.9269,5.215,165.63,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 10:00:00,2,445.0,521.1372,90.0,355.0,0.0,50.94146,7.7599998,168.01999,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 11:00:00,2,699.0,773.0,148.0,551.0,0.0,57.684593,4.35,139.955,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-10-11 12:00:00,2,466.0,508.5,85.0,381.0,0.0,56.689144,2.835,172.875,
