道路,方向,日期,時間,當量總和,雨量,星期
堤頂,往北,2016-04-02,16:00:00,4653.68180847,0.0,Sat
堤頂,往北,2016-04-02,17:00:00,4516.5,0.0,Sat
堤頂,往北,2016-04-02,18:00:00,4614.0,0.0,Sat
堤頂,往北,2016-04-02,19:00:00,4198.0,0.0,Sat
堤頂,往北,2016-04-02,20:00:00,3419.74578857,0.0,Sat
堤頂,往北,2016-04-02,21:00:00,3183.24429321,0.0,Sat
堤頂,往北,2016-04-02,22:00:00,3216.5,0.0,Sat
堤頂,往北,2016-04-02,23:00:00,2422.5,0.0,Sat
堤頂,往北,2016-04-03,00:00:00,1391.0,0.0,Sun
堤頂,往北,2016-04-03,01:00:00,934.0,0.0,Sun
堤頂,往北,2016-04-03,02:00:00,656.152542114,0.0,Sun
堤頂,往北,2016-04-03,03:00:00,390.396598816,0.0,Sun
堤頂,往北,2016-04-03,04:00:00,331.5,0.0,Sun
堤頂,往北,2016-04-03,05:00:00,364.5,0.0,Sun
堤頂,往北,2016-04-03,06:00:00,598.0,0.0,Sun
堤頂,往北,2016-04-03,07:00:00,1139.0,0.0,Sun
堤頂,往北,2016-04-03,08:00:00,1723.97457886,0.0,Sun
堤頂,往北,2016-04-03,09:00:00,2372.35345459,0.0,Sun
堤頂,往北,2016-04-03,10:00:00,2961.5,0.0,Sun
堤頂,往北,2016-04-03,11:00:00,3746.5,0.0,Sun
堤頂,往北,2016-04-03,12:00:00,4172.0,0.0,Sun
堤頂,往北,2016-04-03,13:00:00,3705.2835083,0.0,Sun
堤頂,往北,2016-04-03,14:00:00,4091.51693726,0.0,Sun
堤頂,往北,2016-04-03,15:00:00,4339.01985168,0.0,Sun
堤頂,往北,2016-04-03,16:00:00,4386.5,0.0,Sun
堤頂,往北,2016-04-03,17:00:00,4089.0,0.0,Sun
堤頂,往北,2016-04-03,18:00:00,4115.0,0.0,Sun
堤頂,往北,2016-04-03,19:00:00,3686.0,0.0,Sun
堤頂,往北,2016-04-03,20:00:00,3244.5847168,0.0,Sun
堤頂,往北,2016-04-03,21:00:00,3192.1579895,0.0,Sun
堤頂,往北,2016-04-03,22:00:00,3168.0,0.0,Sun
堤頂,往北,2016-04-03,23:00:00,2181.5,0.0,Sun
堤頂,往北,2016-04-04,00:00:00,1393.0,0.0,Mon
堤頂,往北,2016-04-04,01:00:00,900.0,0.0,Mon
堤頂,往北,2016-04-04,02:00:00,678.669494629,0.0,Mon
堤頂,往北,2016-04-04,03:00:00,378.684211731,0.0,Mon
堤頂,往北,2016-04-04,04:00:00,263.0,0.0,Mon
