方向,日期,時間,當量總和,雨量,星期
往北,2016-04-01,16:00:00,444.5,0.0,Fri
往北,2016-04-01,17:00:00,445.5,0.0,Fri
往北,2016-04-01,18:00:00,604.576,0.0,Fri
往北,2016-04-01,19:00:00,609.5,0.0,Fri
往北,2016-04-01,20:00:00,399.0,0.0,Fri
往北,2016-04-01,21:00:00,414.5,0.0,Fri
往北,2016-04-01,22:00:00,363.0,0.0,Fri
往北,2016-04-01,23:00:00,267.0,0.0,Fri
往北,2016-04-02,00:00:00,134.0,0.0,Sat
往北,2016-04-02,01:00:00,75.0,0.0,Sat
往北,2016-04-02,02:00:00,53.0,0.0,Sat
往北,2016-04-02,03:00:00,28.5,0.0,Sat
往北,2016-04-02,04:00:00,22.0,0.0,Sat
往北,2016-04-02,05:00:00,31.0,0.0,Sat
往北,2016-04-02,06:00:00,65.0,0.0,Sat
往北,2016-04-02,07:00:00,123.0,0.0,Sat
往北,2016-04-02,08:00:00,143.5,0.0,Sat
往北,2016-04-02,09:00:00,191.5,0.0,Sat
往北,2016-04-02,10:00:00,262.5,0.0,Sat
往北,2016-04-02,11:00:00,331.5,0.0,Sat
往北,2016-04-02,12:00:00,364.821,0.0,Sat
往北,2016-04-02,13:00:00,312.0,0.0,Sat
往北,2016-04-02,14:00:00,304.5,0.0,Sat
往北,2016-04-02,15:00:00,303.0,0.0,Sat
往北,2016-04-02,16:00:00,339.0,0.0,Sat
往北,2016-04-02,17:00:00,342.0,0.0,Sat
往北,2016-04-02,18:00:00,337.0,0.0,Sat
往北,2016-04-02,19:00:00,322.0,0.0,Sat
往北,2016-04-02,20:00:00,282.5,0.0,Sat
往北,2016-04-02,21:00:00,303.5,0.0,Sat
往北,2016-04-02,22:00:00,578.5,0.0,Sat
往北,2016-04-02,23:00:00,216.5,0.0,Sat
往北,2016-04-03,00:00:00,100.5,0.0,Sun
往北,2016-04-03,01:00:00,54.0,0.0,Sun
往北,2016-04-03,02:00:00,24.0,0.0,Sun
往北,2016-04-03,03:00:00,16.5,0.0,Sun
往北,2016-04-03,04:00:00,20.0,0.0,Sun
往北,2016-04-03,05:00:00,18.5,0.0,Sun
往北,2016-04-03,06:00:00,41.0,0.0,Sun
往北,2016-04-03,07:00:00,73.5,0.0,Sun
往北,2016-04-03,08:00:00,110.0,0.0,Sun
往北,2016-04-03,09:00:00,117.5,0.0,Sun
往北,2016-04-03,10:00:00,194.5,0.0,Sun
往北,2016-04-03,11:00:00,239.5,0.0,Sun
往北,2016-04-03,12:00:00,259.138,0.0,Sun
往北,2016-04-03,13:00:00,231.5,0.0,Sun
往北,2016-04-03,14:00:00,251.5,0.0,Sun
往北,2016-04-03,15:00:00,279.0,0.0,Sun
往北,2016-04-03,16:00:00,283.5,0.0,Sun
往北,2016-04-03,17:00:00,288.5,0.0,Sun
往北,2016-04-03,18:00:00,260.0,0.0,Sun
往北,2016-04-03,19:00:00,282.5,0.0,Sun
往北,2016-04-03,20:00:00,260.0,0.0,Sun
往北,2016-04-03,21:00:00,250.5,0.0,Sun
往北,2016-04-03,22:00:00,285.5,0.0,Sun
往北,2016-04-03,23:00:00,171.0,0.0,Sun
往北,2016-04-04,00:00:00,74.5,0.0,Mon
往北,2016-04-04,01:00:00,44.5,0.0,Mon
往北,2016-04-04,02:00:00,27.5,0.0,Mon
往北,2016-04-04,03:00:00,22.5,0.0,Mon
往北,2016-04-04,04:00:00,13.5,0.0,Mon
往北,2016-04-04,05:00:00,29.5,0.0,Mon
往北,2016-04-04,06:00:00,51.5,0.0,Mon
往北,2016-04-04,07:00:00,121.5,0.0,Mon
往北,2016-04-04,08:00:00,116.0,0.0,Mon
往北,2016-04-04,09:00:00,128.0,0.0,Mon
往北,2016-04-04,10:00:00,184.5,0.0,Mon
往北,2016-04-04,11:00:00,199.5,0.0,Mon
往北,2016-04-04,12:00:00,222.712,0.0,Mon
往北,2016-04-04,13:00:00,196.0,0.0,Mon
往北,2016-04-04,14:00:00,242.5,0.0,Mon
