EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6121A0,堤頂上匝道,正向放置,2016-11-14,00:00:00,1,99.0,99.0,0.0,99.0,0.0,58.53,0.28,231.17
V6121A0,堤頂上匝道,正向放置,2016-11-14,01:00:00,1,55.0,55.5,1.0,54.0,0.0,58.84,0.2,242.0
V6121A0,堤頂上匝道,正向放置,2016-11-14,02:00:00,1,24.0,24.0,0.0,24.0,0.0,57.210003,0.05,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-14,03:00:00,1,10.0,10.0,0.0,10.0,0.0,58.1,0.0,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-14,04:00:00,1,10.0,10.0,0.0,10.0,0.0,56.7,0.0,245.83
V6121A0,堤頂上匝道,正向放置,2016-11-14,05:00:00,1,20.0,20.0,0.0,20.0,0.0,59.65,0.0,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-14,06:00:00,1,43.0,43.0,0.0,43.0,0.0,58.46,0.07,247.5
V6121A0,堤頂上匝道,正向放置,2016-11-14,07:00:00,1,177.0,177.0,0.0,177.0,0.0,58.21,0.67,195.92
V6121A0,堤頂上匝道,正向放置,2016-11-14,08:00:00,1,638.0,639.0,2.0,636.0,0.0,58.649998,2.73,71.67
V6121A0,堤頂上匝道,正向放置,2016-11-14,09:00:00,1,620.0,620.0,0.0,620.0,0.0,58.62,2.68,66.07
V6121A0,堤頂上匝道,正向放置,2016-11-14,10:00:00,1,371.0,371.0,0.0,371.0,0.0,58.919994,1.52,114.43
V6121A0,堤頂上匝道,正向放置,2016-11-14,11:00:00,1,243.0,243.0,0.0,243.0,0.0,58.69,1.05,166.58
V6121A0,堤頂上匝道,正向放置,2016-11-14,12:00:00,1,207.0,207.0,0.0,207.0,0.0,58.58,0.72,182.48
V6121A0,堤頂上匝道,正向放置,2016-11-14,13:00:00,1,210.0,210.0,0.0,210.0,0.0,58.139996,0.88,180.02
V6121A0,堤頂上匝道,正向放置,2016-11-14,14:00:00,1,248.0,248.5,1.0,247.0,0.0,57.96,1.02,162.53
V6121A0,堤頂上匝道,正向放置,2016-11-14,15:00:00,1,300.0,300.0,0.0,300.0,0.0,58.01,1.33,153.32
V6121A0,堤頂上匝道,正向放置,2016-11-14,16:00:00,1,329.0,329.0,0.0,329.0,0.0,58.07,1.57,128.68
V6121A0,堤頂上匝道,正向放置,2016-11-14,17:00:00,1,361.0,362.0,2.0,359.0,0.0,57.75,1.68,124.95
V6121A0,堤頂上匝道,正向放置,2016-11-14,18:00:00,1,425.0,425.5,1.0,424.0,0.0,57.75,2.03,97.75
V6121A0,堤頂上匝道,正向放置,2016-11-14,19:00:00,1,394.0,394.0,0.0,394.0,0.0,57.55,1.83,108.1
V6121A0,堤頂上匝道,正向放置,2016-11-14,20:00:00,1,305.0,308.0,6.0,299.0,0.0,57.290005,1.5,137.05
V6121A0,堤頂上匝道,正向放置,2016-11-14,21:00:00,1,223.0,223.0,0.0,223.0,0.0,59.2,0.92,172.0
V6121A0,堤頂上匝道,正向放置,2016-11-14,22:00:00,1,161.0,161.0,0.0,161.0,0.0,59.14,0.55,204.33
V6121A0,堤頂上匝道,正向放置,2016-11-14,23:00:00,1,96.0,96.0,0.0,96.0,0.0,59.09,0.28,234.83
V6121A0,堤頂上匝道,正向放置,2016-11-15,00:00:00,1,54.0,54.0,0.0,54.0,0.0,57.32,0.18,242.0
V6121A0,堤頂上匝道,正向放置,2016-11-15,01:00:00,1,22.0,22.0,0.0,22.0,0.0,55.820004,0.02,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-15,02:00:00,1,21.0,21.0,0.0,21.0,0.0,60.049995,0.0,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-15,03:00:00,1,9.0,9.0,0.0,9.0,0.0,59.780003,0.0,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-15,04:00:00,1,5.0,5.0,0.0,5.0,0.0,60.4,0.0,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-15,05:00:00,1,22.0,22.0,0.0,22.0,0.0,59.229996,0.03,250.0
V6121A0,堤頂上匝道,正向放置,2016-11-15,06:00:00,1,25.0,25.0,0.0,25.0,0.0,57.56,0.05,249.17
V6121A0,堤頂上匝道,正向放置,2016-11-15,07:00:00,1,136.0,136.5,1.0,135.0,0.0,58.55,0.45,214.38
V6121A0,堤頂上匝道,正向放置,2016-11-15,08:00:00,1,583.0,583.0,0.0,583.0,0.0,58.839996,2.42,74.35
V6121A0,堤頂上匝道,正向放置,2016-11-15,09:00:00,1,681.0,681.5,1.0,680.0,0.0,58.41,2.88,64.37
V6121A0,堤頂上匝道,正向放置,2016-11-15,10:00:00,1,459.0,459.0,0.0,459.0,0.0,58.319996,2.05,98.55
V6121A0,堤頂上匝道,正向放置,2016-11-15,11:00:00,1,284.0,284.5,1.0,283.0,0.0,58.62,1.2,150.3
