EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,00:00:00,1,80.0,81.8644,1.0,79.0,0.0,61.879997,1.25,87.51
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,01:00:00,1,48.0,49.830505,2.0,46.0,0.0,61.08,0.69,66.9
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,02:00:00,1,35.0,35.0,0.0,35.0,0.0,62.139996,0.48,60.98
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,03:00:00,1,15.0,15.0,0.0,15.0,0.0,63.67,0.2,27.82
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,04:00:00,1,16.0,16.0,0.0,16.0,0.0,66.31,0.2,39.28
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,05:00:00,1,14.0,14.0,0.0,14.0,0.0,64.64,0.15,26.3
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,06:00:00,1,27.0,27.5,1.0,26.0,0.0,58.7,0.33,48.27
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,07:00:00,1,89.0,92.5,7.0,82.0,0.0,61.009995,1.45,84.27
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,08:00:00,1,261.0,264.0,6.0,255.0,0.0,59.59,4.5,106.95
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,09:00:00,1,422.0,426.0,8.0,414.0,0.0,59.72,7.3,89.45
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,10:00:00,1,390.0,395.5,11.0,379.0,0.0,59.47,6.87,85.25
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,11:00:00,1,329.0,344.48276,4.0,327.0,-2.0,58.839996,6.07,99.72
V6151C0,舊宗路出城上匝道入口,正向放置,2016-11-14,12:00:00,1,291.0,292.0,2.0,289.0,0.0,59.489998,4.97,108.83
