EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6340G0,舊宗堤頂,正向放置,2016-11-14,00:00:00,2,538.0,612.0,148.0,390.0,0.0,70.24037,1.97,122.845
V6340G0,舊宗堤頂,正向放置,2016-11-14,01:00:00,2,392.0,437.0,90.0,302.0,0.0,71.57826,1.325,131.775
V6340G0,舊宗堤頂,正向放置,2016-11-14,02:00:00,2,165.0,187.5,45.0,120.0,0.0,70.36636,0.4,132.56
V6340G0,舊宗堤頂,正向放置,2016-11-14,03:00:00,2,99.0,111.5,25.0,74.0,0.0,70.62697,0.185,94.64
V6340G0,舊宗堤頂,正向放置,2016-11-14,04:00:00,2,104.0,117.5,27.0,77.0,0.0,70.87846,0.17500001,107.275
V6340G0,舊宗堤頂,正向放置,2016-11-14,05:00:00,2,109.0,123.5,29.0,80.0,0.0,70.959724,0.265,101.185
V6340G0,舊宗堤頂,正向放置,2016-11-14,06:00:00,2,205.0,231.5,53.0,152.0,0.0,70.66805,0.675,128.035
V6340G0,舊宗堤頂,正向放置,2016-11-14,07:00:00,2,845.0,883.5,76.0,747.0,0.0,72.76425,2.1799998,103.115
V6340G0,舊宗堤頂,正向放置,2016-11-14,08:00:00,2,2383.0,2488.579,68.0,2271.0,-1.0,71.534996,7.385,31.66
V6340G0,舊宗堤頂,正向放置,2016-11-14,09:00:00,2,1961.0,2005.5338,48.0,1913.0,0.0,71.00882,6.875,40.005
V6340G0,舊宗堤頂,正向放置,2016-11-14,10:00:00,2,1428.0,1458.0,60.0,1368.0,0.0,72.97399,5.24,60.25
V6340G0,舊宗堤頂,正向放置,2016-11-14,11:00:00,2,1294.0,1316.5,45.0,1249.0,0.0,71.71717,5.175,63.675
V6340G0,舊宗堤頂,正向放置,2016-11-14,12:00:00,2,1246.0,1267.5,43.0,1203.0,0.0,71.713135,5.79,65.520004
V6340G0,舊宗堤頂,正向放置,2016-11-14,13:00:00,2,1150.0,1177.5,55.0,1095.0,0.0,72.58538,5.55,72.515
V6340G0,舊宗堤頂,正向放置,2016-11-14,14:00:00,2,1320.0,1371.0,102.0,1218.0,0.0,71.64883,8.29,61.980003
V6340G0,舊宗堤頂,正向放置,2016-11-14,15:00:00,2,1277.0,1372.8813,146.0,1131.0,0.0,71.348915,9.139999,62.16
V6340G0,舊宗堤頂,正向放置,2016-11-14,16:00:00,2,1338.0,1391.0,106.0,1232.0,0.0,67.89587,5.6000004,58.015
V6340G0,舊宗堤頂,正向放置,2016-11-14,17:00:00,2,1394.0,1423.0,55.0,1327.0,0.0,69.67739,4.995,56.535
V6340G0,舊宗堤頂,正向放置,2016-11-14,18:00:00,2,1485.0,1604.9492,206.0,1268.0,-1.0,69.07977,6.1049995,54.19
V6340G0,舊宗堤頂,正向放置,2016-11-14,19:00:00,2,1468.0,1681.21,336.0,1132.0,0.0,69.32338,7.0950003,54.73
V6340G0,舊宗堤頂,正向放置,2016-11-14,20:00:00,2,1170.0,1304.5,269.0,901.0,0.0,69.84,4.79,70.975006
V6340G0,舊宗堤頂,正向放置,2016-11-14,21:00:00,2,1004.0,1133.5,259.0,745.0,0.0,70.27951,4.085,78.575
V6340G0,舊宗堤頂,正向放置,2016-11-14,22:00:00,2,888.0,995.0,214.0,674.0,0.0,70.55919,3.185,86.325
V6340G0,舊宗堤頂,正向放置,2016-11-14,23:00:00,2,542.0,610.0,136.0,406.0,0.0,70.38327,1.875,130.11
V6340G0,舊宗堤頂,正向放置,2016-11-15,00:00:00,2,323.0,365.5,85.0,238.0,0.0,70.739105,0.945,143.62
V6340G0,舊宗堤頂,正向放置,2016-11-15,01:00:00,2,234.0,264.5,61.0,173.0,0.0,69.076324,0.86,134.05
V6340G0,舊宗堤頂,正向放置,2016-11-15,02:00:00,2,145.0,163.5,37.0,108.0,0.0,69.211174,0.29999998,108.59
V6340G0,舊宗堤頂,正向放置,2016-11-15,03:00:00,2,101.0,113.0,24.0,77.0,0.0,70.99851,0.25,89.415
V6340G0,舊宗堤頂,正向放置,2016-11-15,04:00:00,2,108.0,122.5,29.0,79.0,0.0,71.453804,0.21000001,96.965
V6340G0,舊宗堤頂,正向放置,2016-11-15,05:00:00,2,158.0,173.5,31.0,127.0,0.0,70.5226,0.43,109.49
V6340G0,舊宗堤頂,正向放置,2016-11-15,06:00:00,2,197.0,222.5,51.0,146.0,0.0,70.09909,0.66499996,121.475
V6340G0,舊宗堤頂,正向放置,2016-11-15,07:00:00,2,783.0,811.0,56.0,692.0,0.0,73.26613,2.16,111.71001
V6340G0,舊宗堤頂,正向放置,2016-11-15,08:00:00,2,2326.0,2394.1035,40.0,2275.0,0.0,72.19461,7.685,32.995
V6340G0,舊宗堤頂,正向放置,2016-11-15,09:00:00,2,1994.0,2073.5083,114.0,1880.0,0.0,69.72616,7.87,42.43
V6340G0,舊宗堤頂,正向放置,2016-11-15,10:00:00,2,1616.0,1692.2034,96.0,1520.0,0.0,72.27913,6.945,47.955
V6340G0,舊宗堤頂,正向放置,2016-11-15,11:00:00,2,1365.0,1398.0,66.0,1299.0,0.0,71.84972,5.17,58.545
V6340G0,舊宗堤頂,正向放置,2016-11-15,12:00:00,2,1324.0,1348.5,49.0,1275.0,0.0,70.857475,5.675,60.305
V6340G0,舊宗堤頂,正向放置,2016-11-15,13:00:00,2,1223.0,1249.0,52.0,1171.0,0.0,72.84452,4.225,65.465
V6340G0,舊宗堤頂,正向放置,2016-11-15,14:00:00,2,1393.0,1426.0,62.0,1318.0,0.0,71.321915,5.25,59.04
V6340G0,舊宗堤頂,正向放置,2016-11-15,15:00:00,2,1351.0,1432.661,124.0,1203.0,0.0,70.20939,7.12,61.82
V6340G0,舊宗堤頂,正向放置,2016-11-15,16:00:00,2,1309.0,1446.3103,213.0,1097.0,-1.0,70.9308,6.8599997,60.809998
V6340G0,舊宗堤頂,正向放置,2016-11-15,17:00:00,2,1318.0,1335.5,35.0,1283.0,0.0,70.926796,4.365,62.14
V6340G0,舊宗堤頂,正向放置,2016-11-15,18:00:00,2,1566.0,1703.5,275.0,1291.0,0.0,68.36096,6.09,51.71
V6340G0,舊宗堤頂,正向放置,2016-11-15,19:00:00,2,1464.0,1707.4138,373.0,1091.0,0.0,69.02245,6.5699997,55.11
V6340G0,舊宗堤頂,正向放置,2016-11-15,20:00:00,2,1044.0,1160.5,233.0,811.0,0.0,70.04502,4.235,82.175
V6340G0,舊宗堤頂,正向放置,2016-11-15,21:00:00,2,887.0,1008.0,242.0,645.0,0.0,70.22683,3.6,94.095
V6340G0,舊宗堤頂,正向放置,2016-11-15,22:00:00,2,705.0,802.0,194.0,511.0,0.0,70.28779,2.435,113.104996
V6340G0,舊宗堤頂,正向放置,2016-11-15,23:00:00,2,503.0,560.0,114.0,389.0,0.0,71.11362,1.6300001,133.9
V6340G0,舊宗堤頂,正向放置,2016-11-16,00:00:00,2,321.0,373.72882,93.0,228.0,0.0,71.62047,0.99,152.555
V6340G0,舊宗堤頂,正向放置,2016-11-16,01:00:00,2,245.0,274.5,59.0,186.0,0.0,71.47857,0.805,139.565
V6340G0,舊宗堤頂,正向放置,2016-11-16,02:00:00,2,163.0,182.5,39.0,124.0,0.0,72.14031,0.465,109.034996
V6340G0,舊宗堤頂,正向放置,2016-11-16,03:00:00,2,109.0,126.5,35.0,74.0,0.0,71.81596,0.24,125.81
V6340G0,舊宗堤頂,正向放置,2016-11-16,04:00:00,2,89.0,99.5,21.0,68.0,0.0,71.508644,0.185,91.115005
V6340G0,舊宗堤頂,正向放置,2016-11-16,05:00:00,2,130.0,150.0,40.0,90.0,0.0,71.042,0.35000002,114.174995
V6340G0,舊宗堤頂,正向放置,2016-11-16,06:00:00,2,198.0,229.5,63.0,135.0,0.0,71.314545,0.79,121.565
V6340G0,舊宗堤頂,正向放置,2016-11-16,07:00:00,2,761.0,778.5,35.0,703.0,0.0,73.135445,2.155,108.990005
V6340G0,舊宗堤頂,正向放置,2016-11-16,08:00:00,2,2442.0,2499.4915,66.0,2377.0,-1.0,71.76396,8.405,30.865
V6340G0,舊宗堤頂,正向放置,2016-11-16,09:00:00,2,2050.0,2105.0,108.0,1930.0,0.0,70.24429,8.825,39.74
V6340G0,舊宗堤頂,正向放置,2016-11-16,10:00:00,2,1588.0,1657.5424,104.0,1485.0,-1.0,71.516,7.2,51.850002
V6340G0,舊宗堤頂,正向放置,2016-11-16,11:00:00,2,1327.0,1359.5,65.0,1252.0,0.0,71.8006,5.385,64.025
V6340G0,舊宗堤頂,正向放置,2016-11-16,12:00:00,2,1332.0,1371.2712,50.0,1282.0,0.0,73.06688,5.68,60.11
V6340G0,舊宗堤頂,正向放置,2016-11-16,13:00:00,2,1221.0,1254.5,66.0,1123.0,0.0,72.691124,5.625,68.134995
V6340G0,舊宗堤頂,正向放置,2016-11-16,14:00:00,2,1315.0,1415.4736,111.0,1181.0,0.0,71.95329,7.51,59.475
V6340G0,舊宗堤頂,正向放置,2016-11-16,15:00:00,2,1309.0,1414.5593,177.0,1120.0,0.0,71.94052,9.165,60.235
V6340G0,舊宗堤頂,正向放置,2016-11-16,16:00:00,2,1394.0,1683.2457,545.0,849.0,0.0,69.571846,9.8,56.035
V6340G0,舊宗堤頂,正向放置,2016-11-16,17:00:00,2,1379.0,1402.5,41.0,1324.0,0.0,70.69949,5.12,59.315
V6340G0,舊宗堤頂,正向放置,2016-11-16,18:00:00,2,1521.0,1661.661,248.0,1273.0,0.0,68.86277,6.255,52.845
V6340G0,舊宗堤頂,正向放置,2016-11-16,19:00:00,2,1637.0,1845.0,416.0,1221.0,0.0,68.479065,8.125,48.715
V6340G0,舊宗堤頂,正向放置,2016-11-16,20:00:00,2,1169.0,1318.0,298.0,871.0,0.0,69.8793,4.375,69.055
V6340G0,舊宗堤頂,正向放置,2016-11-16,21:00:00,2,872.0,988.5,233.0,639.0,0.0,70.65358,3.7050002,87.755
V6340G0,舊宗堤頂,正向放置,2016-11-16,22:00:00,2,735.0,867.8948,179.0,556.0,0.0,70.352585,2.925,102.399994
V6340G0,舊宗堤頂,正向放置,2016-11-16,23:00:00,2,521.0,596.5,151.0,370.0,0.0,70.66754,1.9100001,120.30499
V6340G0,舊宗堤頂,正向放置,2016-11-17,00:00:00,2,350.0,390.0,80.0,270.0,0.0,70.37546,1.44,144.41501
V6340G0,舊宗堤頂,正向放置,2016-11-17,01:00:00,2,266.0,295.5,59.0,207.0,0.0,70.24422,0.66,136.465
V6340G0,舊宗堤頂,正向放置,2016-11-17,02:00:00,2,153.0,168.5,31.0,122.0,0.0,69.987976,0.32,118.71
V6340G0,舊宗堤頂,正向放置,2016-11-17,03:00:00,2,114.0,124.5,21.0,93.0,0.0,71.85421,0.235,106.015
V6340G0,舊宗堤頂,正向放置,2016-11-17,04:00:00,2,99.0,108.5,19.0,80.0,0.0,70.910706,0.19,105.735
V6340G0,舊宗堤頂,正向放置,2016-11-17,05:00:00,2,155.0,171.0,32.0,123.0,0.0,70.71097,0.39000002,124.74
V6340G0,舊宗堤頂,正向放置,2016-11-17,06:00:00,2,209.0,238.0,58.0,151.0,0.0,69.76316,0.735,132.38
V6340G0,舊宗堤頂,正向放置,2016-11-17,07:00:00,2,792.0,814.0,44.0,723.0,0.0,72.73775,1.94,99.645004
V6340G0,舊宗堤頂,正向放置,2016-11-17,08:00:00,2,2605.0,2716.5347,95.0,2476.0,0.0,71.50832,8.07,39.37
V6340G0,舊宗堤頂,正向放置,2016-11-17,09:00:00,2,1885.0,2023.857,74.0,1792.0,-1.0,71.83629,6.3,49.434998
V6340G0,舊宗堤頂,正向放置,2016-11-17,10:00:00,2,1460.0,1529.6552,68.0,1393.0,-1.0,71.19129,5.74,59.985
V6340G0,舊宗堤頂,正向放置,2016-11-17,11:00:00,2,1370.0,1404.0,68.0,1302.0,0.0,71.81365,5.665,61.35
V6340G0,舊宗堤頂,正向放置,2016-11-17,12:00:00,2,1372.0,1409.5,75.0,1297.0,0.0,72.04637,6.83,57.955
V6340G0,舊宗堤頂,正向放置,2016-11-17,13:00:00,2,1254.0,1313.0,115.0,1113.0,0.0,71.81639,5.935,67.435
V6340G0,舊宗堤頂,正向放置,2016-11-17,14:00:00,2,1400.0,1497.8103,133.0,1214.0,0.0,71.02911,8.675,56.695
V6340G0,舊宗堤頂,正向放置,2016-11-17,15:00:00,2,1384.0,1552.7273,180.0,1163.0,0.0,70.817116,11.42,56.905
V6340G0,舊宗堤頂,正向放置,2016-11-17,16:00:00,2,1387.0,1699.6052,510.0,854.0,0.0,70.53514,10.924999,54.765
V6340G0,舊宗堤頂,正向放置,2016-11-17,17:00:00,2,1107.0,1240.6864,236.0,859.0,-1.0,61.211723,3.545,81.165
V6340G0,舊宗堤頂,正向放置,2016-11-17,18:00:00,2,1749.0,1923.7587,260.0,1454.0,0.0,67.62625,6.98,46.269997
