EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,00:00:00,2,423.0,424.0,2.0,421.0,0.0,62.398037,1.12,185.09
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,01:00:00,2,309.0,309.0,0.0,309.0,0.0,62.336765,0.75,207.95999
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,02:00:00,2,206.0,206.0,0.0,206.0,0.0,61.64354,0.485,227.41501
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,03:00:00,2,106.0,106.0,0.0,106.0,0.0,63.332638,0.175,244.75
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,04:00:00,2,60.0,60.0,0.0,60.0,0.0,60.75,0.085,245.41501
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,05:00:00,2,66.0,66.0,0.0,66.0,0.0,60.984848,0.105000004,247.91501
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,06:00:00,2,147.0,148.0,2.0,145.0,0.0,61.322517,0.305,235.965
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,07:00:00,2,571.0,571.5,1.0,570.0,0.0,61.69351,1.5,163.555
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,08:00:00,2,1695.0,1706.0,22.0,1673.0,0.0,57.8335,5.675,61.864998
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,09:00:00,2,1641.0,1649.0,16.0,1625.0,0.0,58.568916,5.29,63.7
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,10:00:00,2,1488.0,1492.5,9.0,1479.0,0.0,58.70744,4.7,72.935
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,11:00:00,2,1501.0,1508.5,15.0,1486.0,0.0,59.350147,4.74,66.83
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,12:00:00,2,1615.0,1636.5,40.0,1565.0,0.0,53.856728,8.025001,62.04
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,13:00:00,2,1469.0,1522.0,106.0,1363.0,0.0,46.455853,13.505,63.675
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,14:00:00,2,1690.0,1696.0,12.0,1678.0,0.0,58.736507,5.375,61.56
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,15:00:00,2,1737.0,1743.0,12.0,1725.0,0.0,58.816372,5.4300003,57.475
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,16:00:00,2,1728.0,1733.0,10.0,1718.0,0.0,59.248814,5.325,52.84
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,17:00:00,2,1752.0,1759.5,15.0,1737.0,0.0,57.13969,5.965,55.495
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,18:00:00,2,1841.0,1863.0,44.0,1797.0,0.0,54.625294,8.185,50.59
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,19:00:00,2,1586.0,1703.5,235.0,1351.0,0.0,31.138107,24.529999,50.934998
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,20:00:00,2,1663.0,1693.0,60.0,1603.0,0.0,47.2733,11.825,56.765
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,21:00:00,2,1318.0,1321.5,7.0,1311.0,0.0,59.35991,4.025,74.11
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,22:00:00,2,1217.0,1222.5,11.0,1206.0,0.0,58.842506,3.7849998,84.285
V7230E0,麥二進城接正氣橋,正向放置,2016-11-14,23:00:00,2,875.0,878.5,7.0,868.0,0.0,60.72562,2.575,117.25
V7230E0,麥二進城接正氣橋,正向放置,2016-11-15,00:00:00,2,479.0,479.5,1.0,478.0,0.0,62.105743,1.26,172.93
V7230E0,麥二進城接正氣橋,正向放置,2016-11-15,01:00:00,2,290.0,290.0,0.0,290.0,0.0,63.448963,0.71500003,206.01001
V7230E0,麥二進城接正氣橋,正向放置,2016-11-15,02:00:00,2,190.0,190.0,0.0,190.0,0.0,62.728104,0.44,231.125
V7230E0,麥二進城接正氣橋,正向放置,2016-11-15,03:00:00,2,127.0,127.0,0.0,127.0,0.0,63.597874,0.2,243.33499
V7230E0,麥二進城接正氣橋,正向放置,2016-11-15,04:00:00,2,99.0,99.0,0.0,99.0,0.0,62.34141,0.14,246.25
V7230E0,麥二進城接正氣橋,正向放置,2016-11-15,05:00:00,2,89.0,89.0,0.0,89.0,0.0,63.538086,0.11,247.91501
