EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,00:00:00,2,682.0,758.0,152.0,530.0,0.0,37.439503,6.6899996,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,01:00:00,2,427.0,471.0,88.0,339.0,0.0,39.147213,3.82,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,02:00:00,2,186.0,216.0,60.0,126.0,0.0,42.418064,1.45,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,03:00:00,2,184.0,214.0,60.0,124.0,0.0,41.885433,1.425,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,04:00:00,2,272.0,302.0,60.0,212.0,0.0,41.39,2.1,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,05:00:00,2,414.0,456.5,85.0,329.0,0.0,40.32087,3.625,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,06:00:00,2,679.0,746.5,135.0,544.0,0.0,38.168736,6.5,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,07:00:00,2,833.0,929.0,192.0,641.0,0.0,33.78502,9.014999,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,08:00:00,2,964.0,1061.5,195.0,769.0,0.0,32.04412,11.085,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,09:00:00,2,1688.0,1857.0,338.0,1350.0,0.0,25.819029,25.16,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,10:00:00,2,1824.0,2011.5,375.0,1449.0,0.0,32.69447,21.635,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,11:00:00,2,1662.0,1827.0,330.0,1332.0,0.0,33.697544,19.185001,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,12:00:00,2,869.0,995.7894,154.0,715.0,0.0,40.841045,8.2,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,13:00:00,2,839.0,926.0,174.0,665.0,0.0,39.946953,7.55,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,14:00:00,2,705.0,781.5,153.0,552.0,0.0,39.055458,6.59,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,15:00:00,2,648.0,731.6949,143.0,505.0,0.0,39.35074,6.2200003,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,16:00:00,2,702.0,784.0,164.0,538.0,0.0,38.87379,6.675,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,17:00:00,2,839.0,932.0,186.0,653.0,0.0,39.006306,8.02,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,18:00:00,2,1813.0,2005.0,384.0,1429.0,0.0,28.925205,24.59,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,19:00:00,2,1638.0,1806.0,336.0,1302.0,0.0,25.914326,24.425,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,20:00:00,2,1703.0,1873.5,341.0,1362.0,0.0,26.537163,24.85,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,21:00:00,2,1792.0,1979.0,374.0,1418.0,0.0,26.463684,25.82,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,22:00:00,2,1648.0,1814.5,333.0,1315.0,0.0,29.596067,21.17,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-14,23:00:00,2,943.0,1033.0,180.0,763.0,0.0,35.78945,9.690001,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,00:00:00,2,717.0,790.0,146.0,571.0,0.0,39.311493,6.625,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,01:00:00,2,389.0,435.5,93.0,296.0,0.0,38.24108,3.675,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,02:00:00,2,171.0,201.0,60.0,111.0,0.0,41.482224,1.3399999,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,03:00:00,2,191.0,221.0,60.0,131.0,0.0,41.423717,1.5,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,04:00:00,2,279.0,310.0,62.0,217.0,0.0,42.075592,2.21,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,05:00:00,2,413.0,464.0,102.0,311.0,0.0,38.269783,3.855,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,06:00:00,2,698.0,767.5,139.0,559.0,0.0,38.499657,6.66,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,07:00:00,2,885.0,983.0,196.0,689.0,0.0,32.357357,10.1,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,08:00:00,2,909.0,1001.0,184.0,725.0,0.0,32.22945,10.325001,0.0
VCPKT00,基隆路四段75號(台電大門左側),往北,2016-11-15,09:00:00,2,1690.0,1855.5,331.0,1359.0,0.0,25.828959,25.365,0.0
