EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,00:00:00,3,853.0,871.0,36.0,817.0,0.0,44.94088,3.3000002,105.03666
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,01:00:00,3,613.0,623.0,20.0,593.0,0.0,47.759003,1.9099998,116.72666
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,02:00:00,3,366.0,371.5,11.0,355.0,0.0,40.47836,1.36,110.166664
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,03:00:00,3,258.0,261.5,7.0,251.0,0.0,43.42694,0.8533333,94.30666
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,04:00:00,3,185.0,188.0,6.0,179.0,0.0,42.356922,0.6666666,104.13333
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,05:00:00,3,236.0,238.5,5.0,231.0,0.0,45.745804,0.7,112.51666
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,06:00:00,3,291.0,298.0,14.0,277.0,0.0,52.415466,0.7966667,126.28
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,07:00:00,3,857.0,869.0,24.0,833.0,0.0,49.36077,2.92,102.613335
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,08:00:00,3,1178.0,1246.5,137.0,1041.0,0.0,36.92803,6.98,68.003334
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,09:00:00,3,972.5,1093.5,241.0,725.0,0.0,34.668633,6.773333,71.916664
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,10:00:00,3,1064.0,1153.839,159.0,892.0,0.0,39.73706,6.31,82.99
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,11:00:00,3,1282.0,1383.2542,182.0,1100.0,0.0,40.678688,8.603333,80.94666
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,12:00:00,3,431.0,443.5,25.0,406.0,0.0,41.1168,1.6366667,41.126667
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,13:00:00,3,973.0,1023.5,101.0,872.0,0.0,40.901787,6.2833333,70.10333
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,14:00:00,3,1319.0,1364.5,91.0,1228.0,0.0,42.489216,6.5733337,53.039997
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,15:00:00,3,563.0,624.9152,103.0,460.0,0.0,42.234726,4.0266666,31.9
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,16:00:00,3,1543.0,1592.5,99.0,1444.0,0.0,37.03798,10.353333,59.87
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,17:00:00,3,1507.0,1572.0,130.0,1377.0,0.0,34.84395,12.05,58.593334
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,18:00:00,3,1844.0,1934.0,180.0,1664.0,0.0,39.000805,9.803333,68.549995
VGTPW50,基隆路-29巷 往南,正向放置,2016-11-14,19:00:00,3,1941.0,2075.5933,200.0,1741.0,0.0,39.526108,9.033334,68.903336
