EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,00:00:00,2,395.0,397.0,4.0,391.0,0.0,82.44595,1.185,185.22
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,01:00:00,2,252.0,253.0,2.0,250.0,0.0,82.20937,0.76,219.145
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,02:00:00,2,146.0,148.0,4.0,142.0,0.0,84.13863,0.41500002,240.9
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,03:00:00,2,93.0,94.0,2.0,91.0,0.0,84.38548,0.24,245.9
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,04:00:00,2,73.0,76.0,6.0,67.0,0.0,81.941925,0.14,247.84
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,05:00:00,2,76.0,78.0,4.0,72.0,0.0,83.14736,0.21,247.41501
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,06:00:00,2,135.0,141.5,13.0,122.0,0.0,80.71111,0.485,238.335
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,07:00:00,2,489.0,508.0,38.0,451.0,0.0,75.81119,1.81,171.695
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,08:00:00,2,1073.0,1087.0,28.0,1045.0,0.0,70.971664,3.7749999,91.1
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,09:00:00,2,1199.0,1216.0,34.0,1165.0,0.0,69.50075,4.3450003,78.825
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,10:00:00,2,1042.0,1059.0,34.0,1008.0,0.0,68.628426,3.89,90.935
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,11:00:00,2,912.0,936.0,48.0,864.0,0.0,70.53504,3.3600001,96.36
VI9QP12,基隆路-松壽 往北,正向放置,2016-11-14,12:00:00,2,950.0,966.0,32.0,918.0,0.0,70.726006,3.41,92.44
