EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,00:00:00,2,438.0,441.5,7.0,431.0,0.0,80.08781,1.56,184.755
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,01:00:00,2,256.0,257.5,3.0,253.0,0.0,82.55875,0.815,212.92499
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,02:00:00,2,138.0,139.5,3.0,135.0,0.0,76.75029,0.415,238.125
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,03:00:00,2,96.0,97.5,3.0,93.0,0.0,73.923744,0.27,246.065
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,04:00:00,2,73.0,74.0,2.0,71.0,0.0,75.89151,0.215,247.385
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,05:00:00,2,104.0,106.5,5.0,99.0,0.0,75.855484,0.355,241.485
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,06:00:00,2,201.0,205.0,8.0,193.0,0.0,76.14075,0.735,223.905
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,07:00:00,2,627.0,632.5,11.0,616.0,0.0,68.670715,2.415,170.645
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,08:00:00,2,1294.0,1299.0,10.0,1284.0,0.0,53.274403,7.3,114.990005
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,09:00:00,2,1286.0,1335.5172,10.0,1276.0,0.0,40.47949,12.445,94.24
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,10:00:00,2,1121.0,1125.0,8.0,1113.0,0.0,60.730053,4.75,118.365005
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,11:00:00,2,1060.0,1064.5,9.0,1051.0,0.0,61.738945,4.45,121.909996
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,12:00:00,2,1093.0,1103.0,20.0,1073.0,0.0,62.007847,4.605,108.11
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,13:00:00,2,972.0,979.5,15.0,957.0,0.0,70.36026,3.9099998,118.135
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,14:00:00,2,1102.0,1108.5,13.0,1089.0,0.0,69.565765,4.375,119.05
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,15:00:00,2,1166.0,1198.983,26.0,1140.0,0.0,66.25085,5.365,109.545
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,16:00:00,2,1122.0,1130.5,17.0,1105.0,0.0,69.83456,4.57,110.85
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,17:00:00,2,1126.0,1131.0,10.0,1116.0,0.0,65.9141,5.08,118.53999
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,18:00:00,2,1020.0,1024.0,8.0,1012.0,0.0,66.884865,4.245,132.95
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,19:00:00,2,1001.0,1006.5,11.0,990.0,0.0,71.58516,3.8400002,126.509995
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,20:00:00,2,903.0,908.5,11.0,892.0,0.0,73.05797,3.35,131.8
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,21:00:00,2,887.0,892.0,10.0,877.0,0.0,72.92711,3.24,135.095
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,22:00:00,2,827.0,834.5,15.0,812.0,0.0,74.48013,3.085,138.20999
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-14,23:00:00,2,630.0,634.0,8.0,622.0,0.0,77.42381,2.175,151.095
VJERC52,基隆路-忠孝東 往南,正向放置,2016-11-15,00:00:00,2,406.0,407.5,3.0,403.0,0.0,80.56465,1.3149999,188.58499
