EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,00:00:00,3,818.0,828.0,20.0,798.0,0.0,77.36802,1.6933333,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,01:00:00,3,636.0,643.5,15.0,621.0,0.0,79.057915,1.32,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,02:00:00,3,336.0,339.5,7.0,329.0,0.0,75.95931,0.93333334,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,03:00:00,3,178.0,179.5,3.0,175.0,0.0,79.052635,0.7,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,04:00:00,3,116.0,119.0,6.0,110.0,0.0,77.03138,0.4433333,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,05:00:00,3,153.0,154.0,2.0,151.0,0.0,77.29896,0.5366667,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,06:00:00,3,398.0,412.0,28.0,370.0,0.0,77.048294,1.09,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,07:00:00,3,1531.5,1575.0,86.0,1369.0,0.0,79.03603,3.1133335,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,08:00:00,3,3602.0,3779.6943,110.0,3296.0,-2.0,70.79838,10.38,-0.016666668
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,09:00:00,3,3106.0,3408.8,176.0,2922.0,-3.0,66.09877,11.25,-0.033333335
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,10:00:00,3,2887.5,2990.793,134.0,2722.0,0.0,71.654465,8.6866665,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,11:00:00,3,2871.5,2932.7034,86.0,2776.0,0.0,74.1089,7.7666664,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,12:00:00,3,2853.5,2933.7246,118.0,2705.0,0.0,72.241425,6.73,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,13:00:00,3,2839.5,2936.7156,118.0,2696.0,0.0,68.17417,8.41,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,14:00:00,3,3122.0,3270.8804,141.0,2981.0,0.0,66.93159,11.116666,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,15:00:00,3,3080.0,3177.9658,90.0,2990.0,0.0,71.426414,10.366668,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,16:00:00,3,3323.5,3367.75,87.0,3114.0,0.0,68.9282,9.54,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,17:00:00,3,3085.0,3282.132,102.0,2842.0,-1.0,64.04827,10.886666,-0.01
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,18:00:00,3,2958.0,3285.625,145.0,2653.0,-3.0,62.449318,11.66,-0.033333335
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,19:00:00,3,2513.5,3118.0652,481.0,2009.0,-4.0,37.097908,33.91,-0.030000001
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,20:00:00,3,2641.0,3107.9343,232.0,2414.0,-5.0,57.571083,14.093333,-0.049999997
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,21:00:00,3,2342.0,2403.0,122.0,2220.0,0.0,70.97546,5.9,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,22:00:00,3,2270.0,2331.0,122.0,2148.0,0.0,71.9712,5.8433337,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-14,23:00:00,3,1540.0,1604.7456,76.0,1464.0,0.0,74.52296,3.5366669,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-15,00:00:00,3,936.0,948.0,24.0,912.0,0.0,76.77994,1.8833333,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-15,01:00:00,3,606.0,611.0,10.0,596.0,0.0,79.1802,1.2233332,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-15,02:00:00,3,385.0,387.0,4.0,381.0,0.0,78.13917,0.94666666,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-15,03:00:00,3,308.0,312.5,9.0,299.0,0.0,77.512794,0.83666664,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-15,04:00:00,3,285.0,287.5,5.0,280.0,0.0,79.99431,0.7266667,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-15,05:00:00,3,295.0,298.5,7.0,288.0,0.0,78.094574,0.77666664,0.0
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-11-15,06:00:00,3,459.0,470.0,22.0,437.0,0.0,78.8681,1.0366668,0.0
