EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,00:00:00,2,78.0,79.0,2.0,76.0,0.0,71.151794,0.425,211.69
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,01:00:00,2,38.0,38.5,1.0,37.0,0.0,53.022106,0.24499999,233.815
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,02:00:00,2,25.0,25.0,0.0,25.0,0.0,55.041203,0.155,235.765
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,03:00:00,2,19.0,19.5,1.0,18.0,0.0,73.15737,0.14,247.81
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,04:00:00,2,18.0,18.0,0.0,18.0,0.0,68.166664,0.14,250.0
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,05:00:00,2,18.0,18.0,0.0,18.0,0.0,73.274994,0.125,249.44
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,06:00:00,2,22.0,22.0,0.0,22.0,0.0,74.954544,0.165,243.66501
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,07:00:00,2,64.0,65.0,2.0,62.0,0.0,66.46735,0.39,217.505
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,08:00:00,2,287.0,289.5,5.0,282.0,0.0,58.921738,1.225,101.545
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,09:00:00,2,318.0,320.0,4.0,314.0,0.0,54.620125,1.4100001,67.01
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,10:00:00,2,511.0,520.0,18.0,493.0,0.0,57.753426,2.3049998,108.215
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,11:00:00,2,710.0,717.0,14.0,696.0,0.0,61.13696,2.69,113.314995
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,12:00:00,2,700.0,709.0,18.0,682.0,0.0,61.94788,2.665,118.83
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,13:00:00,2,753.0,762.0,18.0,735.0,0.0,62.18773,2.7549999,115.075
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,14:00:00,2,783.0,793.5,21.0,762.0,0.0,57.33678,3.385,110.869995
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,15:00:00,2,524.0,532.0,16.0,508.0,0.0,42.991264,3.235,101.485
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,16:00:00,2,229.0,230.5,3.0,226.0,0.0,59.521835,1.035,120.75
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,17:00:00,2,202.0,203.0,2.0,200.0,0.0,60.224503,0.925,115.985
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,18:00:00,2,270.0,272.5,5.0,265.0,0.0,57.291668,1.125,97.6
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,19:00:00,2,337.0,338.5,3.0,334.0,0.0,49.061573,1.525,72.275
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,20:00:00,2,243.0,245.0,4.0,239.0,0.0,59.978516,1.05,114.46
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,21:00:00,2,167.0,168.5,3.0,164.0,0.0,63.752514,0.81,145.125
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,22:00:00,2,195.0,196.0,2.0,193.0,0.0,63.43215,0.91499996,138.345
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-14,23:00:00,2,131.0,132.0,2.0,129.0,0.0,67.46986,0.615,181.26001
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,00:00:00,2,84.0,84.0,0.0,84.0,0.0,71.25238,0.485,212.975
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,01:00:00,2,47.0,47.0,0.0,47.0,0.0,70.53383,0.31,214.69
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,02:00:00,2,25.0,25.0,0.0,25.0,0.0,76.48,0.20500001,241.775
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,03:00:00,2,21.0,21.0,0.0,21.0,0.0,76.47286,0.14,246.16501
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,04:00:00,2,18.0,18.0,0.0,18.0,0.0,76.111664,0.135,245.535
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,05:00:00,2,21.0,21.0,0.0,21.0,0.0,70.48048,0.15,246.825
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,06:00:00,2,20.0,20.5,1.0,19.0,0.0,75.848495,0.14,245.66
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,07:00:00,2,57.0,58.5,3.0,54.0,0.0,66.56105,0.34,223.51001
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,08:00:00,2,345.0,348.0,6.0,339.0,0.0,60.996525,1.39,95.035
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,09:00:00,2,382.0,387.0,10.0,372.0,0.0,49.58615,1.745,49.755
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,10:00:00,2,857.0,867.5,21.0,836.0,0.0,58.827175,3.56,79.975
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,11:00:00,2,553.0,559.0,12.0,541.0,0.0,59.13796,2.2849998,113.96
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,12:00:00,2,347.0,349.5,5.0,342.0,0.0,57.98084,1.54,116.57001
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,13:00:00,2,574.0,580.5,13.0,561.0,0.0,59.48436,2.295,115.97
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,14:00:00,2,472.0,478.0,12.0,460.0,0.0,59.299347,1.875,118.26
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,15:00:00,2,240.0,243.0,6.0,234.0,0.0,56.78867,1.0699999,112.149994
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,16:00:00,2,230.0,231.0,2.0,228.0,0.0,57.59913,1.025,130.86499
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,17:00:00,2,226.0,228.0,4.0,222.0,0.0,57.863274,0.975,108.774994
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,18:00:00,2,275.0,278.5,7.0,268.0,0.0,58.74324,1.145,93.25
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,19:00:00,2,341.0,344.0,6.0,335.0,0.0,49.114517,1.475,87.075
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,20:00:00,2,236.0,239.5,7.0,229.0,0.0,60.850677,1.05,110.83501
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,21:00:00,2,162.0,164.0,4.0,158.0,0.0,63.72062,0.725,156.65
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,22:00:00,2,173.0,173.0,0.0,173.0,0.0,66.26295,0.75,151.98
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-15,23:00:00,2,145.0,146.0,2.0,143.0,0.0,68.1369,0.725,159.35
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,00:00:00,2,83.0,83.0,0.0,83.0,0.0,71.32675,0.475,214.975
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,01:00:00,2,35.0,35.5,1.0,34.0,0.0,66.14286,0.26999998,233.69
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,02:00:00,2,31.0,32.5,3.0,28.0,0.0,68.257744,0.2,234.7
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,03:00:00,2,25.0,25.0,0.0,25.0,0.0,78.283195,0.17,242.26001
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,04:00:00,2,22.0,22.0,0.0,22.0,0.0,78.04227,0.15,249.29001
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,05:00:00,2,19.0,19.0,0.0,19.0,0.0,73.10263,0.15,247.5
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,06:00:00,2,28.0,28.0,0.0,28.0,0.0,75.82357,0.2,244.6
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,07:00:00,2,67.0,67.5,1.0,66.0,0.0,65.019104,0.425,209.42001
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,08:00:00,2,271.0,273.5,5.0,266.0,0.0,60.307007,1.115,107.445
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,09:00:00,2,782.0,792.5,21.0,761.0,0.0,24.927418,4.34,53.595
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,10:00:00,2,276.0,278.0,4.0,272.0,0.0,57.435215,1.2149999,94.515
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,11:00:00,2,609.0,611.5,5.0,604.0,0.0,59.74918,2.3600001,110.185
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,12:00:00,2,790.0,796.0,12.0,778.0,0.0,60.377342,3.04,104.685
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,13:00:00,2,784.0,792.5,17.0,767.0,0.0,59.228504,3.125,108.625
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,14:00:00,2,574.0,581.0,14.0,560.0,0.0,58.219376,2.39,123.44
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,15:00:00,2,468.0,474.0,12.0,456.0,0.0,54.269787,2.3500001,108.354996
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,16:00:00,2,237.0,240.0,6.0,231.0,0.0,56.452026,1.0899999,108.285
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,17:00:00,2,259.0,262.0,6.0,253.0,0.0,57.423824,1.175,109.64
VM010A2,復興北路隧道東側隧道頂板二車道主線0K+740公尺處,正向放置,2016-11-16,18:00:00,2,290.0,292.5,5.0,285.0,0.0,56.355934,1.485,89.88
