EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,00:00:00,2,210.0,227.58621,20.0,190.0,0.0,69.40666,1.105,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,01:00:00,2,131.0,136.77966,7.0,124.0,0.0,76.636795,0.59000003,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,02:00:00,2,64.0,66.61017,3.0,61.0,0.0,67.40422,0.42000002,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,03:00:00,2,34.0,34.57627,0.0,34.0,0.0,64.20294,0.23,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,04:00:00,2,37.0,43.728813,12.0,25.0,0.0,79.43406,0.18,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,05:00:00,2,51.0,56.440674,9.0,42.0,0.0,73.157845,0.245,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,06:00:00,2,107.0,110.84745,4.0,103.0,0.0,68.071304,0.56,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,07:00:00,2,386.0,409.32202,33.0,353.0,0.0,60.439686,2.33,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,08:00:00,2,757.0,805.9322,71.0,686.0,0.0,58.72168,4.67,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,09:00:00,2,1041.0,1110.5084,102.0,939.0,0.0,57.12677,6.38,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,10:00:00,2,824.0,881.1864,85.0,739.0,0.0,57.512356,5.085,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,11:00:00,2,713.0,766.77966,82.0,631.0,0.0,64.74399,3.875,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,12:00:00,2,694.0,747.45764,82.0,612.0,0.0,67.20014,3.6399999,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,13:00:00,2,684.0,727.11865,62.0,622.0,0.0,63.49275,3.755,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,14:00:00,2,737.0,769.0,64.0,673.0,0.0,60.689407,4.145,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,15:00:00,2,769.0,830.68964,68.0,701.0,0.0,62.124264,4.35,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,16:00:00,2,772.0,826.2712,81.0,691.0,0.0,61.175026,4.45,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,17:00:00,2,823.0,876.1017,77.0,746.0,0.0,59.805977,4.895,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,18:00:00,2,923.0,977.28815,76.0,847.0,0.0,56.970478,5.575,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,19:00:00,2,936.0,991.0169,77.0,859.0,0.0,57.417713,5.505,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-11-14,20:00:00,2,686.0,748.4483,75.0,611.0,0.0,60.56568,4.0,0.0
