EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,00:00:00,2,223.0,229.0,12.0,211.0,0.0,21.176502,3.315,0.04
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,01:00:00,2,118.0,121.0,6.0,112.0,0.0,21.074577,1.41,0.01
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,02:00:00,2,85.0,86.5,3.0,82.0,0.0,21.858824,0.90999997,0.01
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,03:00:00,2,65.0,67.0,4.0,61.0,0.0,22.983385,0.775,0.01
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,04:00:00,2,36.0,37.118645,1.0,35.0,0.0,20.642221,0.345,0.015
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,05:00:00,2,47.0,47.0,0.0,47.0,0.0,21.849575,0.435,0.0
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,06:00:00,2,110.0,114.0,8.0,102.0,0.0,22.270906,1.385,0.035
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,07:00:00,2,372.0,390.0,36.0,336.0,0.0,17.041882,10.35,0.065
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,08:00:00,2,785.0,815.0,60.0,725.0,0.0,16.260063,28.625,0.17500001
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,09:00:00,2,939.0,975.5,73.0,866.0,0.0,14.041384,37.71,0.175
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,10:00:00,2,750.0,780.5,61.0,689.0,0.0,16.085587,27.6,0.115
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,11:00:00,2,646.0,686.0,80.0,566.0,0.0,16.53232,22.915,0.15
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,12:00:00,2,602.0,635.5,67.0,535.0,0.0,17.514584,21.51,0.15
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,13:00:00,2,535.0,563.5,57.0,478.0,0.0,17.40714,17.09,0.114999995
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,14:00:00,2,535.0,562.0,54.0,481.0,0.0,15.9976635,21.755001,0.075
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,15:00:00,2,838.0,888.8136,72.0,766.0,0.0,10.920979,25.96,0.195
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,16:00:00,2,554.0,580.0,52.0,502.0,0.0,15.441047,23.835,0.185
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,17:00:00,2,844.0,882.5,77.0,767.0,0.0,11.869372,20.24,0.16
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,18:00:00,2,682.0,715.5,67.0,615.0,0.0,12.696041,34.355,0.195
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,19:00:00,2,624.0,656.5,65.0,559.0,0.0,13.7725,28.5,0.099999994
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,20:00:00,2,485.0,510.0,50.0,435.0,0.0,14.764516,15.485,0.125
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,21:00:00,2,465.0,494.0,58.0,407.0,0.0,13.642387,16.21,0.095
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,22:00:00,2,463.0,490.0,54.0,409.0,0.0,15.492807,13.575001,0.15
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-14,23:00:00,2,564.0,588.5,49.0,515.0,0.0,18.347979,7.2400002,0.09
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,00:00:00,2,182.0,188.0,12.0,170.0,0.0,20.943296,2.345,0.015
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,01:00:00,2,113.0,113.0,0.0,113.0,0.0,21.802832,1.2,0.01
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,02:00:00,2,71.0,71.0,0.0,71.0,0.0,22.78648,0.75,0.02
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,03:00:00,2,58.0,61.0,6.0,52.0,0.0,22.949312,0.68,0.0
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,04:00:00,2,34.0,36.101692,3.0,31.0,0.0,23.529118,0.525,0.0
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,05:00:00,2,46.0,46.5,1.0,45.0,0.0,23.435654,0.49,0.01
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,06:00:00,2,103.0,107.0,8.0,95.0,0.0,23.68204,1.18,0.04
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,07:00:00,2,376.0,399.0,46.0,330.0,0.0,16.603617,10.325001,0.075
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,08:00:00,2,808.0,848.5,81.0,727.0,0.0,14.791015,27.060001,0.155
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,09:00:00,2,913.0,955.5,85.0,828.0,0.0,14.301907,35.92,0.114999995
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,10:00:00,2,783.0,825.0,84.0,699.0,0.0,16.180727,25.595001,0.125
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-11-15,11:00:00,2,920.0,967.5,95.0,825.0,0.0,12.999391,18.285,0.125
