EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,00:00:00,2,290.0,299.5,19.0,271.0,0.0,57.963585,1.375,203.525
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,01:00:00,2,206.0,214.5,17.0,189.0,0.0,58.477673,1.035,229.85
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,02:00:00,2,94.0,97.5,7.0,87.0,0.0,57.540745,0.55,242.985
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,03:00:00,2,59.0,60.0,2.0,57.0,0.0,60.508816,0.385,244.965
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,04:00:00,2,64.0,66.5,5.0,59.0,0.0,60.43906,0.41500002,249.11499
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,05:00:00,2,53.0,54.0,2.0,51.0,0.0,48.186413,0.39,245.39
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,06:00:00,2,114.0,121.5,15.0,99.0,0.0,49.94947,0.75,244.37
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,07:00:00,2,288.0,305.5,35.0,253.0,0.0,40.553055,1.8399999,206.42499
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,08:00:00,3,1551.0,1613.5,125.0,1426.0,0.0,49.404667,6.933333,120.71667
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,09:00:00,2,793.0,870.5,155.0,638.0,0.0,35.982166,21.985,107.715
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,10:00:00,2,871.0,934.5,127.0,744.0,0.0,46.73652,8.79,107.95
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,11:00:00,2,834.0,892.0,116.0,718.0,0.0,51.502964,6.2,110.885
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,12:00:00,2,840.0,901.0,122.0,718.0,0.0,50.382748,6.46,111.22
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,13:00:00,2,751.0,811.5,121.0,630.0,0.0,52.79955,5.115,121.33501
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,14:00:00,2,881.0,962.0339,130.0,751.0,0.0,52.187572,8.55,105.495
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,15:00:00,2,932.0,1012.7118,128.0,794.0,0.0,53.812733,6.81,104.744995
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,16:00:00,2,1029.0,1112.7881,145.0,885.0,-1.0,51.083263,8.094999,94.975
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,17:00:00,2,1025.0,1115.0,180.0,845.0,0.0,52.655746,8.335,98.125
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,18:00:00,2,1064.0,1151.0,174.0,890.0,0.0,45.49842,11.549999,90.195
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,19:00:00,2,1094.0,1187.0,186.0,908.0,0.0,44.359367,16.345001,86.575
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,20:00:00,2,1066.0,1162.5,193.0,873.0,0.0,50.38668,10.025,99.490005
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,21:00:00,2,862.0,926.0,128.0,734.0,0.0,54.66476,6.31,114.675
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,22:00:00,2,847.0,900.5,107.0,740.0,0.0,56.0328,5.1400003,118.595
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-14,23:00:00,2,663.0,688.5,51.0,612.0,0.0,53.325386,5.815,138.95999
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,00:00:00,2,337.0,348.0,22.0,315.0,0.0,58.422077,1.475,196.525
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,01:00:00,2,184.0,193.0,18.0,166.0,0.0,55.65152,0.97499996,230.725
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,02:00:00,2,111.0,113.5,5.0,106.0,0.0,60.34252,0.65,245.18
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,03:00:00,2,70.0,73.5,7.0,63.0,0.0,59.358574,0.53999996,249.09
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,04:00:00,2,60.0,62.0,4.0,56.0,0.0,56.666668,0.39499998,249.125
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,05:00:00,2,77.0,81.0,8.0,69.0,0.0,57.765068,0.515,246.89
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,06:00:00,2,133.0,144.0,22.0,111.0,0.0,54.29399,0.895,241.45
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,07:00:00,2,312.0,334.5,45.0,267.0,0.0,46.630577,1.9749999,202.935
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,08:00:00,3,1664.0,1725.5,119.0,1527.0,0.0,47.8029,7.44,113.03666
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,09:00:00,2,838.0,902.9237,116.0,723.0,-1.0,30.954845,26.915,100.695
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,10:00:00,2,947.0,1019.0,144.0,803.0,0.0,42.819916,14.190001,92.175
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,11:00:00,2,1284.0,1385.0,202.0,1082.0,0.0,34.677174,23.689999,79.465
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,12:00:00,2,1256.0,1361.0,210.0,1046.0,0.0,30.955873,29.62,76.41
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,13:00:00,2,1470.0,1575.0,210.0,1260.0,0.0,29.341959,27.725,59.82
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,14:00:00,2,824.0,900.5173,93.0,731.0,0.0,45.762524,11.43,106.36
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,15:00:00,2,948.0,1033.2712,152.0,792.0,0.0,50.291904,9.545,98.515
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,16:00:00,2,1018.0,1102.9576,150.0,868.0,0.0,49.150608,10.75,99.225006
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,17:00:00,2,979.0,1059.5,161.0,818.0,0.0,48.125626,11.190001,102.91499
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,18:00:00,2,1270.0,1346.0,152.0,1116.0,0.0,38.47995,14.59,96.075
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,19:00:00,2,1199.0,1339.7881,259.0,940.0,0.0,41.12972,18.99,78.67
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,20:00:00,2,1078.0,1172.0,188.0,890.0,0.0,49.084694,10.39,88.635
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,21:00:00,2,908.0,958.5,101.0,807.0,0.0,51.741287,10.889999,104.64
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,22:00:00,2,894.0,957.5,127.0,767.0,0.0,52.89514,8.535,107.215
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-15,23:00:00,2,711.0,747.0,72.0,639.0,0.0,53.261242,5.19,141.675
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,00:00:00,2,359.0,375.0,32.0,327.0,0.0,56.600952,1.885,193.955
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,01:00:00,2,182.0,190.5,17.0,165.0,0.0,58.729668,0.95000005,228.185
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,02:00:00,2,115.0,119.5,9.0,106.0,0.0,60.09504,0.625,245.55
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,03:00:00,2,72.0,74.0,4.0,68.0,0.0,54.767498,0.485,248.66501
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,04:00:00,2,67.0,69.0,4.0,63.0,0.0,55.504623,0.41,248.70999
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,05:00:00,2,50.0,50.5,1.0,49.0,0.0,59.72,0.325,249.54001
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,06:00:00,2,133.0,142.5,19.0,114.0,0.0,53.566765,0.83000004,238.815
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,07:00:00,2,301.0,318.5,35.0,266.0,0.0,38.646046,2.125,206.52
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,08:00:00,3,1600.0,1662.5,125.0,1475.0,0.0,47.62287,7.7066665,116.97
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,09:00:00,2,897.0,971.0,148.0,749.0,0.0,38.726643,16.435,93.41
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,10:00:00,2,985.0,1055.5,141.0,844.0,0.0,43.046608,12.95,93.235
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,11:00:00,2,921.0,991.0,140.0,781.0,0.0,48.173313,9.61,100.175
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,12:00:00,2,890.0,949.5,119.0,771.0,0.0,53.326088,5.71,110.315
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,13:00:00,2,838.0,897.0,118.0,720.0,0.0,52.62907,5.55,110.695
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,14:00:00,2,1075.0,1195.7894,122.0,953.0,0.0,45.229496,9.155,109.52
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,15:00:00,2,935.0,999.5,129.0,806.0,0.0,51.87078,8.625,103.99
VQEUU60,民權東路六段(中天電視對面),往西,2016-11-16,16:00:00,2,1039.0,1109.0,140.0,899.0,0.0,54.196182,8.79,96.3
