EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,00:00:00,2,93.0,112.37288,35.0,58.0,0.0,45.61,0.315,100.725006
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,01:00:00,2,48.0,53.0,10.0,38.0,0.0,46.670002,0.135,49.55
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,02:00:00,2,45.0,52.5,15.0,30.0,0.0,47.289333,0.125,56.04
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,03:00:00,2,26.0,28.0,4.0,22.0,0.0,46.114616,0.07,30.375
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,04:00:00,2,14.0,16.0,4.0,10.0,0.0,41.931427,0.0,23.080002
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,05:00:00,2,15.0,16.5,3.0,12.0,0.0,49.2,0.04,31.25
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,06:00:00,2,72.0,91.0,38.0,34.0,0.0,44.07,0.23,71.8
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,07:00:00,2,175.0,222.0,94.0,81.0,0.0,44.827995,0.83,118.46
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,08:00:00,2,253.0,295.0,84.0,169.0,0.0,44.187115,1.0649999,141.56
VSHZU60,成功路(康湖路-康寧路三段)-成功路5段康湖路口前CMS桿(4x5字CMS),往西,2016-11-14,09:00:00,2,158.0,186.5,57.0,101.0,0.0,45.580505,0.41500002,104.995
