EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,00:00:00,2,340.0,351.5,23.0,317.0,0.0,58.610264,1.735,192.89
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,01:00:00,2,225.0,227.0,4.0,221.0,0.0,63.264843,1.015,218.38501
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,02:00:00,2,118.0,120.0,4.0,114.0,0.0,62.97695,0.615,242.5
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,03:00:00,2,69.0,71.0,4.0,65.0,0.0,63.36101,0.45999998,249.54001
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,04:00:00,2,49.0,49.5,1.0,48.0,0.0,73.77939,0.275,248.7
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,05:00:00,2,77.0,79.0,4.0,73.0,0.0,67.21909,0.46499997,246.875
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,06:00:00,2,131.0,134.5,7.0,124.0,0.0,61.136562,0.775,244.31
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,07:00:00,2,400.0,413.5,27.0,373.0,0.0,55.1987,2.04,180.66
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,08:00:00,2,896.0,1041.5094,48.0,848.0,0.0,49.393547,6.55,102.015
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,09:00:00,2,495.0,960.0,66.0,429.0,0.0,42.12394,8.865,100.274994
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,10:00:00,2,876.0,906.0,60.0,816.0,0.0,39.01055,7.535,109.975006
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,11:00:00,2,868.0,903.5,71.0,797.0,0.0,47.349537,5.75,113.79
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,12:00:00,2,922.0,952.5,61.0,861.0,0.0,50.54308,5.74,113.310005
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,13:00:00,2,1023.0,1065.0,84.0,939.0,0.0,40.708492,10.275,96.21
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,14:00:00,2,1015.0,1055.5,81.0,934.0,0.0,43.650295,7.76,97.475006
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,15:00:00,2,899.0,932.0,66.0,833.0,0.0,47.11018,6.365,110.634995
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,16:00:00,2,901.0,928.0,54.0,847.0,0.0,47.073265,6.05,113.274994
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,17:00:00,2,889.0,921.0,64.0,825.0,0.0,47.39019,5.92,110.505
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,18:00:00,2,1046.0,1075.5,59.0,987.0,0.0,45.122894,7.37,100.16
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,19:00:00,2,1049.0,1104.0,110.0,939.0,0.0,39.79269,10.535,84.985
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,20:00:00,2,788.0,824.5,73.0,715.0,0.0,48.31363,5.51,123.35
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,21:00:00,2,819.0,846.0,54.0,765.0,0.0,47.5219,5.175,131.07
VSKTL00,港墘路149號對面人行道上,往北,2016-11-14,22:00:00,2,698.0,718.0,40.0,658.0,0.0,54.27127,4.035,137.70999
