EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,00:00:00,4,115.0,56.0,0.0,56.0,59.0,67.92938,0.46999997,32.57
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,01:00:00,4,67.0,31.0,0.0,31.0,36.0,67.80314,0.325,28.35
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,02:00:00,4,45.0,25.0,0.0,25.0,20.0,68.313995,0.2675,22.0075
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,03:00:00,4,19.0,4.0,0.0,4.0,15.0,67.683685,0.1125,9.77
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,04:00:00,4,13.0,3.0,0.0,3.0,10.0,61.382305,0.075,4.8925
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,05:00:00,4,14.0,9.0,0.0,9.0,5.0,68.14214,0.0875,7.8199997
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,06:00:00,4,28.0,18.5,3.0,14.0,11.0,61.392857,4.0099998,14.445
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,07:00:00,4,104.0,64.0,8.0,52.0,44.0,64.61462,3.5300002,27.7975
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,08:00:00,4,271.0,192.20338,8.0,177.0,86.0,63.0962,4.7875004,41.3625
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,09:00:00,4,252.0,154.5,7.0,144.0,101.0,65.261116,0.895,50.88
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,10:00:00,4,221.0,165.5,7.0,155.0,59.0,64.34666,0.8225,46.5975
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,11:00:00,4,200.0,146.94916,5.0,137.0,58.0,63.67,0.77750003,45.2025
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,12:00:00,4,198.0,129.15254,4.0,121.0,73.0,63.827168,0.74249995,40.765
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,13:00:00,4,228.0,139.5,7.0,129.0,92.0,63.86478,0.7875,47.752502
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,14:00:00,4,185.0,123.0,2.0,120.0,63.0,62.304703,0.735,40.72
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,15:00:00,4,255.0,161.89656,5.0,149.0,101.0,63.35388,0.8725,50.1675
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,16:00:00,4,253.0,176.5,11.0,160.0,82.0,61.788662,0.97999996,43.3675
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,17:00:00,4,288.0,220.16948,15.0,194.0,79.0,63.19035,1.09,51.582497
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,18:00:00,4,404.0,260.0,6.0,238.0,160.0,61.727028,1.2775,54.745
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,19:00:00,4,486.0,313.7288,7.0,298.0,181.0,64.246086,1.4675001,46.535
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,20:00:00,4,486.0,328.0,8.0,316.0,162.0,62.716213,1.4449999,41.97
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,21:00:00,4,403.0,229.0,2.0,226.0,175.0,63.546,1.1575,47.692497
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,22:00:00,4,388.0,220.5,3.0,216.0,169.0,64.04423,1.1675,43.489998
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-14,23:00:00,4,310.0,172.88135,2.0,167.0,141.0,64.714714,0.9325,50.2575
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-15,00:00:00,4,148.0,71.18644,0.0,70.0,78.0,65.65878,0.56,44.5075
VSM4D61,1+360北側車道(二號隧道內),西,2016-11-15,01:00:00,4,64.0,39.0,0.0,39.0,25.0,70.01375,0.4,26.0625
