EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,00:00:00,2,198.0,226.77966,50.0,148.0,0.0,36.277374,1.69,90.25
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,01:00:00,2,140.0,151.0,22.0,118.0,0.0,38.907143,0.67,102.22499
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,02:00:00,2,56.0,62.0,12.0,44.0,0.0,35.355,0.26500002,65.455
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,03:00:00,2,50.0,58.0,16.0,34.0,0.0,35.736,0.425,55.8
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,04:00:00,2,33.0,36.0,6.0,27.0,0.0,38.39515,0.135,46.230003
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,05:00:00,2,35.0,37.5,5.0,30.0,0.0,38.342,0.22500001,53.075
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,06:00:00,2,92.0,105.5,27.0,65.0,0.0,39.705215,0.7,76.725006
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,07:00:00,2,284.0,315.0,62.0,222.0,0.0,39.61817,2.2350001,136.025
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,08:00:00,2,637.0,681.0,88.0,549.0,0.0,35.659245,8.575,63.809998
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,09:00:00,2,698.0,736.5,77.0,621.0,0.0,30.79732,11.400001,71.975006
VSNVA60,內湖路(港墘路-文德路)-文德路15號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,10:00:00,2,591.0,632.5,83.0,508.0,0.0,33.170235,10.474999,84.47
