EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,00:00:00,2,331.0,363.0,64.0,267.0,0.0,47.096676,1.575,121.97
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,01:00:00,2,213.0,240.5,55.0,158.0,0.0,47.665726,0.91999996,123.08501
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,02:00:00,2,128.0,150.5,45.0,83.0,0.0,47.152733,0.59000003,84.44
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,03:00:00,2,96.0,110.5,29.0,67.0,0.0,45.107082,0.39000002,81.64
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,04:00:00,2,89.0,104.23729,27.0,62.0,0.0,45.587418,0.34,79.41
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,05:00:00,2,86.0,98.0,24.0,62.0,0.0,48.229885,0.36,64.65
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,06:00:00,2,220.0,259.5,79.0,141.0,0.0,46.732864,1.14,113.0
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,07:00:00,2,440.0,466.5,53.0,387.0,0.0,44.913,3.725,141.935
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,08:00:00,2,1070.0,1116.0,92.0,978.0,0.0,38.31991,9.875,71.275
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,09:00:00,2,1020.0,1065.0,90.0,930.0,0.0,36.729607,11.485,75.885
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,10:00:00,2,420.0,454.0,68.0,352.0,0.0,40.030003,3.6999998,80.45
VSSWC60,成功路(文德路-金龍路)-成功路3段152號前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,11:00:00,2,364.0,519.5,311.0,53.0,0.0,34.505276,6.25,79.76
