EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,00:00:00,2,35.0,41.18644,11.0,24.0,0.0,43.259716,0.165,65.975
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,01:00:00,2,10.0,24.444445,2.0,8.0,0.0,49.2,0.035,48.05
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,02:00:00,2,11.0,12.0,2.0,9.0,0.0,37.996365,0.04,22.92
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,03:00:00,2,7.0,7.0,0.0,7.0,0.0,48.144287,0.01,12.04
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,04:00:00,2,3.0,3.5,1.0,2.0,0.0,43.333332,0.01,6.25
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,05:00:00,2,4.0,4.0,0.0,4.0,0.0,48.5,0.02,5.85
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,06:00:00,2,20.0,27.5,15.0,5.0,0.0,43.297997,0.185,34.98
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,07:00:00,2,170.0,196.0,52.0,118.0,0.0,45.80394,1.375,128.045
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,08:00:00,2,475.0,508.0,66.0,409.0,0.0,38.4344,4.795,122.369995
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,09:00:00,2,575.0,632.5,115.0,460.0,0.0,31.357391,7.465,105.524994
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,10:00:00,2,398.0,433.5,71.0,327.0,0.0,34.96442,4.365,109.274994
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,11:00:00,2,29.0,34.5,11.0,18.0,0.0,46.720345,0.215,10.84
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,12:00:00,2,503.0,529.0,52.0,451.0,0.0,39.44692,4.14,106.17
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,13:00:00,2,287.0,315.0,56.0,231.0,0.0,40.633728,2.3600001,90.115005
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,14:00:00,2,70.0,87.5,35.0,35.0,0.0,44.15672,0.39,71.95
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,15:00:00,2,302.0,324.91522,35.0,267.0,0.0,41.01745,2.135,69.53
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,16:00:00,2,444.0,473.0,58.0,386.0,0.0,41.64324,3.5,122.29
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,17:00:00,2,502.0,537.0,70.0,432.0,0.0,40.614742,4.1400003,114.53999
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,18:00:00,2,254.0,292.0,76.0,178.0,0.0,34.919014,2.875,137.07501
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,19:00:00,2,189.0,223.22034,61.0,128.0,0.0,37.855713,2.11,137.78
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,20:00:00,2,151.0,175.5,49.0,102.0,0.0,42.79596,1.3399999,139.41
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,21:00:00,2,158.0,187.5,59.0,99.0,0.0,43.21949,1.4649999,124.935
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,22:00:00,2,127.0,143.0,32.0,95.0,0.0,42.61047,0.95,124.475
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-14,23:00:00,2,75.0,91.0,32.0,43.0,0.0,44.63987,0.59999996,96.465
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,00:00:00,2,43.0,50.5,15.0,28.0,0.0,43.34767,0.29,64.825
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,01:00:00,2,23.0,25.0,4.0,19.0,0.0,44.128693,0.065,47.92
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,02:00:00,2,25.0,29.0,8.0,17.0,0.0,46.68,0.14,45.855003
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,03:00:00,2,7.0,8.5,3.0,4.0,0.0,46.142857,0.045,12.5
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,04:00:00,2,7.0,7.5,1.0,6.0,0.0,42.285713,0.024999999,11.485
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,05:00:00,2,7.0,7.5,1.0,6.0,0.0,44.142857,0.01,11.475
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,06:00:00,2,28.0,36.0,16.0,12.0,0.0,44.426426,0.26,41.45
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,07:00:00,2,184.0,205.0,42.0,142.0,0.0,44.466846,1.2,132.385
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,08:00:00,2,639.0,722.5,167.0,472.0,0.0,32.453568,9.9,112.225006
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,09:00:00,2,796.0,929.0,266.0,530.0,0.0,31.042213,15.295,94.525
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,10:00:00,2,452.0,511.0,118.0,334.0,0.0,35.336815,5.175,107.875
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,11:00:00,2,626.0,684.0,116.0,510.0,0.0,37.385117,6.41,106.475
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,12:00:00,2,650.0,720.0,140.0,506.0,0.0,38.213947,7.09,100.285
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,13:00:00,2,654.0,790.4576,248.0,402.0,-1.0,38.898304,8.135,87.285
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,14:00:00,2,731.0,860.55176,211.0,521.0,-1.0,37.759716,8.105,96.69
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,15:00:00,2,705.0,793.5,177.0,528.0,0.0,36.090652,8.55,104.06
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-11-15,16:00:00,2,460.0,491.5,63.0,397.0,0.0,38.68922,2.725,124.049995
