EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,00:00:00,4,114.0,2.0,0.0,2.0,112.0,59.13,0.2675,23.905
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,01:00:00,4,62.0,2.0,0.0,2.0,60.0,57.47,0.17,17.0075
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,02:00:00,4,37.0,1.0,0.0,1.0,36.0,56.970005,0.125,13.3075
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,03:00:00,4,19.0,0.0,0.0,0.0,19.0,62.100002,0.0875,8.9625
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,04:00:00,4,13.0,0.0,0.0,0.0,13.0,54.77,0.0575,8.27
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,05:00:00,4,10.0,1.0,0.0,1.0,9.0,49.8,0.045,6.2075
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,06:00:00,4,28.0,1.5,1.0,0.0,27.0,52.32,0.1125,9.83
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,07:00:00,4,63.0,4.0,0.0,4.0,59.0,57.21,0.205,16.4175
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,08:00:00,4,201.0,4.0677967,0.0,4.0,197.0,57.51,0.375,26.1975
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,09:00:00,4,200.0,3.0,0.0,3.0,197.0,57.42,0.375,28.0575
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,10:00:00,4,104.0,6.1016946,0.0,6.0,98.0,53.950005,0.3125,18.8925
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,11:00:00,4,95.0,1.0,0.0,1.0,94.0,54.77,0.2925,18.55
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,12:00:00,4,143.0,5.0,0.0,5.0,138.0,56.01,0.3675,25.6375
VTEZS61,0+535北側車道(一號隧道內),西,2016-11-14,13:00:00,4,123.0,8.5,1.0,7.0,115.0,54.81,0.33,20.675
