EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,00:00:00,2,406.0,465.0,118.0,288.0,0.0,41.741505,2.075,109.884995
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,01:00:00,2,215.0,255.0,80.0,135.0,0.0,40.34009,1.11,111.81
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,02:00:00,2,118.0,134.0,32.0,86.0,0.0,42.691017,0.44,87.55
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,03:00:00,2,96.0,111.5,31.0,65.0,0.0,43.852497,0.325,81.6
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,04:00:00,2,55.0,65.5,21.0,34.0,0.0,40.728363,0.29999998,57.79
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,05:00:00,2,54.0,62.5,17.0,37.0,0.0,39.793335,0.265,50.38
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,06:00:00,2,104.0,119.5,31.0,73.0,0.0,42.0875,0.435,83.415
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,07:00:00,2,206.0,231.5,51.0,155.0,0.0,42.35437,1.2,126.045
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,08:00:00,2,240.0,260.5,41.0,199.0,0.0,35.09775,1.945,67.3
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,09:00:00,2,313.0,351.86438,66.0,247.0,0.0,34.575592,2.91,77.015
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,10:00:00,2,628.0,694.0,132.0,496.0,0.0,32.801846,8.055,105.515
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,11:00:00,2,581.0,647.5,133.0,448.0,0.0,31.742805,7.66,110.55
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,12:00:00,2,409.0,510.0,202.0,207.0,0.0,26.683691,6.3849998,94.4
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,13:00:00,2,354.0,449.5,191.0,163.0,0.0,28.31483,6.84,88.49
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,14:00:00,2,490.0,541.0,102.0,388.0,0.0,31.519447,6.62,90.415
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,15:00:00,2,363.0,411.8644,84.0,279.0,0.0,33.6,6.015,69.259995
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,16:00:00,2,500.0,543.0,86.0,414.0,0.0,32.96664,7.725,101.119995
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,17:00:00,2,617.0,661.0,88.0,529.0,0.0,31.235882,7.17,87.525
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,18:00:00,2,692.0,821.5,259.0,433.0,0.0,29.798553,12.650001,87.365005
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,19:00:00,2,767.0,978.9474,326.0,441.0,0.0,29.003807,14.43,84.425
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,20:00:00,2,820.0,987.5,335.0,485.0,0.0,30.905941,13.514999,79.25
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,21:00:00,2,753.0,905.0,304.0,449.0,0.0,31.602154,10.09,90.19
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,22:00:00,2,770.0,923.0,306.0,464.0,0.0,32.34982,8.93,82.985
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,23:00:00,2,565.0,649.0,168.0,397.0,0.0,40.41462,3.465,91.274994
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,00:00:00,2,372.0,447.4576,136.0,236.0,0.0,40.54984,2.225,113.115
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,01:00:00,2,233.0,269.0,72.0,161.0,0.0,42.71532,1.225,89.355
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,02:00:00,2,121.0,136.5,31.0,90.0,0.0,40.38397,0.51,94.25
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,03:00:00,2,89.0,102.5,27.0,62.0,0.0,43.340675,0.29,90.14
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,04:00:00,2,48.0,54.5,13.0,35.0,0.0,41.813335,0.14,68.63
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,05:00:00,2,56.0,61.5,11.0,45.0,0.0,40.943573,0.15,71.835
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,06:00:00,2,104.0,123.0,38.0,66.0,0.0,40.69961,0.565,95.28
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,07:00:00,2,205.0,228.0,46.0,159.0,0.0,42.743362,1.075,129.535
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,08:00:00,2,445.0,491.1864,76.0,369.0,0.0,34.717415,3.85,110.685
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,09:00:00,2,419.0,446.0,54.0,365.0,0.0,35.33766,3.125,112.485
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,10:00:00,2,519.0,565.0,92.0,427.0,0.0,32.39,6.58,101.325
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,11:00:00,2,590.0,657.0,134.0,456.0,0.0,31.546154,5.575,88.9
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,12:00:00,2,577.0,632.5,111.0,466.0,0.0,31.495268,7.5,100.21
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,13:00:00,2,513.0,553.5,81.0,432.0,0.0,29.679415,5.74,106.31
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,14:00:00,2,518.0,589.5,143.0,375.0,0.0,31.826427,6.085,106.36
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,15:00:00,2,582.0,688.0,212.0,370.0,0.0,32.873024,9.595,81.425
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,16:00:00,2,579.0,647.0,136.0,443.0,0.0,32.904404,8.83,103.03
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,17:00:00,2,573.0,601.0,56.0,517.0,0.0,32.516144,5.56,102.84
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,18:00:00,2,694.0,804.5,221.0,473.0,0.0,32.051815,7.96,91.765
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-11-15,19:00:00,2,737.0,926.84216,287.0,450.0,0.0,29.961681,13.715,81.635
