EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,00:00:00,4,646.0,705.2542,95.0,551.0,0.0,26.62588,3.31,129.2825
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,01:00:00,4,402.0,433.5,63.0,339.0,0.0,27.403954,2.015,128.9675
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,02:00:00,4,249.0,267.0,36.0,213.0,0.0,27.52735,1.1625,111.14751
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,03:00:00,4,169.0,180.5,23.0,146.0,0.0,28.533373,0.685,78.9525
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,04:00:00,4,115.0,122.0,14.0,101.0,0.0,24.844782,0.57,77.972496
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,05:00:00,4,111.0,120.5,19.0,92.0,0.0,25.526398,0.5625,82.024994
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,06:00:00,4,262.0,274.5,25.0,237.0,0.0,26.233246,1.0225,109.5575
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,07:00:00,4,576.0,599.0,46.0,530.0,0.0,28.758108,2.0975,112.135
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,08:00:00,4,1355.0,1405.0,100.0,1255.0,0.0,24.702503,7.2799997,110.05499
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,09:00:00,4,1336.0,1380.5,89.0,1247.0,0.0,23.165241,6.9325,100.2325
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-11-14,10:00:00,4,1188.0,1254.0,132.0,1056.0,0.0,24.715876,5.8875003,102.6675
