EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VU8P760,北安路813-1號前燈桿,北,2016-11-14,00:00:00,4,456.0,465.0,18.0,438.0,0.0,60.488754,1.4975,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,01:00:00,4,271.0,272.0,2.0,269.0,0.0,64.0807,0.81749994,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,02:00:00,4,169.0,170.0,2.0,167.0,0.0,65.11035,0.5575,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,03:00:00,4,91.0,91.5,1.0,90.0,0.0,66.178024,0.33749998,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,04:00:00,4,78.0,78.0,0.0,78.0,0.0,67.21961,0.2975,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,05:00:00,4,88.0,88.0,0.0,88.0,0.0,64.64363,0.3475,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,06:00:00,4,184.0,188.5,9.0,175.0,0.0,63.409786,0.6275,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,07:00:00,4,729.0,752.0,46.0,683.0,0.0,59.004723,2.63,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,08:00:00,4,1876.0,1908.0,70.0,1803.0,3.0,49.230232,7.27,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,09:00:00,4,1537.0,1569.5,65.0,1472.0,0.0,54.169415,5.2124996,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,10:00:00,4,1474.0,1498.5,51.0,1422.0,1.0,51.74051,5.425,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,11:00:00,4,1328.0,1352.0,60.0,1262.0,6.0,48.63881,5.3174996,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,12:00:00,4,1276.0,1297.5,49.0,1224.0,3.0,49.65553,4.9125004,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,13:00:00,4,1245.0,1269.0,50.0,1194.0,1.0,50.851807,4.6125,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,14:00:00,4,1233.0,1259.5,55.0,1177.0,1.0,48.222492,4.98,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,15:00:00,4,1369.0,1413.0508,57.0,1304.0,8.0,48.11118,5.525,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,16:00:00,4,1313.0,1335.5,47.0,1265.0,1.0,49.43747,4.9325004,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,17:00:00,4,1398.0,1421.5,49.0,1348.0,1.0,47.84643,5.6625,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,18:00:00,4,1720.0,1740.0,52.0,1662.0,6.0,47.245193,6.7875,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,19:00:00,4,1996.0,2092.7585,90.0,1888.0,18.0,41.64283,10.1775,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,20:00:00,4,1584.0,1619.5,75.0,1507.0,2.0,45.899723,6.8725004,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,21:00:00,4,1223.0,1239.0,36.0,1185.0,2.0,49.417038,4.5475,0.0
VU8P760,北安路813-1號前燈桿,北,2016-11-14,22:00:00,4,1147.0,1161.0,30.0,1116.0,1.0,54.49517,3.8,0.0
