EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,00:00:00,3,269.0,270.5,3.0,266.0,0.0,51.24171,0.56666666,234.72002
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,01:00:00,3,187.0,188.5,3.0,184.0,0.0,50.669304,0.44333336,240.77998
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,02:00:00,3,92.0,92.0,0.0,92.0,0.0,51.394344,0.12666667,249.44334
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,03:00:00,3,65.0,65.5,1.0,64.0,0.0,50.706924,0.10666668,249.44334
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,04:00:00,3,61.0,61.0,0.0,61.0,0.0,50.395412,0.093333334,245.27667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,05:00:00,3,61.0,61.0,0.0,61.0,0.0,49.86623,0.07333333,250.0
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,06:00:00,3,149.0,152.0,6.0,143.0,0.0,49.27772,0.35666668,246.33333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,07:00:00,3,357.0,362.5,11.0,346.0,0.0,50.55185,0.87999994,219.64
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,08:00:00,3,1078.0,1096.5,37.0,1041.0,0.0,50.462547,2.9766667,144.13335
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,09:00:00,3,1635.0,1661.0,52.0,1583.0,0.0,50.485363,4.6033335,108.61666
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,10:00:00,3,1150.0,1168.0,36.0,1114.0,0.0,51.440784,3.073333,132.08333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,11:00:00,3,999.0,1010.5,23.0,976.0,0.0,51.585846,2.58,142.25
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,12:00:00,3,974.0,985.5,23.0,951.0,0.0,51.80671,2.5333335,149.16
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,13:00:00,3,994.0,1008.5,29.0,965.0,0.0,52.0284,2.5833333,143.39
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,14:00:00,3,1001.0,1013.5,25.0,976.0,0.0,52.406555,2.5366666,144.60667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,15:00:00,3,1219.0,1251.3558,23.0,1196.0,0.0,51.84775,3.1733334,122.54
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,16:00:00,3,1261.0,1273.0,24.0,1237.0,0.0,51.659702,3.2666667,120.26333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,17:00:00,3,1108.0,1127.0,38.0,1070.0,0.0,50.864655,3.01,138.02333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,18:00:00,3,1380.0,1402.0,44.0,1336.0,0.0,49.060013,4.03,117.02
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,19:00:00,3,1456.0,1475.0,38.0,1418.0,0.0,49.76243,4.07,111.840004
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,20:00:00,3,1194.0,1209.5,31.0,1163.0,0.0,49.95316,3.2600002,126.92334
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,21:00:00,3,894.0,904.5,21.0,873.0,0.0,49.88394,2.46,147.51666
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,22:00:00,3,810.0,818.5,17.0,793.0,0.0,50.39947,2.1766665,155.56334
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-14,23:00:00,3,588.0,597.0,18.0,570.0,0.0,50.87083,1.5866667,186.99333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,00:00:00,3,296.0,297.5,3.0,293.0,0.0,51.744358,0.65,230.11
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,01:00:00,3,196.0,198.5,5.0,191.0,0.0,51.797752,0.42999998,242.77667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,02:00:00,3,89.0,89.0,0.0,89.0,0.0,51.055504,0.15,249.16667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,03:00:00,3,67.0,67.5,1.0,66.0,0.0,51.072235,0.10666666,249.72333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,04:00:00,3,66.0,66.0,0.0,66.0,0.0,51.821213,0.06333333,249.72333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,05:00:00,3,78.0,78.0,0.0,78.0,0.0,50.871025,0.13000001,248.88667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,06:00:00,3,171.0,172.5,3.0,168.0,0.0,51.27509,0.39333335,243.27667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,07:00:00,3,378.0,386.0,16.0,362.0,0.0,50.2582,0.9933334,219.80666
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,08:00:00,3,1149.0,1169.0,40.0,1109.0,0.0,49.906616,3.32,139.43333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,09:00:00,3,1710.0,1737.0,54.0,1656.0,0.0,49.92201,4.903333,108.94666
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,10:00:00,3,1309.0,1327.5,37.0,1272.0,0.0,51.20254,3.506667,122.44333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,11:00:00,3,1137.0,1157.5,41.0,1096.0,0.0,50.60604,3.1666667,131.22334
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,12:00:00,3,1043.0,1052.5,19.0,1024.0,0.0,50.86903,2.7266667,140.86333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,13:00:00,3,964.0,978.0,28.0,936.0,0.0,50.892002,2.6033332,149.5
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,14:00:00,3,1133.0,1149.5,33.0,1100.0,0.0,50.95083,3.0366666,133.07333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,15:00:00,3,1298.0,1311.5,27.0,1271.0,0.0,50.61026,3.5066664,119.17667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,16:00:00,3,1296.0,1312.5,33.0,1263.0,0.0,50.082382,3.6200001,121.88333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,17:00:00,3,1329.0,1348.5,39.0,1290.0,0.0,49.273136,3.8533332,115.579994
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,18:00:00,3,1359.0,1376.0,34.0,1325.0,0.0,49.56426,3.8433332,116.67667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,19:00:00,3,1605.0,1623.0,36.0,1569.0,0.0,49.025356,4.643333,103.85667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,20:00:00,3,1257.0,1272.0,30.0,1227.0,0.0,49.55785,3.6066666,123.10333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,21:00:00,3,937.0,948.5,23.0,914.0,0.0,49.439037,2.5766666,147.29333
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,22:00:00,3,855.0,865.0,20.0,835.0,0.0,50.62144,2.2733333,152.33667
VP5QG20,民權東路四段民權公園出入口右側,往東,2016-11-15,23:00:00,3,623.0,632.0,18.0,605.0,0.0,50.401943,1.6500001,181.47002
