EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,00:00:00,2,264.0,279.5,31.0,233.0,0.0,51.83602,1.61,205.61499
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,01:00:00,2,205.0,214.0,18.0,187.0,0.0,51.817074,1.245,222.595
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,02:00:00,2,107.0,110.5,7.0,100.0,0.0,51.983273,0.635,237.325
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,03:00:00,2,62.0,63.5,3.0,59.0,0.0,48.874355,0.37,244.93
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,04:00:00,2,71.0,73.5,5.0,66.0,0.0,47.32,0.44,245.95
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,05:00:00,2,73.0,74.0,2.0,71.0,0.0,46.58685,0.46,244.465
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,06:00:00,2,205.0,212.5,15.0,190.0,0.0,48.023705,1.31,221.41501
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,07:00:00,2,553.0,582.5,59.0,494.0,0.0,47.756798,3.8649998,158.4
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,08:00:00,1,826.0,858.5,65.0,761.0,0.0,43.880005,12.18,74.6
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,09:00:00,2,1803.0,1851.0,96.0,1707.0,0.0,41.174484,13.46,76.325
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,10:00:00,2,1510.0,1587.0,154.0,1356.0,0.0,39.03527,13.0,82.634995
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,11:00:00,2,1358.0,1409.0,102.0,1256.0,0.0,42.323433,10.5,91.26
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,12:00:00,2,1324.0,1378.0,108.0,1216.0,0.0,40.810883,10.78,92.8
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,13:00:00,2,1121.0,1159.5,77.0,1044.0,0.0,44.087395,8.184999,103.89
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,14:00:00,2,1161.0,1225.4237,88.0,1073.0,0.0,43.380695,8.71,109.225006
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,15:00:00,2,1336.0,1419.1526,119.0,1217.0,0.0,39.819244,10.725,90.545
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,16:00:00,2,1378.0,1428.0,100.0,1278.0,0.0,40.91632,10.615,79.235
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,17:00:00,2,1590.0,1665.5,151.0,1439.0,0.0,37.931763,11.98,89.025
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,18:00:00,2,1527.0,1621.5,189.0,1338.0,0.0,33.029858,14.925,79.915
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,19:00:00,2,1254.0,1349.0,190.0,1064.0,0.0,34.497154,14.065001,89.740005
VQEUU60,民權東路六段(中天電視對面),往東,2016-11-14,20:00:00,2,999.0,1054.0,110.0,889.0,0.0,38.41271,8.525,107.615005
